number,value,datetime_start,datetime_complete,duration,params_L1,params_L2,params_batchnorm,params_batchsize,params_dropout,params_lr,params_optimizer,state
31,0.8327999711036682,2023-04-08 04:09:24.652974,2023-04-08 04:10:55.311491,0 days 00:01:30.658517,0.0,0.001,1,64,0.0,0.01,SGD,COMPLETE
9,0.7907999753952026,2023-04-08 03:51:36.294235,2023-04-08 03:53:31.931169,0 days 00:01:55.636934,0.0,0.0,0,32,0.0,0.001,Adam,COMPLETE
50,0.712399959564209,2023-04-08 04:26:38.302771,2023-04-08 04:28:30.812712,0 days 00:01:52.509941,0.0,0.0,1,32,0.0,0.001,SGD,COMPLETE
32,0.7039999961853027,2023-04-08 04:10:55.322548,2023-04-08 04:12:49.767844,0 days 00:01:54.445296,0.0,0.0,1,32,0.3,0.001,Adam,COMPLETE
45,0.69159996509552,2023-04-08 04:22:15.323603,2023-04-08 04:23:50.246201,0 days 00:01:34.922598,0.001,0.01,1,64,0.0,0.001,SGD,COMPLETE
68,0.675599992275238,2023-04-08 04:38:51.873444,2023-04-08 04:40:53.890935,0 days 00:02:02.017491,0.0,0.0,1,32,0.0,0.01,Adam,COMPLETE
63,0.6583999991416931,2023-04-08 04:33:21.744872,2023-04-08 04:35:00.842063,0 days 00:01:39.097191,0.001,0.0,0,64,0.1,0.01,SGD,COMPLETE
22,0.6539999842643738,2023-04-08 04:02:30.933769,2023-04-08 04:04:20.793643,0 days 00:01:49.859874,0.01,0.001,1,32,0.0,0.001,SGD,COMPLETE
47,0.6204000115394592,2023-04-08 04:24:07.394280,2023-04-08 04:25:59.699369,0 days 00:01:52.305089,0.001,0.01,1,32,0.1,0.01,SGD,COMPLETE
37,0.6171999573707581,2023-04-08 04:15:34.226656,2023-04-08 04:16:56.889168,0 days 00:01:22.662512,0.0,0.0,0,256,0.1,0.01,Adam,COMPLETE
26,0.585599958896637,2023-04-08 04:05:33.922625,2023-04-08 04:06:57.044903,0 days 00:01:23.122278,0.001,0.01,0,256,0.1,0.01,SGD,COMPLETE
18,0.5803999900817871,2023-04-08 04:00:11.919937,2023-04-08 04:01:36.456426,0 days 00:01:24.536489,0.001,0.0,0,128,0.2,0.01,SGD,COMPLETE
38,0.5640000104904175,2023-04-08 04:16:56.892418,2023-04-08 04:18:28.898064,0 days 00:01:32.005646,0.001,0.0,1,64,0.2,0.01,SGD,COMPLETE
66,0.5579999685287476,2023-04-08 04:36:25.501060,2023-04-08 04:38:28.774114,0 days 00:02:03.273054,0.01,0.001,1,32,0.1,0.001,SGD,COMPLETE
42,0.5507999658584595,2023-04-08 04:19:27.455704,2023-04-08 04:21:16.680718,0 days 00:01:49.225014,0.01,0.001,0,32,0.2,0.001,SGD,COMPLETE
33,0.5483999848365784,2023-04-08 04:12:49.770470,2023-04-08 04:14:22.541136,0 days 00:01:32.770666,0.001,0.001,0,64,0.3,0.01,SGD,COMPLETE
29,0.5428000092506409,2023-04-08 04:07:32.298741,2023-04-08 04:09:07.506670,0 days 00:01:35.207929,0.01,0.01,1,64,0.1,0.001,SGD,COMPLETE
13,0.5187999606132507,2023-04-08 03:57:31.668446,2023-04-08 03:58:55.233819,0 days 00:01:23.565373,0.0,0.01,0,256,0.0,0.01,SGD,COMPLETE
12,0.5103999972343445,2023-04-08 03:55:44.277231,2023-04-08 03:57:31.663510,0 days 00:01:47.386279,0.001,0.01,1,32,0.2,0.001,SGD,COMPLETE
51,0.46320000290870667,2023-04-08 04:28:30.815722,2023-04-08 04:29:22.049886,0 days 00:00:51.234164,0.001,0.001,1,256,0.1,0.01,SGD,PRUNED
6,0.4535999894142151,2023-04-08 03:48:31.531970,2023-04-08 03:49:53.137840,0 days 00:01:21.605870,0.01,0.01,1,128,0.1,0.001,SGD,COMPLETE
58,0.41999998688697815,2023-04-08 04:31:21.562591,2023-04-08 04:31:58.806876,0 days 00:00:37.244285,0.001,0.01,1,256,0.1,0.01,SGD,PRUNED
7,0.4099999964237213,2023-04-08 03:49:53.141540,2023-04-08 03:51:14.350356,0 days 00:01:21.208816,0.001,0.0,1,256,0.3,0.01,SGD,COMPLETE
34,0.40639999508857727,2023-04-08 04:14:22.555820,2023-04-08 04:14:59.656593,0 days 00:00:37.100773,0.01,0.0,1,64,0.1,0.001,SGD,PRUNED
60,0.323199987411499,2023-04-08 04:32:16.865908,2023-04-08 04:32:39.600385,0 days 00:00:22.734477,0.001,0.01,0,32,0.2,0.001,SGD,PRUNED
59,0.31839999556541443,2023-04-08 04:31:58.810316,2023-04-08 04:32:16.864107,0 days 00:00:18.053791,0.001,0.001,0,256,0.0,0.01,SGD,PRUNED
64,0.31679999828338623,2023-04-08 04:35:00.847008,2023-04-08 04:36:05.759669,0 days 00:01:04.912661,0.0,0.01,1,64,0.1,0.001,Adam,PRUNED
11,0.3155999779701233,2023-04-08 03:53:49.250721,2023-04-08 03:55:44.273788,0 days 00:01:55.023067,0.001,0.0,1,32,0.1,0.01,Adam,COMPLETE
61,0.3123999834060669,2023-04-08 04:32:39.603610,2023-04-08 04:32:56.775562,0 days 00:00:17.171952,0.0,0.0,1,128,0.0,0.001,SGD,PRUNED
4,0.30559998750686646,2023-04-08 03:46:38.097201,2023-04-08 03:47:57.698865,0 days 00:01:19.601664,0.01,0.001,0,256,0.2,0.001,SGD,COMPLETE
39,0.30159997940063477,2023-04-08 04:18:28.900942,2023-04-08 04:18:47.315296,0 days 00:00:18.414354,0.001,0.001,1,64,0.1,0.001,SGD,PRUNED
48,0.2903999984264374,2023-04-08 04:25:59.702038,2023-04-08 04:26:20.405402,0 days 00:00:20.703364,0.0,0.0,0,32,0.3,0.001,SGD,PRUNED
44,0.28039997816085815,2023-04-08 04:21:52.822297,2023-04-08 04:22:15.319313,0 days 00:00:22.497016,0.0,0.01,0,32,0.3,0.001,SGD,PRUNED
65,0.2727999985218048,2023-04-08 04:36:05.762219,2023-04-08 04:36:25.498687,0 days 00:00:19.736468,0.01,0.001,1,128,0.3,0.01,SGD,PRUNED
25,0.2696000039577484,2023-04-08 04:04:59.834586,2023-04-08 04:05:33.919845,0 days 00:00:34.085259,0.01,0.001,0,128,0.3,0.001,SGD,PRUNED
40,0.23399999737739563,2023-04-08 04:18:47.318958,2023-04-08 04:19:05.087595,0 days 00:00:17.768637,0.0,0.001,0,128,0.1,0.001,SGD,PRUNED
56,0.23119999468326569,2023-04-08 04:30:42.126948,2023-04-08 04:31:01.547072,0 days 00:00:19.420124,0.01,0.0,0,256,0.3,0.01,SGD,PRUNED
54,0.22759999334812164,2023-04-08 04:29:58.633051,2023-04-08 04:30:18.514061,0 days 00:00:19.881010,0.0,0.001,0,128,0.2,0.001,SGD,PRUNED
30,0.21799999475479126,2023-04-08 04:09:07.509802,2023-04-08 04:09:24.651440,0 days 00:00:17.141638,0.01,0.01,1,128,0.2,0.001,SGD,PRUNED
27,0.21439999341964722,2023-04-08 04:06:57.047467,2023-04-08 04:07:13.924676,0 days 00:00:16.877209,0.01,0.001,1,256,0.0,0.001,SGD,PRUNED
62,0.20479999482631683,2023-04-08 04:32:56.777220,2023-04-08 04:33:21.743094,0 days 00:00:24.965874,0.001,0.0,0,32,0.2,0.01,Adam,PRUNED
35,0.1876000016927719,2023-04-08 04:14:59.659364,2023-04-08 04:15:16.976334,0 days 00:00:17.316970,0.001,0.01,1,128,0.0,0.001,Adam,PRUNED
17,0.15600000321865082,2023-04-08 03:59:54.604724,2023-04-08 04:00:11.918196,0 days 00:00:17.313472,0.001,0.001,1,128,0.3,0.01,Adam,PRUNED
53,0.15039999783039093,2023-04-08 04:29:38.757026,2023-04-08 04:29:58.631203,0 days 00:00:19.874177,0.01,0.001,1,256,0.2,0.001,SGD,PRUNED
41,0.14720000326633453,2023-04-08 04:19:05.089376,2023-04-08 04:19:27.453914,0 days 00:00:22.364538,0.001,0.0,0,32,0.1,0.001,Adam,PRUNED
2,0.1451999992132187,2023-04-08 03:43:15.694959,2023-04-08 03:45:04.841748,0 days 00:01:49.146789,0.0,0.01,0,32,0.3,0.01,Adam,COMPLETE
55,0.1371999979019165,2023-04-08 04:30:18.516597,2023-04-08 04:30:42.125336,0 days 00:00:23.608739,0.01,0.01,0,32,0.2,0.01,SGD,PRUNED
