number,value,datetime_start,datetime_complete,duration,params_L1,params_L2,params_batchnorm,params_batchsize,params_dropout,params_lr,params_optimizer,state
22,0.8359999656677246,2023-04-08 02:52:12.649091,2023-04-08 02:53:50.865451,0 days 00:01:38.216360,0.0,0.0,1,32,0.0,0.001,Adam,COMPLETE
31,0.835599958896637,2023-04-08 03:00:19.023674,2023-04-08 03:02:04.748405,0 days 00:01:45.724731,0.0,0.0,1,32,0.0,0.001,Adam,COMPLETE
43,0.8307999968528748,2023-04-08 03:12:04.957036,2023-04-08 03:13:50.671393,0 days 00:01:45.714357,0.0,0.0,0,32,0.0,0.001,Adam,COMPLETE
19,0.8267999887466431,2023-04-08 02:47:09.738610,2023-04-08 02:48:51.456687,0 days 00:01:41.718077,0.0,0.0,0,32,0.0,0.001,Adam,COMPLETE
32,0.8259999752044678,2023-04-08 03:02:04.752372,2023-04-08 03:03:53.936899,0 days 00:01:49.184527,0.0,0.0,1,32,0.0,0.001,Adam,COMPLETE
54,0.8215999603271484,2023-04-08 03:22:03.704129,2023-04-08 03:23:47.630832,0 days 00:01:43.926703,0.0,0.0,0,32,0.0,0.001,Adam,COMPLETE
15,0.8211999535560608,2023-04-08 02:42:15.540194,2023-04-08 02:43:55.617449,0 days 00:01:40.077255,0.0,0.0,0,32,0.0,0.001,Adam,COMPLETE
21,0.8191999793052673,2023-04-08 02:50:30.349906,2023-04-08 02:52:12.645940,0 days 00:01:42.296034,0.0,0.0,1,32,0.0,0.001,Adam,COMPLETE
24,0.8191999793052673,2023-04-08 02:55:31.325014,2023-04-08 02:57:09.964125,0 days 00:01:38.639111,0.0,0.0,1,32,0.0,0.001,Adam,COMPLETE
23,0.818399965763092,2023-04-08 02:53:50.868828,2023-04-08 02:55:31.321818,0 days 00:01:40.452990,0.0,0.0,1,32,0.0,0.001,Adam,COMPLETE
41,0.8123999834060669,2023-04-08 03:08:33.665209,2023-04-08 03:10:19.834682,0 days 00:01:46.169473,0.0,0.0,1,32,0.0,0.001,Adam,COMPLETE
42,0.8119999766349792,2023-04-08 03:10:19.838132,2023-04-08 03:12:04.953654,0 days 00:01:45.115522,0.0,0.0,1,32,0.0,0.001,Adam,COMPLETE
33,0.7963999509811401,2023-04-08 03:03:53.940181,2023-04-08 03:05:41.987637,0 days 00:01:48.047456,0.0,0.0,1,32,0.0,0.001,Adam,COMPLETE
20,0.7955999970436096,2023-04-08 02:48:51.459842,2023-04-08 02:50:30.346673,0 days 00:01:38.886831,0.0,0.0,1,32,0.0,0.001,Adam,COMPLETE
16,0.7895999550819397,2023-04-08 02:43:55.632414,2023-04-08 02:45:36.225485,0 days 00:01:40.593071,0.0,0.0,0,32,0.1,0.001,Adam,COMPLETE
9,0.7835999727249146,2023-04-08 02:32:27.325577,2023-04-08 02:34:06.962071,0 days 00:01:39.636494,0.0,0.0,0,32,0.0,0.001,Adam,COMPLETE
17,0.7820000052452087,2023-04-08 02:45:36.228680,2023-04-08 02:46:52.944845,0 days 00:01:16.716165,0.0,0.0,1,128,0.1,0.001,Adam,COMPLETE
47,0.7807999849319458,2023-04-08 03:15:54.957604,2023-04-08 03:17:41.040004,0 days 00:01:46.082400,0.0,0.0,1,32,0.0,0.001,Adam,PRUNED
53,0.7608000040054321,2023-04-08 03:20:17.581447,2023-04-08 03:22:03.701379,0 days 00:01:46.119932,0.0,0.0,0,32,0.0,0.001,Adam,PRUNED
52,0.7251999974250793,2023-04-08 03:18:54.586961,2023-04-08 03:20:17.578821,0 days 00:01:22.991860,0.0,0.0,0,32,0.0,0.001,Adam,PRUNED
11,0.7175999879837036,2023-04-08 02:35:44.988751,2023-04-08 02:37:23.248786,0 days 00:01:38.260035,0.0,0.0,0,32,0.0,0.001,SGD,COMPLETE
27,0.7071999907493591,2023-04-08 02:57:47.778485,2023-04-08 02:59:05.920717,0 days 00:01:18.142232,0.0,0.0,0,256,0.0,0.001,Adam,PRUNED
10,0.7019999623298645,2023-04-08 02:34:06.965344,2023-04-08 02:35:44.985389,0 days 00:01:38.020045,0.0,0.0,0,32,0.0,0.001,SGD,COMPLETE
12,0.6987999677658081,2023-04-08 02:37:23.252330,2023-04-08 02:39:03.152700,0 days 00:01:39.900370,0.0,0.0,0,32,0.0,0.001,SGD,COMPLETE
44,0.6836000084877014,2023-04-08 03:13:50.684407,2023-04-08 03:15:14.640710,0 days 00:01:23.956303,0.0,0.0,0,32,0.0,0.001,Adam,PRUNED
13,0.618399977684021,2023-04-08 02:39:03.157216,2023-04-08 02:40:38.616960,0 days 00:01:35.459744,0.0,0.0,0,32,0.1,0.001,SGD,COMPLETE
14,0.5983999967575073,2023-04-08 02:40:38.619989,2023-04-08 02:42:15.521727,0 days 00:01:36.901738,0.001,0.0,0,32,0.1,0.001,SGD,COMPLETE
28,0.5220000147819519,2023-04-08 02:59:05.923536,2023-04-08 02:59:38.105260,0 days 00:00:32.181724,0.0,0.001,1,128,0.1,0.001,Adam,PRUNED
