y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_and_classified,NPR,NPV,specificity,eta,subset_name,num_neurons,stage,thld
0,5997,29,0,0,0,0.0,0.0,0.0,0,components,8,train,mean
1,5997,4,0,0,0,0.0,0.0,0.0,0,components,8,train,mean
2,5997,27,0,0,0,0.0,0.0,0.0,0,components,8,train,mean
3,5997,10,0,0,0,0.0,0.0,0.0,0,components,8,train,mean
4,5994,14,0,0,0,0.0,0.0,0.0,0,components,8,train,mean
5,5996,6,0,0,0,0.0,0.0,0.0,0,components,8,train,mean
6,5995,62,0,0,0,0.0,0.0,0.0,0,components,8,train,mean
7,5998,9,0,0,0,0.0,0.0,0.0,0,components,8,train,mean
8,5999,1,0,0,0,0.0,0.0,0.0,0,components,8,train,mean
9,5998,7,0,0,0,0.0,0.0,0.0,0,components,8,train,mean
all,59968,169,0,0,0,0.0,0.0,0.0,0,components,8,train,mean
0,5997,29,0,0,0,0.0,0.0,0.0,1,components,8,train,mean
1,5997,4,0,0,0,0.0,0.0,0.0,1,components,8,train,mean
2,5997,27,0,0,0,0.0,0.0,0.0,1,components,8,train,mean
3,5997,10,0,0,0,0.0,0.0,0.0,1,components,8,train,mean
4,5994,14,0,0,0,0.0,0.0,0.0,1,components,8,train,mean
5,5996,6,0,0,0,0.0,0.0,0.0,1,components,8,train,mean
6,5995,62,0,0,0,0.0,0.0,0.0,1,components,8,train,mean
7,5998,9,0,0,0,0.0,0.0,0.0,1,components,8,train,mean
8,5999,1,0,0,0,0.0,0.0,0.0,1,components,8,train,mean
9,5998,7,0,0,0,0.0,0.0,0.0,1,components,8,train,mean
all,59968,169,0,0,0,0.0,0.0,0.0,1,components,8,train,mean
0,5997,29,0,0,0,0.0,0.0,0.0,2,components,8,train,mean
1,5997,4,0,0,0,0.0,0.0,0.0,2,components,8,train,mean
2,5997,27,0,0,0,0.0,0.0,0.0,2,components,8,train,mean
3,5997,10,0,0,0,0.0,0.0,0.0,2,components,8,train,mean
4,5994,14,0,0,0,0.0,0.0,0.0,2,components,8,train,mean
5,5996,6,0,0,0,0.0,0.0,0.0,2,components,8,train,mean
6,5995,62,0,0,0,0.0,0.0,0.0,2,components,8,train,mean
7,5998,9,0,0,0,0.0,0.0,0.0,2,components,8,train,mean
8,5999,1,0,0,0,0.0,0.0,0.0,2,components,8,train,mean
9,5998,7,0,0,0,0.0,0.0,0.0,2,components,8,train,mean
all,59968,169,0,0,0,0.0,0.0,0.0,2,components,8,train,mean
0,5997,29,0,0,0,0.0,0.0,0.0,3,components,8,train,mean
1,5997,4,0,0,0,0.0,0.0,0.0,3,components,8,train,mean
2,5997,27,0,0,0,0.0,0.0,0.0,3,components,8,train,mean
3,5997,10,0,0,0,0.0,0.0,0.0,3,components,8,train,mean
4,5994,14,0,0,0,0.0,0.0,0.0,3,components,8,train,mean
5,5996,6,0,0,0,0.0,0.0,0.0,3,components,8,train,mean
6,5995,62,0,0,0,0.0,0.0,0.0,3,components,8,train,mean
7,5998,9,0,0,0,0.0,0.0,0.0,3,components,8,train,mean
8,5999,1,0,0,0,0.0,0.0,0.0,3,components,8,train,mean
9,5998,7,0,0,0,0.0,0.0,0.0,3,components,8,train,mean
all,59968,169,0,0,0,0.0,0.0,0.0,3,components,8,train,mean
0,1000,120,0,0,0,0.0,0.0,0.0,0,components,8,test,mean
1,997,18,0,0,0,0.0,0.0,0.0,0,components,8,test,mean
2,999,83,0,0,0,0.0,0.0,0.0,0,components,8,test,mean
3,999,62,0,0,0,0.0,0.0,0.0,0,components,8,test,mean
4,999,103,0,0,0,0.0,0.0,0.0,0,components,8,test,mean
5,997,19,0,0,0,0.0,0.0,0.0,0,components,8,test,mean
6,999,198,0,0,0,0.0,0.0,0.0,0,components,8,test,mean
7,999,28,0,0,0,0.0,0.0,0.0,0,components,8,test,mean
8,997,14,0,0,0,0.0,0.0,0.0,0,components,8,test,mean
9,998,29,0,0,0,0.0,0.0,0.0,0,components,8,test,mean
all,9984,674,0,0,0,0.0,0.0,0.0,0,components,8,test,mean
0,1000,120,0,0,0,0.0,0.0,0.0,1,components,8,test,mean
1,997,18,0,0,0,0.0,0.0,0.0,1,components,8,test,mean
2,999,83,0,0,0,0.0,0.0,0.0,1,components,8,test,mean
3,999,62,0,0,0,0.0,0.0,0.0,1,components,8,test,mean
4,999,103,0,0,0,0.0,0.0,0.0,1,components,8,test,mean
5,997,19,0,0,0,0.0,0.0,0.0,1,components,8,test,mean
6,999,198,0,0,0,0.0,0.0,0.0,1,components,8,test,mean
7,999,28,0,0,0,0.0,0.0,0.0,1,components,8,test,mean
8,997,14,0,0,0,0.0,0.0,0.0,1,components,8,test,mean
9,998,29,0,0,0,0.0,0.0,0.0,1,components,8,test,mean
all,9984,674,0,0,0,0.0,0.0,0.0,1,components,8,test,mean
0,1000,120,0,0,0,0.0,0.0,0.0,2,components,8,test,mean
1,997,18,0,0,0,0.0,0.0,0.0,2,components,8,test,mean
2,999,83,0,0,0,0.0,0.0,0.0,2,components,8,test,mean
3,999,62,0,0,0,0.0,0.0,0.0,2,components,8,test,mean
4,999,103,0,0,0,0.0,0.0,0.0,2,components,8,test,mean
5,997,19,0,0,0,0.0,0.0,0.0,2,components,8,test,mean
6,999,198,0,0,0,0.0,0.0,0.0,2,components,8,test,mean
7,999,28,0,0,0,0.0,0.0,0.0,2,components,8,test,mean
8,997,14,0,0,0,0.0,0.0,0.0,2,components,8,test,mean
9,998,29,0,0,0,0.0,0.0,0.0,2,components,8,test,mean
all,9984,674,0,0,0,0.0,0.0,0.0,2,components,8,test,mean
0,1000,120,0,0,0,0.0,0.0,0.0,3,components,8,test,mean
1,997,18,0,0,0,0.0,0.0,0.0,3,components,8,test,mean
2,999,83,0,0,0,0.0,0.0,0.0,3,components,8,test,mean
3,999,62,0,0,0,0.0,0.0,0.0,3,components,8,test,mean
4,999,103,0,0,0,0.0,0.0,0.0,3,components,8,test,mean
5,997,19,0,0,0,0.0,0.0,0.0,3,components,8,test,mean
6,999,198,0,0,0,0.0,0.0,0.0,3,components,8,test,mean
7,999,28,0,0,0,0.0,0.0,0.0,3,components,8,test,mean
8,997,14,0,0,0,0.0,0.0,0.0,3,components,8,test,mean
9,998,29,0,0,0,0.0,0.0,0.0,3,components,8,test,mean
all,9984,674,0,0,0,0.0,0.0,0.0,3,components,8,test,mean
1,1000,1000,0,0,0,0.0,0.0,0.0,0,components,8,evaluation,mean
all,1000,1000,0,0,0,0.0,0.0,0.0,0,components,8,evaluation,mean
1,1000,1000,0,0,0,0.0,0.0,0.0,1,components,8,evaluation,mean
all,1000,1000,0,0,0,0.0,0.0,0.0,1,components,8,evaluation,mean
1,1000,1000,0,0,0,0.0,0.0,0.0,2,components,8,evaluation,mean
all,1000,1000,0,0,0,0.0,0.0,0.0,2,components,8,evaluation,mean
1,1000,1000,0,0,0,0.0,0.0,0.0,3,components,8,evaluation,mean
all,1000,1000,0,0,0,0.0,0.0,0.0,3,components,8,evaluation,mean
