thld,eta,build_time_min,size_mb,reorder_time_min,num_patterns,num_unique_patterns_%,num_reorder,num_neurons,start_time,end_time,subset_name
qth_0.75,0.0,29.0,4955.0,0.0,59799.0,100.0,0.0,100.0,2023-08-20 13:29:08,2023-08-20 13:58:09,
qth_0.75,1.0,3717.883,4982.4,0.0,5979500.0,100.0,0.0,100.0,2023-08-20 14:35:57,2023-08-23 04:33:51,
qth_0.75,2.0,2282.867,4982.4,0.0,3733542.0,100.0,0.0,100.0,2023-08-23 05:19:20,2023-08-24 19:22:14,
qth_0.75,3.0,1278.733,4982.4,0.0,2613473.0,100.0,0.0,100.0,2023-08-24 20:06:11,2023-08-25 17:24:56,
qth_0.75,0.0,0.0,4303.4,0.0,59799.0,0.4,0.0,8.0,2023-08-20 13:29:26,2023-08-20 13:29:26,components
qth_0.75,1.0,0.0,4303.4,0.0,1776.0,8.8,0.0,8.0,2023-08-20 13:29:37,2023-08-20 13:29:37,components
qth_0.75,2.0,0.0,4303.4,0.0,780.0,11.0,0.0,8.0,2023-08-20 13:29:49,2023-08-20 13:29:50,components
qth_0.75,3.0,0.0,4303.4,0.0,339.0,10.3,0.0,8.0,2023-08-20 13:30:02,2023-08-20 13:30:03,components
qth_0.5,0.0,35.533,4986.9,0.0,59799.0,100.0,0.0,100.0,2023-08-20 13:29:28,2023-08-20 14:05:02,
qth_0.5,1.0,4202.667,5008.9,0.0,5979800.0,100.0,0.0,100.0,2023-08-20 14:51:35,2023-08-23 12:54:17,
qth_0.5,2.0,2000.583,5009.0,0.0,2933292.0,100.0,0.0,100.0,2023-08-23 13:46:00,2023-08-24 23:06:36,
qth_0.5,3.0,840.7,5009.0,0.0,1431789.0,100.0,0.0,100.0,2023-08-24 23:53:11,2023-08-25 13:53:54,
qth_0.5,0.0,0.0,4303.4,0.0,59799.0,0.4,0.0,8.0,2023-08-20 13:29:43,2023-08-20 13:29:43,components
qth_0.5,1.0,0.0,4303.4,0.0,2048.0,0.0,0.0,8.0,2023-08-20 13:29:54,2023-08-20 13:29:55,components
qth_0.5,2.0,0.0,4303.4,0.0,896.0,0.0,0.0,8.0,2023-08-20 13:30:08,2023-08-20 13:30:08,components
qth_0.5,3.0,0.0,4303.4,0.0,384.0,0.0,0.0,8.0,2023-08-20 13:30:21,2023-08-20 13:30:21,components
qth_0.25,0.0,29.117,4977.3,0.0,59799.0,100.0,0.0,100.0,2023-08-20 13:29:51,2023-08-20 13:59:00,
qth_0.25,1.0,3777.583,4985.4,0.0,5979800.0,100.0,0.0,100.0,2023-08-20 14:36:32,2023-08-23 05:34:08,
qth_0.25,2.0,2273.233,4985.4,0.0,3712330.0,100.0,0.0,100.0,2023-08-23 06:20:10,2023-08-24 20:13:25,
qth_0.25,3.0,1315.717,4985.4,0.0,2585642.0,100.0,0.0,100.0,2023-08-24 20:57:28,2023-08-25 18:53:12,
qth_0.25,0.0,0.0,4303.4,0.0,59799.0,0.4,0.0,8.0,2023-08-20 13:29:59,2023-08-20 13:29:59,components
qth_0.25,1.0,0.0,4303.4,0.0,1696.0,10.0,0.0,8.0,2023-08-20 13:30:13,2023-08-20 13:30:13,components
qth_0.25,2.0,0.0,4303.4,0.0,725.0,18.9,0.0,8.0,2023-08-20 13:30:26,2023-08-20 13:30:26,components
qth_0.25,3.0,0.0,4303.4,0.0,292.0,30.1,0.0,8.0,2023-08-20 13:30:39,2023-08-20 13:30:39,components
relu,0.0,32.433,4985.9,0.0,59799.0,100.0,0.0,100.0,2023-08-20 13:30:10,2023-08-20 14:02:37,
relu,1.0,4248.433,5008.8,0.0,5979800.0,100.0,0.0,100.0,2023-08-20 14:45:26,2023-08-23 13:33:54,
relu,2.0,1994.517,5008.9,0.0,2935385.0,100.0,0.0,100.0,2023-08-23 14:25:02,2023-08-24 23:39:33,
relu,3.0,778.25,5008.9,0.0,1434587.0,100.0,0.0,100.0,2023-08-25 00:22:49,2023-08-25 13:21:06,
relu,0.0,0.0,4303.4,0.0,59799.0,0.4,0.0,8.0,2023-08-20 13:30:09,2023-08-20 13:30:09,components
relu,1.0,0.0,4303.4,0.0,2048.0,0.0,0.0,8.0,2023-08-20 13:30:21,2023-08-20 13:30:22,components
relu,2.0,0.0,4303.4,0.0,896.0,0.0,0.0,8.0,2023-08-20 13:30:33,2023-08-20 13:30:34,components
relu,3.0,0.0,4303.4,0.0,384.0,0.0,0.0,8.0,2023-08-20 13:30:45,2023-08-20 13:30:45,components
mean,0.0,35.3,4985.9,0.0,59799.0,100.0,0.0,100.0,2023-08-20 13:30:15,2023-08-20 14:05:34,
mean,1.0,4282.617,5008.8,0.0,5979800.0,100.0,0.0,100.0,2023-08-20 14:52:17,2023-08-23 14:14:56,
mean,2.0,1988.65,5008.9,0.0,2935385.0,100.0,0.0,100.0,2023-08-23 15:06:07,2023-08-25 00:14:46,
mean,3.0,776.75,5008.9,0.0,1434587.0,100.0,0.0,100.0,2023-08-25 00:56:26,2023-08-25 13:53:12,
mean,0.0,0.0,4303.4,0.0,59799.0,0.4,0.0,8.0,2023-08-20 13:30:28,2023-08-20 13:30:28,components
mean,1.0,0.0,4303.4,0.0,2048.0,0.0,0.0,8.0,2023-08-20 13:30:40,2023-08-20 13:30:41,components
mean,2.0,0.0,4303.4,0.0,896.0,0.0,0.0,8.0,2023-08-20 13:30:52,2023-08-20 13:30:53,components
mean,3.0,0.0,4303.4,0.0,384.0,0.0,0.0,8.0,2023-08-20 13:31:03,2023-08-20 13:31:03,components
