y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_%,unrecognized_and_misclassified_%,unrecognized_misclassified_%,eta,subset_name,num_neurons,stage,thld
0,5997.0,29.0,28.0,28.0,0.004669001167250292,1.0,0.9655172413793104,0,gte_mean,51.0,train,qth_0.75
1,5997.0,4.0,3.0,3.0,0.0005002501250625312,1.0,0.75,0,gte_mean,51.0,train,qth_0.75
2,5997.0,27.0,20.0,20.0,0.0033350008337502085,1.0,0.7407407407407407,0,gte_mean,51.0,train,qth_0.75
3,5997.0,10.0,10.0,10.0,0.0016675004168751042,1.0,1.0,0,gte_mean,51.0,train,qth_0.75
4,5994.0,14.0,13.0,13.0,0.0021688355021688356,1.0,0.9285714285714286,0,gte_mean,51.0,train,qth_0.75
5,5996.0,6.0,6.0,6.0,0.0010006671114076052,1.0,1.0,0,gte_mean,51.0,train,qth_0.75
6,5995.0,62.0,50.0,50.0,0.008340283569641367,1.0,0.8064516129032258,0,gte_mean,51.0,train,qth_0.75
7,5998.0,9.0,8.0,8.0,0.001333777925975325,1.0,0.8888888888888888,0,gte_mean,51.0,train,qth_0.75
8,5999.0,1.0,1.0,1.0,0.0001666944490748458,1.0,1.0,0,gte_mean,51.0,train,qth_0.75
9,5998.0,7.0,4.0,4.0,0.0006668889629876625,1.0,0.5714285714285714,0,gte_mean,51.0,train,qth_0.75
all,59968.0,169.0,143.0,143.0,0.0023846051227321237,1.0,0.8461538461538461,0,gte_mean,51.0,train,qth_0.75
0,5997.0,29.0,28.0,28.0,0.004669001167250292,1.0,0.9655172413793104,1,gte_mean,51.0,train,qth_0.75
1,5997.0,4.0,3.0,3.0,0.0005002501250625312,1.0,0.75,1,gte_mean,51.0,train,qth_0.75
2,5997.0,27.0,20.0,20.0,0.0033350008337502085,1.0,0.7407407407407407,1,gte_mean,51.0,train,qth_0.75
3,5997.0,10.0,10.0,10.0,0.0016675004168751042,1.0,1.0,1,gte_mean,51.0,train,qth_0.75
4,5994.0,14.0,13.0,13.0,0.0021688355021688356,1.0,0.9285714285714286,1,gte_mean,51.0,train,qth_0.75
5,5996.0,6.0,6.0,6.0,0.0010006671114076052,1.0,1.0,1,gte_mean,51.0,train,qth_0.75
6,5995.0,62.0,50.0,50.0,0.008340283569641367,1.0,0.8064516129032258,1,gte_mean,51.0,train,qth_0.75
7,5998.0,9.0,8.0,8.0,0.001333777925975325,1.0,0.8888888888888888,1,gte_mean,51.0,train,qth_0.75
8,5999.0,1.0,1.0,1.0,0.0001666944490748458,1.0,1.0,1,gte_mean,51.0,train,qth_0.75
9,5998.0,7.0,4.0,4.0,0.0006668889629876625,1.0,0.5714285714285714,1,gte_mean,51.0,train,qth_0.75
all,59968.0,169.0,143.0,143.0,0.0023846051227321237,1.0,0.8461538461538461,1,gte_mean,51.0,train,qth_0.75
0,5997.0,29.0,28.0,28.0,0.004669001167250292,1.0,0.9655172413793104,2,gte_mean,51.0,train,qth_0.75
1,5997.0,4.0,3.0,3.0,0.0005002501250625312,1.0,0.75,2,gte_mean,51.0,train,qth_0.75
2,5997.0,27.0,20.0,20.0,0.0033350008337502085,1.0,0.7407407407407407,2,gte_mean,51.0,train,qth_0.75
3,5997.0,10.0,10.0,10.0,0.0016675004168751042,1.0,1.0,2,gte_mean,51.0,train,qth_0.75
4,5994.0,14.0,13.0,13.0,0.0021688355021688356,1.0,0.9285714285714286,2,gte_mean,51.0,train,qth_0.75
5,5996.0,6.0,6.0,6.0,0.0010006671114076052,1.0,1.0,2,gte_mean,51.0,train,qth_0.75
6,5995.0,62.0,50.0,50.0,0.008340283569641367,1.0,0.8064516129032258,2,gte_mean,51.0,train,qth_0.75
7,5998.0,9.0,8.0,8.0,0.001333777925975325,1.0,0.8888888888888888,2,gte_mean,51.0,train,qth_0.75
8,5999.0,1.0,1.0,1.0,0.0001666944490748458,1.0,1.0,2,gte_mean,51.0,train,qth_0.75
9,5998.0,7.0,4.0,4.0,0.0006668889629876625,1.0,0.5714285714285714,2,gte_mean,51.0,train,qth_0.75
all,59968.0,169.0,143.0,143.0,0.0023846051227321237,1.0,0.8461538461538461,2,gte_mean,51.0,train,qth_0.75
0,5997.0,29.0,28.0,28.0,0.004669001167250292,1.0,0.9655172413793104,3,gte_mean,51.0,train,qth_0.75
1,5997.0,4.0,3.0,3.0,0.0005002501250625312,1.0,0.75,3,gte_mean,51.0,train,qth_0.75
2,5997.0,27.0,20.0,20.0,0.0033350008337502085,1.0,0.7407407407407407,3,gte_mean,51.0,train,qth_0.75
3,5997.0,10.0,10.0,10.0,0.0016675004168751042,1.0,1.0,3,gte_mean,51.0,train,qth_0.75
4,5994.0,14.0,13.0,13.0,0.0021688355021688356,1.0,0.9285714285714286,3,gte_mean,51.0,train,qth_0.75
5,5996.0,6.0,6.0,6.0,0.0010006671114076052,1.0,1.0,3,gte_mean,51.0,train,qth_0.75
6,5995.0,62.0,50.0,50.0,0.008340283569641367,1.0,0.8064516129032258,3,gte_mean,51.0,train,qth_0.75
7,5998.0,9.0,8.0,8.0,0.001333777925975325,1.0,0.8888888888888888,3,gte_mean,51.0,train,qth_0.75
8,5999.0,1.0,1.0,1.0,0.0001666944490748458,1.0,1.0,3,gte_mean,51.0,train,qth_0.75
9,5998.0,7.0,4.0,4.0,0.0006668889629876625,1.0,0.5714285714285714,3,gte_mean,51.0,train,qth_0.75
all,59968.0,169.0,143.0,143.0,0.0023846051227321237,1.0,0.8461538461538461,3,gte_mean,51.0,train,qth_0.75
0,1000.0,120.0,97.0,97.0,0.097,1.0,0.8083333333333333,0,gte_mean,51.0,test,qth_0.75
1,997.0,18.0,10.0,10.0,0.010030090270812437,1.0,0.5555555555555556,0,gte_mean,51.0,test,qth_0.75
2,999.0,83.0,71.0,71.0,0.07107107107107107,1.0,0.8554216867469879,0,gte_mean,51.0,test,qth_0.75
3,999.0,62.0,57.0,57.0,0.057057057057057055,1.0,0.9193548387096774,0,gte_mean,51.0,test,qth_0.75
4,999.0,103.0,96.0,96.0,0.0960960960960961,1.0,0.9320388349514563,0,gte_mean,51.0,test,qth_0.75
5,997.0,19.0,11.0,11.0,0.011033099297893681,1.0,0.5789473684210527,0,gte_mean,51.0,test,qth_0.75
6,999.0,198.0,165.0,165.0,0.16516516516516516,1.0,0.8333333333333334,0,gte_mean,51.0,test,qth_0.75
7,999.0,28.0,19.0,19.0,0.01901901901901902,1.0,0.6785714285714286,0,gte_mean,51.0,test,qth_0.75
8,997.0,14.0,13.0,13.0,0.013039117352056168,1.0,0.9285714285714286,0,gte_mean,51.0,test,qth_0.75
9,998.0,29.0,18.0,18.0,0.018036072144288578,1.0,0.6206896551724138,0,gte_mean,51.0,test,qth_0.75
all,9984.0,674.0,557.0,557.0,0.055789262820512824,1.0,0.8264094955489614,0,gte_mean,51.0,test,qth_0.75
0,1000.0,120.0,97.0,97.0,0.097,1.0,0.8083333333333333,1,gte_mean,51.0,test,qth_0.75
1,997.0,18.0,10.0,10.0,0.010030090270812437,1.0,0.5555555555555556,1,gte_mean,51.0,test,qth_0.75
2,999.0,83.0,71.0,71.0,0.07107107107107107,1.0,0.8554216867469879,1,gte_mean,51.0,test,qth_0.75
3,999.0,62.0,57.0,57.0,0.057057057057057055,1.0,0.9193548387096774,1,gte_mean,51.0,test,qth_0.75
4,999.0,103.0,96.0,96.0,0.0960960960960961,1.0,0.9320388349514563,1,gte_mean,51.0,test,qth_0.75
5,997.0,19.0,11.0,11.0,0.011033099297893681,1.0,0.5789473684210527,1,gte_mean,51.0,test,qth_0.75
6,999.0,198.0,165.0,165.0,0.16516516516516516,1.0,0.8333333333333334,1,gte_mean,51.0,test,qth_0.75
7,999.0,28.0,19.0,19.0,0.01901901901901902,1.0,0.6785714285714286,1,gte_mean,51.0,test,qth_0.75
8,997.0,14.0,13.0,13.0,0.013039117352056168,1.0,0.9285714285714286,1,gte_mean,51.0,test,qth_0.75
9,998.0,29.0,18.0,18.0,0.018036072144288578,1.0,0.6206896551724138,1,gte_mean,51.0,test,qth_0.75
all,9984.0,674.0,557.0,557.0,0.055789262820512824,1.0,0.8264094955489614,1,gte_mean,51.0,test,qth_0.75
0,1000.0,120.0,97.0,97.0,0.097,1.0,0.8083333333333333,2,gte_mean,51.0,test,qth_0.75
1,997.0,18.0,10.0,10.0,0.010030090270812437,1.0,0.5555555555555556,2,gte_mean,51.0,test,qth_0.75
2,999.0,83.0,71.0,71.0,0.07107107107107107,1.0,0.8554216867469879,2,gte_mean,51.0,test,qth_0.75
3,999.0,62.0,57.0,57.0,0.057057057057057055,1.0,0.9193548387096774,2,gte_mean,51.0,test,qth_0.75
4,999.0,103.0,96.0,96.0,0.0960960960960961,1.0,0.9320388349514563,2,gte_mean,51.0,test,qth_0.75
5,997.0,19.0,11.0,11.0,0.011033099297893681,1.0,0.5789473684210527,2,gte_mean,51.0,test,qth_0.75
6,999.0,198.0,165.0,165.0,0.16516516516516516,1.0,0.8333333333333334,2,gte_mean,51.0,test,qth_0.75
7,999.0,28.0,19.0,19.0,0.01901901901901902,1.0,0.6785714285714286,2,gte_mean,51.0,test,qth_0.75
8,997.0,14.0,13.0,13.0,0.013039117352056168,1.0,0.9285714285714286,2,gte_mean,51.0,test,qth_0.75
9,998.0,29.0,18.0,18.0,0.018036072144288578,1.0,0.6206896551724138,2,gte_mean,51.0,test,qth_0.75
