y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_and_classified,NPR,NPV,specificity,eta,subset_name,num_neurons,stage,thld
0,5997,29,26,26,0,0.0043355010838752,1.0,0.896551724137931,0,gte_mean,51,train,relu
1,5997,4,3,3,0,0.0005002501250625,1.0,0.75,0,gte_mean,51,train,relu
2,5997,27,27,27,0,0.0045022511255627,1.0,1.0,0,gte_mean,51,train,relu
3,5997,10,10,10,0,0.0016675004168751,1.0,1.0,0,gte_mean,51,train,relu
4,5994,14,13,13,0,0.0021688355021688,1.0,0.9285714285714286,0,gte_mean,51,train,relu
5,5996,6,6,6,0,0.0010006671114076,1.0,1.0,0,gte_mean,51,train,relu
6,5995,62,58,58,0,0.0096747289407839,1.0,0.9354838709677419,0,gte_mean,51,train,relu
7,5998,9,5,5,0,0.0008336112037345,1.0,0.5555555555555556,0,gte_mean,51,train,relu
8,5999,1,1,1,0,0.0001666944490748,1.0,1.0,0,gte_mean,51,train,relu
9,5998,7,5,5,0,0.0008336112037345,1.0,0.7142857142857143,0,gte_mean,51,train,relu
all,59968,169,154,154,0,0.0025680362860192,1.0,0.9112426035502958,0,gte_mean,51,train,relu
0,5997,29,26,26,0,0.0043355010838752,1.0,0.896551724137931,1,gte_mean,51,train,relu
1,5997,4,3,3,0,0.0005002501250625,1.0,0.75,1,gte_mean,51,train,relu
2,5997,27,27,27,0,0.0045022511255627,1.0,1.0,1,gte_mean,51,train,relu
3,5997,10,10,10,0,0.0016675004168751,1.0,1.0,1,gte_mean,51,train,relu
4,5994,14,13,13,0,0.0021688355021688,1.0,0.9285714285714286,1,gte_mean,51,train,relu
5,5996,6,6,6,0,0.0010006671114076,1.0,1.0,1,gte_mean,51,train,relu
6,5995,62,58,58,0,0.0096747289407839,1.0,0.9354838709677419,1,gte_mean,51,train,relu
7,5998,9,5,5,0,0.0008336112037345,1.0,0.5555555555555556,1,gte_mean,51,train,relu
8,5999,1,1,1,0,0.0001666944490748,1.0,1.0,1,gte_mean,51,train,relu
9,5998,7,5,5,0,0.0008336112037345,1.0,0.7142857142857143,1,gte_mean,51,train,relu
all,59968,169,154,154,0,0.0025680362860192,1.0,0.9112426035502958,1,gte_mean,51,train,relu
0,5997,29,26,26,0,0.0043355010838752,1.0,0.896551724137931,2,gte_mean,51,train,relu
1,5997,4,3,3,0,0.0005002501250625,1.0,0.75,2,gte_mean,51,train,relu
2,5997,27,27,27,0,0.0045022511255627,1.0,1.0,2,gte_mean,51,train,relu
3,5997,10,10,10,0,0.0016675004168751,1.0,1.0,2,gte_mean,51,train,relu
4,5994,14,13,13,0,0.0021688355021688,1.0,0.9285714285714286,2,gte_mean,51,train,relu
5,5996,6,6,6,0,0.0010006671114076,1.0,1.0,2,gte_mean,51,train,relu
6,5995,62,58,58,0,0.0096747289407839,1.0,0.9354838709677419,2,gte_mean,51,train,relu
7,5998,9,5,5,0,0.0008336112037345,1.0,0.5555555555555556,2,gte_mean,51,train,relu
8,5999,1,1,1,0,0.0001666944490748,1.0,1.0,2,gte_mean,51,train,relu
9,5998,7,5,5,0,0.0008336112037345,1.0,0.7142857142857143,2,gte_mean,51,train,relu
all,59968,169,154,154,0,0.0025680362860192,1.0,0.9112426035502958,2,gte_mean,51,train,relu
0,5997,29,26,26,0,0.0043355010838752,1.0,0.896551724137931,3,gte_mean,51,train,relu
1,5997,4,3,3,0,0.0005002501250625,1.0,0.75,3,gte_mean,51,train,relu
2,5997,27,27,27,0,0.0045022511255627,1.0,1.0,3,gte_mean,51,train,relu
3,5997,10,10,10,0,0.0016675004168751,1.0,1.0,3,gte_mean,51,train,relu
4,5994,14,13,13,0,0.0021688355021688,1.0,0.9285714285714286,3,gte_mean,51,train,relu
5,5996,6,6,6,0,0.0010006671114076,1.0,1.0,3,gte_mean,51,train,relu
6,5995,62,58,58,0,0.0096747289407839,1.0,0.9354838709677419,3,gte_mean,51,train,relu
7,5998,9,5,5,0,0.0008336112037345,1.0,0.5555555555555556,3,gte_mean,51,train,relu
8,5999,1,1,1,0,0.0001666944490748,1.0,1.0,3,gte_mean,51,train,relu
9,5998,7,5,5,0,0.0008336112037345,1.0,0.7142857142857143,3,gte_mean,51,train,relu
all,59968,169,154,154,0,0.0025680362860192,1.0,0.9112426035502958,3,gte_mean,51,train,relu
0,1000,120,108,108,0,0.108,1.0,0.9,0,gte_mean,51,test,relu
1,997,18,17,17,0,0.0170511534603811,1.0,0.9444444444444444,0,gte_mean,51,test,relu
2,999,83,80,80,0,0.08008008008008,1.0,0.963855421686747,0,gte_mean,51,test,relu
3,999,62,61,61,0,0.061061061061061,1.0,0.9838709677419355,0,gte_mean,51,test,relu
4,999,103,99,99,0,0.0990990990990991,1.0,0.9611650485436893,0,gte_mean,51,test,relu
5,997,19,15,15,0,0.0150451354062186,1.0,0.7894736842105263,0,gte_mean,51,test,relu
6,999,198,183,183,0,0.1831831831831832,1.0,0.9242424242424242,0,gte_mean,51,test,relu
7,999,28,15,15,0,0.015015015015015,1.0,0.5357142857142857,0,gte_mean,51,test,relu
8,997,14,14,14,0,0.0140421263791374,1.0,1.0,0,gte_mean,51,test,relu
9,998,29,20,20,0,0.0200400801603206,1.0,0.6896551724137931,0,gte_mean,51,test,relu
all,9984,674,612,612,0,0.0612980769230769,1.0,0.9080118694362018,0,gte_mean,51,test,relu
0,1000,120,108,108,0,0.108,1.0,0.9,1,gte_mean,51,test,relu
1,997,18,17,17,0,0.0170511534603811,1.0,0.9444444444444444,1,gte_mean,51,test,relu
