y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_and_classified,NPR,NPV,specificity,eta,subset_name,num_neurons,stage,thld
0,5997,29,22,22,0,0.0036685009171252,1.0,0.7586206896551724,0,top_third,33,train,mean
1,5997,4,4,4,0,0.00066700016675,1.0,1.0,0,top_third,33,train,mean
2,5997,27,21,21,0,0.0035017508754377,1.0,0.7777777777777778,0,top_third,33,train,mean
3,5997,10,9,9,0,0.0015007503751875,1.0,0.9,0,top_third,33,train,mean
4,5994,14,8,8,0,0.0013346680013346,1.0,0.5714285714285714,0,top_third,33,train,mean
5,5996,6,5,5,0,0.0008338892595063,1.0,0.8333333333333334,0,top_third,33,train,mean
6,5995,62,39,39,0,0.0065054211843202,1.0,0.6290322580645161,0,top_third,33,train,mean
7,5998,9,5,5,0,0.0008336112037345,1.0,0.5555555555555556,0,top_third,33,train,mean
8,5999,1,1,1,0,0.0001666944490748,1.0,1.0,0,top_third,33,train,mean
9,5998,7,4,4,0,0.0006668889629876,1.0,0.5714285714285714,0,top_third,33,train,mean
all,59968,169,118,118,0,0.0019677161152614,1.0,0.6982248520710059,0,top_third,33,train,mean
0,5997,29,22,22,0,0.0036685009171252,1.0,0.7586206896551724,1,top_third,33,train,mean
1,5997,4,4,4,0,0.00066700016675,1.0,1.0,1,top_third,33,train,mean
2,5997,27,21,21,0,0.0035017508754377,1.0,0.7777777777777778,1,top_third,33,train,mean
3,5997,10,9,9,0,0.0015007503751875,1.0,0.9,1,top_third,33,train,mean
4,5994,14,8,8,0,0.0013346680013346,1.0,0.5714285714285714,1,top_third,33,train,mean
5,5996,6,5,5,0,0.0008338892595063,1.0,0.8333333333333334,1,top_third,33,train,mean
6,5995,62,39,39,0,0.0065054211843202,1.0,0.6290322580645161,1,top_third,33,train,mean
7,5998,9,5,5,0,0.0008336112037345,1.0,0.5555555555555556,1,top_third,33,train,mean
8,5999,1,1,1,0,0.0001666944490748,1.0,1.0,1,top_third,33,train,mean
9,5998,7,4,4,0,0.0006668889629876,1.0,0.5714285714285714,1,top_third,33,train,mean
all,59968,169,118,118,0,0.0019677161152614,1.0,0.6982248520710059,1,top_third,33,train,mean
0,5997,29,22,22,0,0.0036685009171252,1.0,0.7586206896551724,2,top_third,33,train,mean
1,5997,4,4,4,0,0.00066700016675,1.0,1.0,2,top_third,33,train,mean
2,5997,27,21,21,0,0.0035017508754377,1.0,0.7777777777777778,2,top_third,33,train,mean
3,5997,10,9,9,0,0.0015007503751875,1.0,0.9,2,top_third,33,train,mean
4,5994,14,8,8,0,0.0013346680013346,1.0,0.5714285714285714,2,top_third,33,train,mean
5,5996,6,5,5,0,0.0008338892595063,1.0,0.8333333333333334,2,top_third,33,train,mean
6,5995,62,39,39,0,0.0065054211843202,1.0,0.6290322580645161,2,top_third,33,train,mean
7,5998,9,5,5,0,0.0008336112037345,1.0,0.5555555555555556,2,top_third,33,train,mean
8,5999,1,1,1,0,0.0001666944490748,1.0,1.0,2,top_third,33,train,mean
9,5998,7,4,4,0,0.0006668889629876,1.0,0.5714285714285714,2,top_third,33,train,mean
all,59968,169,118,118,0,0.0019677161152614,1.0,0.6982248520710059,2,top_third,33,train,mean
0,5997,29,22,22,0,0.0036685009171252,1.0,0.7586206896551724,3,top_third,33,train,mean
1,5997,4,4,4,0,0.00066700016675,1.0,1.0,3,top_third,33,train,mean
2,5997,27,21,21,0,0.0035017508754377,1.0,0.7777777777777778,3,top_third,33,train,mean
3,5997,10,9,9,0,0.0015007503751875,1.0,0.9,3,top_third,33,train,mean
4,5994,14,8,8,0,0.0013346680013346,1.0,0.5714285714285714,3,top_third,33,train,mean
5,5996,6,5,5,0,0.0008338892595063,1.0,0.8333333333333334,3,top_third,33,train,mean
6,5995,62,39,39,0,0.0065054211843202,1.0,0.6290322580645161,3,top_third,33,train,mean
7,5998,9,5,5,0,0.0008336112037345,1.0,0.5555555555555556,3,top_third,33,train,mean
8,5999,1,1,1,0,0.0001666944490748,1.0,1.0,3,top_third,33,train,mean
9,5998,7,4,4,0,0.0006668889629876,1.0,0.5714285714285714,3,top_third,33,train,mean
all,59968,169,118,118,0,0.0019677161152614,1.0,0.6982248520710059,3,top_third,33,train,mean
0,1000,120,84,84,0,0.084,1.0,0.7,0,top_third,33,test,mean
1,997,18,14,14,0,0.0140421263791374,1.0,0.7777777777777778,0,top_third,33,test,mean
2,999,83,54,54,0,0.054054054054054,1.0,0.6506024096385542,0,top_third,33,test,mean
3,999,62,47,47,0,0.047047047047047,1.0,0.7580645161290323,0,top_third,33,test,mean
4,999,103,67,67,0,0.067067067067067,1.0,0.6504854368932039,0,top_third,33,test,mean
5,997,19,15,15,0,0.0150451354062186,1.0,0.7894736842105263,0,top_third,33,test,mean
6,999,198,123,123,0,0.1231231231231231,1.0,0.6212121212121212,0,top_third,33,test,mean
7,999,28,10,10,0,0.01001001001001,1.0,0.35714285714285715,0,top_third,33,test,mean
8,997,14,13,13,0,0.0130391173520561,1.0,0.9285714285714286,0,top_third,33,test,mean
9,998,29,17,17,0,0.0170340681362725,1.0,0.5862068965517241,0,top_third,33,test,mean
all,9984,674,444,444,0,0.0444711538461538,1.0,0.658753709198813,0,top_third,33,test,mean
0,1000,120,84,84,0,0.084,1.0,0.7,1,top_third,33,test,mean
1,997,18,14,14,0,0.0140421263791374,1.0,0.7777777777777778,1,top_third,33,test,mean
