y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_%,unrecognized_and_misclassified_%,unrecognized_misclassified_%,eta,subset_name,num_neurons,stage,thld
0,5997.0,29.0,11.0,11.0,0.0018342504585626147,1.0,0.3793103448275862,0,top_third,33.0,train,qth_0.75
1,5997.0,4.0,0.0,0.0,0.0,0.0,1.0,0,top_third,33.0,train,qth_0.75
2,5997.0,27.0,12.0,12.0,0.002001000500250125,1.0,0.4444444444444444,0,top_third,33.0,train,qth_0.75
3,5997.0,10.0,8.0,8.0,0.0013340003335000834,1.0,0.8,0,top_third,33.0,train,qth_0.75
4,5994.0,14.0,9.0,9.0,0.0015015015015015015,1.0,0.6428571428571429,0,top_third,33.0,train,qth_0.75
5,5996.0,6.0,5.0,5.0,0.0008338892595063375,1.0,0.8333333333333334,0,top_third,33.0,train,qth_0.75
6,5995.0,62.0,19.0,19.0,0.00316930775646372,1.0,0.3064516129032258,0,top_third,33.0,train,qth_0.75
7,5998.0,9.0,4.0,4.0,0.0006668889629876625,1.0,0.4444444444444444,0,top_third,33.0,train,qth_0.75
8,5999.0,1.0,0.0,0.0,0.0,0.0,1.0,0,top_third,33.0,train,qth_0.75
9,5998.0,7.0,3.0,3.0,0.0005001667222407469,1.0,0.42857142857142855,0,top_third,33.0,train,qth_0.75
all,59968.0,169.0,71.0,71.0,0.001183964781216649,1.0,0.42011834319526625,0,top_third,33.0,train,qth_0.75
0,5997.0,29.0,11.0,11.0,0.0018342504585626147,1.0,0.3793103448275862,1,top_third,33.0,train,qth_0.75
1,5997.0,4.0,0.0,0.0,0.0,0.0,1.0,1,top_third,33.0,train,qth_0.75
2,5997.0,27.0,12.0,12.0,0.002001000500250125,1.0,0.4444444444444444,1,top_third,33.0,train,qth_0.75
3,5997.0,10.0,8.0,8.0,0.0013340003335000834,1.0,0.8,1,top_third,33.0,train,qth_0.75
4,5994.0,14.0,9.0,9.0,0.0015015015015015015,1.0,0.6428571428571429,1,top_third,33.0,train,qth_0.75
5,5996.0,6.0,5.0,5.0,0.0008338892595063375,1.0,0.8333333333333334,1,top_third,33.0,train,qth_0.75
6,5995.0,62.0,19.0,19.0,0.00316930775646372,1.0,0.3064516129032258,1,top_third,33.0,train,qth_0.75
7,5998.0,9.0,4.0,4.0,0.0006668889629876625,1.0,0.4444444444444444,1,top_third,33.0,train,qth_0.75
8,5999.0,1.0,0.0,0.0,0.0,0.0,1.0,1,top_third,33.0,train,qth_0.75
9,5998.0,7.0,3.0,3.0,0.0005001667222407469,1.0,0.42857142857142855,1,top_third,33.0,train,qth_0.75
all,59968.0,169.0,71.0,71.0,0.001183964781216649,1.0,0.42011834319526625,1,top_third,33.0,train,qth_0.75
0,5997.0,29.0,11.0,11.0,0.0018342504585626147,1.0,0.3793103448275862,2,top_third,33.0,train,qth_0.75
1,5997.0,4.0,0.0,0.0,0.0,0.0,1.0,2,top_third,33.0,train,qth_0.75
2,5997.0,27.0,12.0,12.0,0.002001000500250125,1.0,0.4444444444444444,2,top_third,33.0,train,qth_0.75
3,5997.0,10.0,8.0,8.0,0.0013340003335000834,1.0,0.8,2,top_third,33.0,train,qth_0.75
4,5994.0,14.0,9.0,9.0,0.0015015015015015015,1.0,0.6428571428571429,2,top_third,33.0,train,qth_0.75
5,5996.0,6.0,5.0,5.0,0.0008338892595063375,1.0,0.8333333333333334,2,top_third,33.0,train,qth_0.75
6,5995.0,62.0,19.0,19.0,0.00316930775646372,1.0,0.3064516129032258,2,top_third,33.0,train,qth_0.75
7,5998.0,9.0,4.0,4.0,0.0006668889629876625,1.0,0.4444444444444444,2,top_third,33.0,train,qth_0.75
8,5999.0,1.0,0.0,0.0,0.0,0.0,1.0,2,top_third,33.0,train,qth_0.75
9,5998.0,7.0,3.0,3.0,0.0005001667222407469,1.0,0.42857142857142855,2,top_third,33.0,train,qth_0.75
all,59968.0,169.0,71.0,71.0,0.001183964781216649,1.0,0.42011834319526625,2,top_third,33.0,train,qth_0.75
0,5997.0,29.0,11.0,11.0,0.0018342504585626147,1.0,0.3793103448275862,3,top_third,33.0,train,qth_0.75
1,5997.0,4.0,0.0,0.0,0.0,0.0,1.0,3,top_third,33.0,train,qth_0.75
2,5997.0,27.0,12.0,12.0,0.002001000500250125,1.0,0.4444444444444444,3,top_third,33.0,train,qth_0.75
3,5997.0,10.0,8.0,8.0,0.0013340003335000834,1.0,0.8,3,top_third,33.0,train,qth_0.75
4,5994.0,14.0,9.0,9.0,0.0015015015015015015,1.0,0.6428571428571429,3,top_third,33.0,train,qth_0.75
5,5996.0,6.0,5.0,5.0,0.0008338892595063375,1.0,0.8333333333333334,3,top_third,33.0,train,qth_0.75
6,5995.0,62.0,19.0,19.0,0.00316930775646372,1.0,0.3064516129032258,3,top_third,33.0,train,qth_0.75
7,5998.0,9.0,4.0,4.0,0.0006668889629876625,1.0,0.4444444444444444,3,top_third,33.0,train,qth_0.75
8,5999.0,1.0,0.0,0.0,0.0,0.0,1.0,3,top_third,33.0,train,qth_0.75
9,5998.0,7.0,3.0,3.0,0.0005001667222407469,1.0,0.42857142857142855,3,top_third,33.0,train,qth_0.75
all,59968.0,169.0,71.0,71.0,0.001183964781216649,1.0,0.42011834319526625,3,top_third,33.0,train,qth_0.75
0,1000.0,120.0,36.0,36.0,0.036,1.0,0.3,0,top_third,33.0,test,qth_0.75
1,997.0,18.0,3.0,3.0,0.003009027081243731,1.0,0.16666666666666666,0,top_third,33.0,test,qth_0.75
2,999.0,83.0,26.0,26.0,0.026026026026026026,1.0,0.3132530120481928,0,top_third,33.0,test,qth_0.75
3,999.0,62.0,33.0,33.0,0.03303303303303303,1.0,0.532258064516129,0,top_third,33.0,test,qth_0.75
4,999.0,103.0,60.0,60.0,0.06006006006006006,1.0,0.5825242718446602,0,top_third,33.0,test,qth_0.75
5,997.0,19.0,5.0,5.0,0.0050150451354062184,1.0,0.2631578947368421,0,top_third,33.0,test,qth_0.75
6,999.0,198.0,80.0,80.0,0.08008008008008008,1.0,0.40404040404040403,0,top_third,33.0,test,qth_0.75
7,999.0,28.0,16.0,16.0,0.016016016016016016,1.0,0.5714285714285714,0,top_third,33.0,test,qth_0.75
8,997.0,14.0,11.0,11.0,0.011033099297893681,1.0,0.7857142857142857,0,top_third,33.0,test,qth_0.75
9,998.0,29.0,13.0,13.0,0.013026052104208416,1.0,0.4482758620689655,0,top_third,33.0,test,qth_0.75
all,9984.0,674.0,283.0,283.0,0.028345352564102564,1.0,0.4198813056379822,0,top_third,33.0,test,qth_0.75
0,1000.0,120.0,36.0,36.0,0.036,1.0,0.3,1,top_third,33.0,test,qth_0.75
1,997.0,18.0,3.0,3.0,0.003009027081243731,1.0,0.16666666666666666,1,top_third,33.0,test,qth_0.75
2,999.0,83.0,26.0,26.0,0.026026026026026026,1.0,0.3132530120481928,1,top_third,33.0,test,qth_0.75
3,999.0,62.0,33.0,33.0,0.03303303303303303,1.0,0.532258064516129,1,top_third,33.0,test,qth_0.75
4,999.0,103.0,60.0,60.0,0.06006006006006006,1.0,0.5825242718446602,1,top_third,33.0,test,qth_0.75
5,997.0,19.0,5.0,5.0,0.0050150451354062184,1.0,0.2631578947368421,1,top_third,33.0,test,qth_0.75
6,999.0,198.0,80.0,80.0,0.08008008008008008,1.0,0.40404040404040403,1,top_third,33.0,test,qth_0.75
7,999.0,28.0,16.0,16.0,0.016016016016016016,1.0,0.5714285714285714,1,top_third,33.0,test,qth_0.75
8,997.0,14.0,11.0,11.0,0.011033099297893681,1.0,0.7857142857142857,1,top_third,33.0,test,qth_0.75
