y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_%,unrecognized_and_misclassified_%,unrecognized_misclassified_%,eta,subset_name,num_neurons,stage,thld
0,5997.0,29.0,18.0,18.0,0.0030015007503751876,1.0,0.6206896551724138,0,top_third,33.0,train,relu
1,5997.0,4.0,2.0,2.0,0.00033350008337502084,1.0,0.5,0,top_third,33.0,train,relu
2,5997.0,27.0,22.0,22.0,0.0036685009171252294,1.0,0.8148148148148148,0,top_third,33.0,train,relu
3,5997.0,10.0,8.0,8.0,0.0013340003335000834,1.0,0.8,0,top_third,33.0,train,relu
4,5994.0,14.0,8.0,8.0,0.001334668001334668,1.0,0.5714285714285714,0,top_third,33.0,train,relu
5,5996.0,6.0,3.0,3.0,0.0005003335557038026,1.0,0.5,0,top_third,33.0,train,relu
6,5995.0,62.0,44.0,44.0,0.007339449541284404,1.0,0.7096774193548387,0,top_third,33.0,train,relu
7,5998.0,9.0,4.0,4.0,0.0006668889629876625,1.0,0.4444444444444444,0,top_third,33.0,train,relu
8,5999.0,1.0,1.0,1.0,0.0001666944490748458,1.0,1.0,0,top_third,33.0,train,relu
9,5998.0,7.0,3.0,3.0,0.0005001667222407469,1.0,0.42857142857142855,0,top_third,33.0,train,relu
all,59968.0,169.0,113.0,113.0,0.0018843383137673426,1.0,0.6686390532544378,0,top_third,33.0,train,relu
0,5997.0,29.0,18.0,18.0,0.0030015007503751876,1.0,0.6206896551724138,1,top_third,33.0,train,relu
1,5997.0,4.0,2.0,2.0,0.00033350008337502084,1.0,0.5,1,top_third,33.0,train,relu
2,5997.0,27.0,22.0,22.0,0.0036685009171252294,1.0,0.8148148148148148,1,top_third,33.0,train,relu
3,5997.0,10.0,8.0,8.0,0.0013340003335000834,1.0,0.8,1,top_third,33.0,train,relu
4,5994.0,14.0,8.0,8.0,0.001334668001334668,1.0,0.5714285714285714,1,top_third,33.0,train,relu
5,5996.0,6.0,3.0,3.0,0.0005003335557038026,1.0,0.5,1,top_third,33.0,train,relu
6,5995.0,62.0,44.0,44.0,0.007339449541284404,1.0,0.7096774193548387,1,top_third,33.0,train,relu
7,5998.0,9.0,4.0,4.0,0.0006668889629876625,1.0,0.4444444444444444,1,top_third,33.0,train,relu
8,5999.0,1.0,1.0,1.0,0.0001666944490748458,1.0,1.0,1,top_third,33.0,train,relu
9,5998.0,7.0,3.0,3.0,0.0005001667222407469,1.0,0.42857142857142855,1,top_third,33.0,train,relu
all,59968.0,169.0,113.0,113.0,0.0018843383137673426,1.0,0.6686390532544378,1,top_third,33.0,train,relu
0,5997.0,29.0,18.0,18.0,0.0030015007503751876,1.0,0.6206896551724138,2,top_third,33.0,train,relu
1,5997.0,4.0,2.0,2.0,0.00033350008337502084,1.0,0.5,2,top_third,33.0,train,relu
2,5997.0,27.0,22.0,22.0,0.0036685009171252294,1.0,0.8148148148148148,2,top_third,33.0,train,relu
3,5997.0,10.0,8.0,8.0,0.0013340003335000834,1.0,0.8,2,top_third,33.0,train,relu
4,5994.0,14.0,8.0,8.0,0.001334668001334668,1.0,0.5714285714285714,2,top_third,33.0,train,relu
5,5996.0,6.0,3.0,3.0,0.0005003335557038026,1.0,0.5,2,top_third,33.0,train,relu
6,5995.0,62.0,44.0,44.0,0.007339449541284404,1.0,0.7096774193548387,2,top_third,33.0,train,relu
7,5998.0,9.0,4.0,4.0,0.0006668889629876625,1.0,0.4444444444444444,2,top_third,33.0,train,relu
8,5999.0,1.0,1.0,1.0,0.0001666944490748458,1.0,1.0,2,top_third,33.0,train,relu
9,5998.0,7.0,3.0,3.0,0.0005001667222407469,1.0,0.42857142857142855,2,top_third,33.0,train,relu
all,59968.0,169.0,113.0,113.0,0.0018843383137673426,1.0,0.6686390532544378,2,top_third,33.0,train,relu
0,5997.0,29.0,18.0,18.0,0.0030015007503751876,1.0,0.6206896551724138,3,top_third,33.0,train,relu
1,5997.0,4.0,2.0,2.0,0.00033350008337502084,1.0,0.5,3,top_third,33.0,train,relu
2,5997.0,27.0,22.0,22.0,0.0036685009171252294,1.0,0.8148148148148148,3,top_third,33.0,train,relu
3,5997.0,10.0,8.0,8.0,0.0013340003335000834,1.0,0.8,3,top_third,33.0,train,relu
4,5994.0,14.0,8.0,8.0,0.001334668001334668,1.0,0.5714285714285714,3,top_third,33.0,train,relu
5,5996.0,6.0,3.0,3.0,0.0005003335557038026,1.0,0.5,3,top_third,33.0,train,relu
6,5995.0,62.0,44.0,44.0,0.007339449541284404,1.0,0.7096774193548387,3,top_third,33.0,train,relu
7,5998.0,9.0,4.0,4.0,0.0006668889629876625,1.0,0.4444444444444444,3,top_third,33.0,train,relu
8,5999.0,1.0,1.0,1.0,0.0001666944490748458,1.0,1.0,3,top_third,33.0,train,relu
9,5998.0,7.0,3.0,3.0,0.0005001667222407469,1.0,0.42857142857142855,3,top_third,33.0,train,relu
all,59968.0,169.0,113.0,113.0,0.0018843383137673426,1.0,0.6686390532544378,3,top_third,33.0,train,relu
0,1000.0,120.0,75.0,75.0,0.075,1.0,0.625,0,top_third,33.0,test,relu
1,997.0,18.0,14.0,14.0,0.014042126379137413,1.0,0.7777777777777778,0,top_third,33.0,test,relu
2,999.0,83.0,69.0,69.0,0.06906906906906907,1.0,0.8313253012048193,0,top_third,33.0,test,relu
3,999.0,62.0,53.0,53.0,0.05305305305305305,1.0,0.8548387096774194,0,top_third,33.0,test,relu
4,999.0,103.0,80.0,80.0,0.08008008008008008,1.0,0.7766990291262136,0,top_third,33.0,test,relu
5,997.0,19.0,10.0,10.0,0.010030090270812437,1.0,0.5263157894736842,0,top_third,33.0,test,relu
6,999.0,198.0,139.0,139.0,0.13913913913913914,1.0,0.702020202020202,0,top_third,33.0,test,relu
7,999.0,28.0,8.0,8.0,0.008008008008008008,1.0,0.2857142857142857,0,top_third,33.0,test,relu
