y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_and_classified,NPR,NPV,specificity,eta,subset_name,num_neurons,stage,thld
0,5997,29,29,29,0,0.0048357512089378,1.0,1.0,0,,100,train,mean
1,5997,4,4,4,0,0.00066700016675,1.0,1.0,0,,100,train,mean
2,5997,27,27,27,0,0.0045022511255627,1.0,1.0,0,,100,train,mean
3,5997,10,10,10,0,0.0016675004168751,1.0,1.0,0,,100,train,mean
4,5994,14,14,14,0,0.0023356690023356,1.0,1.0,0,,100,train,mean
5,5996,6,6,6,0,0.0010006671114076,1.0,1.0,0,,100,train,mean
6,5995,62,62,62,0,0.0103419516263552,1.0,1.0,0,,100,train,mean
7,5998,9,9,9,0,0.0015005001667222,1.0,1.0,0,,100,train,mean
8,5999,1,1,1,0,0.0001666944490748,1.0,1.0,0,,100,train,mean
9,5998,7,7,7,0,0.0011670556852284,1.0,1.0,0,,100,train,mean
all,59968,169,169,169,0,0.0028181696905016,1.0,1.0,0,,100,train,mean
0,5997,29,29,29,0,0.0048357512089378,1.0,1.0,1,,100,train,mean
1,5997,4,4,4,0,0.00066700016675,1.0,1.0,1,,100,train,mean
2,5997,27,27,27,0,0.0045022511255627,1.0,1.0,1,,100,train,mean
3,5997,10,10,10,0,0.0016675004168751,1.0,1.0,1,,100,train,mean
4,5994,14,14,14,0,0.0023356690023356,1.0,1.0,1,,100,train,mean
5,5996,6,6,6,0,0.0010006671114076,1.0,1.0,1,,100,train,mean
6,5995,62,62,62,0,0.0103419516263552,1.0,1.0,1,,100,train,mean
7,5998,9,9,9,0,0.0015005001667222,1.0,1.0,1,,100,train,mean
8,5999,1,1,1,0,0.0001666944490748,1.0,1.0,1,,100,train,mean
9,5998,7,7,7,0,0.0011670556852284,1.0,1.0,1,,100,train,mean
all,59968,169,169,169,0,0.0028181696905016,1.0,1.0,1,,100,train,mean
0,5997,29,29,29,0,0.0048357512089378,1.0,1.0,2,,100,train,mean
1,5997,4,4,4,0,0.00066700016675,1.0,1.0,2,,100,train,mean
2,5997,27,27,27,0,0.0045022511255627,1.0,1.0,2,,100,train,mean
3,5997,10,10,10,0,0.0016675004168751,1.0,1.0,2,,100,train,mean
4,5994,14,14,14,0,0.0023356690023356,1.0,1.0,2,,100,train,mean
5,5996,6,6,6,0,0.0010006671114076,1.0,1.0,2,,100,train,mean
6,5995,62,62,62,0,0.0103419516263552,1.0,1.0,2,,100,train,mean
7,5998,9,9,9,0,0.0015005001667222,1.0,1.0,2,,100,train,mean
8,5999,1,1,1,0,0.0001666944490748,1.0,1.0,2,,100,train,mean
9,5998,7,7,7,0,0.0011670556852284,1.0,1.0,2,,100,train,mean
all,59968,169,169,169,0,0.0028181696905016,1.0,1.0,2,,100,train,mean
0,5997,29,29,29,0,0.0048357512089378,1.0,1.0,3,,100,train,mean
1,5997,4,4,4,0,0.00066700016675,1.0,1.0,3,,100,train,mean
2,5997,27,27,27,0,0.0045022511255627,1.0,1.0,3,,100,train,mean
3,5997,10,10,10,0,0.0016675004168751,1.0,1.0,3,,100,train,mean
4,5994,14,14,14,0,0.0023356690023356,1.0,1.0,3,,100,train,mean
5,5996,6,6,6,0,0.0010006671114076,1.0,1.0,3,,100,train,mean
6,5995,62,62,62,0,0.0103419516263552,1.0,1.0,3,,100,train,mean
7,5998,9,9,9,0,0.0015005001667222,1.0,1.0,3,,100,train,mean
8,5999,1,1,1,0,0.0001666944490748,1.0,1.0,3,,100,train,mean
9,5998,7,7,7,0,0.0011670556852284,1.0,1.0,3,,100,train,mean
all,59968,169,169,169,0,0.0028181696905016,1.0,1.0,3,,100,train,mean
0,1000,120,975,120,855,0.975,0.123076923076923,1.0,0,,100,test,mean
1,997,18,576,18,558,0.5777331995987964,0.03125,1.0,0,,100,test,mean
2,999,83,937,83,854,0.937937937937938,0.0885805763073639,1.0,0,,100,test,mean
3,999,62,970,62,908,0.970970970970971,0.0639175257731958,1.0,0,,100,test,mean
