y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_and_classified,NPR,NPV,specificity,eta,subset_name,num_neurons,stage,thld
0,5997,29,29,29,0,0.0048357512089378,1.0,1.0,0,,100,train,qth_0.75
1,5997,4,4,4,0,0.00066700016675,1.0,1.0,0,,100,train,qth_0.75
2,5997,27,27,27,0,0.0045022511255627,1.0,1.0,0,,100,train,qth_0.75
3,5997,10,10,10,0,0.0016675004168751,1.0,1.0,0,,100,train,qth_0.75
4,5994,14,14,14,0,0.0023356690023356,1.0,1.0,0,,100,train,qth_0.75
5,5996,6,6,6,0,0.0010006671114076,1.0,1.0,0,,100,train,qth_0.75
6,5995,62,62,62,0,0.0103419516263552,1.0,1.0,0,,100,train,qth_0.75
7,5998,9,9,9,0,0.0015005001667222,1.0,1.0,0,,100,train,qth_0.75
8,5999,1,1,1,0,0.0001666944490748,1.0,1.0,0,,100,train,qth_0.75
9,5998,7,7,7,0,0.0011670556852284,1.0,1.0,0,,100,train,qth_0.75
all,59968,169,169,169,0,0.0028181696905016,1.0,1.0,0,,100,train,qth_0.75
0,5997,29,29,29,0,0.0048357512089378,1.0,1.0,1,,100,train,qth_0.75
1,5997,4,4,4,0,0.00066700016675,1.0,1.0,1,,100,train,qth_0.75
2,5997,27,27,27,0,0.0045022511255627,1.0,1.0,1,,100,train,qth_0.75
3,5997,10,10,10,0,0.0016675004168751,1.0,1.0,1,,100,train,qth_0.75
4,5994,14,14,14,0,0.0023356690023356,1.0,1.0,1,,100,train,qth_0.75
5,5996,6,6,6,0,0.0010006671114076,1.0,1.0,1,,100,train,qth_0.75
6,5995,62,62,62,0,0.0103419516263552,1.0,1.0,1,,100,train,qth_0.75
7,5998,9,9,9,0,0.0015005001667222,1.0,1.0,1,,100,train,qth_0.75
8,5999,1,1,1,0,0.0001666944490748,1.0,1.0,1,,100,train,qth_0.75
9,5998,7,7,7,0,0.0011670556852284,1.0,1.0,1,,100,train,qth_0.75
all,59968,169,169,169,0,0.0028181696905016,1.0,1.0,1,,100,train,qth_0.75
0,5997,29,29,29,0,0.0048357512089378,1.0,1.0,2,,100,train,qth_0.75
1,5997,4,4,4,0,0.00066700016675,1.0,1.0,2,,100,train,qth_0.75
2,5997,27,27,27,0,0.0045022511255627,1.0,1.0,2,,100,train,qth_0.75
3,5997,10,10,10,0,0.0016675004168751,1.0,1.0,2,,100,train,qth_0.75
4,5994,14,14,14,0,0.0023356690023356,1.0,1.0,2,,100,train,qth_0.75
5,5996,6,6,6,0,0.0010006671114076,1.0,1.0,2,,100,train,qth_0.75
6,5995,62,62,62,0,0.0103419516263552,1.0,1.0,2,,100,train,qth_0.75
7,5998,9,9,9,0,0.0015005001667222,1.0,1.0,2,,100,train,qth_0.75
8,5999,1,1,1,0,0.0001666944490748,1.0,1.0,2,,100,train,qth_0.75
9,5998,7,7,7,0,0.0011670556852284,1.0,1.0,2,,100,train,qth_0.75
all,59968,169,169,169,0,0.0028181696905016,1.0,1.0,2,,100,train,qth_0.75
0,5997,29,29,29,0,0.0048357512089378,1.0,1.0,3,,100,train,qth_0.75
1,5997,4,4,4,0,0.00066700016675,1.0,1.0,3,,100,train,qth_0.75
2,5997,27,27,27,0,0.0045022511255627,1.0,1.0,3,,100,train,qth_0.75
3,5997,10,10,10,0,0.0016675004168751,1.0,1.0,3,,100,train,qth_0.75
4,5994,14,14,14,0,0.0023356690023356,1.0,1.0,3,,100,train,qth_0.75
5,5996,6,6,6,0,0.0010006671114076,1.0,1.0,3,,100,train,qth_0.75
6,5995,62,62,62,0,0.0103419516263552,1.0,1.0,3,,100,train,qth_0.75
7,5998,9,9,9,0,0.0015005001667222,1.0,1.0,3,,100,train,qth_0.75
8,5999,1,1,1,0,0.0001666944490748,1.0,1.0,3,,100,train,qth_0.75
9,5998,7,7,7,0,0.0011670556852284,1.0,1.0,3,,100,train,qth_0.75
all,59968,169,169,169,0,0.0028181696905016,1.0,1.0,3,,100,train,qth_0.75
0,1000,120,941,120,821,0.941,0.1275239107332625,1.0,0,,100,test,qth_0.75
1,997,18,763,18,745,0.765295887662989,0.0235910878112712,1.0,0,,100,test,qth_0.75
2,999,83,975,83,892,0.975975975975976,0.0851282051282051,1.0,0,,100,test,qth_0.75
3,999,62,979,62,917,0.97997997997998,0.0633299284984678,1.0,0,,100,test,qth_0.75
4,999,103,893,101,792,0.8938938938938938,0.1131019036954087,0.9805825242718447,0,,100,test,qth_0.75
5,997,19,750,19,731,0.7522567703109327,0.0253333333333333,1.0,0,,100,test,qth_0.75
6,999,198,908,198,710,0.908908908908909,0.2180616740088105,1.0,0,,100,test,qth_0.75
7,999,28,695,27,668,0.6956956956956957,0.0388489208633093,0.9642857142857143,0,,100,test,qth_0.75
8,997,14,952,14,938,0.954864593781344,0.0147058823529411,1.0,0,,100,test,qth_0.75
9,998,29,780,28,752,0.781563126252505,0.0358974358974358,0.9655172413793104,0,,100,test,qth_0.75
all,9984,674,8636,670,7966,0.8649839743589743,0.0775822139879574,0.9940652818991098,0,,100,test,qth_0.75
0,1000,120,941,120,821,0.941,0.1275239107332625,1.0,1,,100,test,qth_0.75
1,997,18,763,18,745,0.765295887662989,0.0235910878112712,1.0,1,,100,test,qth_0.75
2,999,83,975,83,892,0.975975975975976,0.0851282051282051,1.0,1,,100,test,qth_0.75
3,999,62,979,62,917,0.97997997997998,0.0633299284984678,1.0,1,,100,test,qth_0.75
4,999,103,893,101,792,0.8938938938938938,0.1131019036954087,0.9805825242718447,1,,100,test,qth_0.75
5,997,19,750,19,731,0.7522567703109327,0.0253333333333333,1.0,1,,100,test,qth_0.75
