y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_%,unrecognized_and_misclassified_%,unrecognized_misclassified_%,eta,subset_name,num_neurons,stage,thld
0,5997.0,29.0,26.0,26.0,0.004335501083875271,1.0,0.896551724137931,0,gte_mean,51.0,train,relu
1,5997.0,4.0,3.0,3.0,0.0005002501250625312,1.0,0.75,0,gte_mean,51.0,train,relu
2,5997.0,27.0,27.0,27.0,0.004502251125562781,1.0,1.0,0,gte_mean,51.0,train,relu
3,5997.0,10.0,10.0,10.0,0.0016675004168751042,1.0,1.0,0,gte_mean,51.0,train,relu
4,5994.0,14.0,14.0,14.0,0.002335669002335669,1.0,1.0,0,gte_mean,51.0,train,relu
5,5996.0,6.0,6.0,6.0,0.0010006671114076052,1.0,1.0,0,gte_mean,51.0,train,relu
6,5995.0,62.0,59.0,59.0,0.009841534612176813,1.0,0.9516129032258065,0,gte_mean,51.0,train,relu
7,5998.0,9.0,5.0,5.0,0.0008336112037345782,1.0,0.5555555555555556,0,gte_mean,51.0,train,relu
8,5999.0,1.0,1.0,1.0,0.0001666944490748458,1.0,1.0,0,gte_mean,51.0,train,relu
9,5998.0,7.0,5.0,5.0,0.0008336112037345782,1.0,0.7142857142857143,0,gte_mean,51.0,train,relu
all,59968.0,169.0,156.0,156.0,0.0026013874066168623,1.0,0.9230769230769231,0,gte_mean,51.0,train,relu
0,5997.0,29.0,26.0,26.0,0.004335501083875271,1.0,0.896551724137931,1,gte_mean,51.0,train,relu
1,5997.0,4.0,3.0,3.0,0.0005002501250625312,1.0,0.75,1,gte_mean,51.0,train,relu
2,5997.0,27.0,27.0,27.0,0.004502251125562781,1.0,1.0,1,gte_mean,51.0,train,relu
3,5997.0,10.0,10.0,10.0,0.0016675004168751042,1.0,1.0,1,gte_mean,51.0,train,relu
4,5994.0,14.0,14.0,14.0,0.002335669002335669,1.0,1.0,1,gte_mean,51.0,train,relu
5,5996.0,6.0,6.0,6.0,0.0010006671114076052,1.0,1.0,1,gte_mean,51.0,train,relu
6,5995.0,62.0,59.0,59.0,0.009841534612176813,1.0,0.9516129032258065,1,gte_mean,51.0,train,relu
