y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_%,unrecognized_and_misclassified_%,unrecognized_misclassified_%,eta,subset_name,num_neurons,stage,thld
0,5997.0,29.0,22.0,22.0,0.0036685009171252294,1.0,0.7586206896551724,0,top_third,33.0,train,mean
1,5997.0,4.0,4.0,4.0,0.0006670001667500417,1.0,1.0,0,top_third,33.0,train,mean
2,5997.0,27.0,22.0,22.0,0.0036685009171252294,1.0,0.8148148148148148,0,top_third,33.0,train,mean
3,5997.0,10.0,9.0,9.0,0.0015007503751875938,1.0,0.9,0,top_third,33.0,train,mean
4,5994.0,14.0,8.0,8.0,0.001334668001334668,1.0,0.5714285714285714,0,top_third,33.0,train,mean
5,5996.0,6.0,4.0,4.0,0.00066711140760507,1.0,0.6666666666666666,0,top_third,33.0,train,mean
6,5995.0,62.0,39.0,39.0,0.0065054211843202665,1.0,0.6290322580645161,0,top_third,33.0,train,mean
7,5998.0,9.0,5.0,5.0,0.0008336112037345782,1.0,0.5555555555555556,0,top_third,33.0,train,mean
8,5999.0,1.0,1.0,1.0,0.0001666944490748458,1.0,1.0,0,top_third,33.0,train,mean
9,5998.0,7.0,5.0,5.0,0.0008336112037345782,1.0,0.7142857142857143,0,top_third,33.0,train,mean
all,59968.0,169.0,119.0,119.0,0.001984391675560299,1.0,0.7041420118343196,0,top_third,33.0,train,mean
0,5997.0,29.0,22.0,22.0,0.0036685009171252294,1.0,0.7586206896551724,1,top_third,33.0,train,mean
1,5997.0,4.0,4.0,4.0,0.0006670001667500417,1.0,1.0,1,top_third,33.0,train,mean
2,5997.0,27.0,22.0,22.0,0.0036685009171252294,1.0,0.8148148148148148,1,top_third,33.0,train,mean
3,5997.0,10.0,9.0,9.0,0.0015007503751875938,1.0,0.9,1,top_third,33.0,train,mean
4,5994.0,14.0,8.0,8.0,0.001334668001334668,1.0,0.5714285714285714,1,top_third,33.0,train,mean
5,5996.0,6.0,4.0,4.0,0.00066711140760507,1.0,0.6666666666666666,1,top_third,33.0,train,mean
6,5995.0,62.0,39.0,39.0,0.0065054211843202665,1.0,0.6290322580645161,1,top_third,33.0,train,mean
7,5998.0,9.0,5.0,5.0,0.0008336112037345782,1.0,0.5555555555555556,1,top_third,33.0,train,mean
8,5999.0,1.0,1.0,1.0,0.0001666944490748458,1.0,1.0,1,top_third,33.0,train,mean
9,5998.0,7.0,5.0,5.0,0.0008336112037345782,1.0,0.7142857142857143,1,top_third,33.0,train,mean
all,59968.0,169.0,119.0,119.0,0.001984391675560299,1.0,0.7041420118343196,1,top_third,33.0,train,mean
0,5997.0,29.0,22.0,22.0,0.0036685009171252294,1.0,0.7586206896551724,2,top_third,33.0,train,mean
1,5997.0,4.0,4.0,4.0,0.0006670001667500417,1.0,1.0,2,top_third,33.0,train,mean
2,5997.0,27.0,22.0,22.0,0.0036685009171252294,1.0,0.8148148148148148,2,top_third,33.0,train,mean
3,5997.0,10.0,9.0,9.0,0.0015007503751875938,1.0,0.9,2,top_third,33.0,train,mean
4,5994.0,14.0,8.0,8.0,0.001334668001334668,1.0,0.5714285714285714,2,top_third,33.0,train,mean
5,5996.0,6.0,4.0,4.0,0.00066711140760507,1.0,0.6666666666666666,2,top_third,33.0,train,mean
6,5995.0,62.0,39.0,39.0,0.0065054211843202665,1.0,0.6290322580645161,2,top_third,33.0,train,mean
7,5998.0,9.0,5.0,5.0,0.0008336112037345782,1.0,0.5555555555555556,2,top_third,33.0,train,mean
