y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_%,unrecognized_and_misclassified_%,unrecognized_misclassified_%,eta,subset_name,num_neurons,stage,thld
0,5997.0,29.0,0.0,0.0,0.0,0.0,1.0,0,components,8.0,train,mean
1,5997.0,4.0,0.0,0.0,0.0,0.0,1.0,0,components,8.0,train,mean
2,5997.0,27.0,0.0,0.0,0.0,0.0,1.0,0,components,8.0,train,mean
3,5997.0,10.0,0.0,0.0,0.0,0.0,1.0,0,components,8.0,train,mean
4,5994.0,14.0,0.0,0.0,0.0,0.0,1.0,0,components,8.0,train,mean
5,5996.0,6.0,0.0,0.0,0.0,0.0,1.0,0,components,8.0,train,mean
6,5995.0,62.0,0.0,0.0,0.0,0.0,1.0,0,components,8.0,train,mean
7,5998.0,9.0,0.0,0.0,0.0,0.0,1.0,0,components,8.0,train,mean
8,5999.0,1.0,0.0,0.0,0.0,0.0,1.0,0,components,8.0,train,mean
9,5998.0,7.0,0.0,0.0,0.0,0.0,1.0,0,components,8.0,train,mean
all,59968.0,169.0,0.0,0.0,0.0,0.0,1.0,0,components,8.0,train,mean
0,5997.0,29.0,0.0,0.0,0.0,0.0,1.0,1,components,8.0,train,mean
1,5997.0,4.0,0.0,0.0,0.0,0.0,1.0,1,components,8.0,train,mean
2,5997.0,27.0,0.0,0.0,0.0,0.0,1.0,1,components,8.0,train,mean
3,5997.0,10.0,0.0,0.0,0.0,0.0,1.0,1,components,8.0,train,mean
4,5994.0,14.0,0.0,0.0,0.0,0.0,1.0,1,components,8.0,train,mean
5,5996.0,6.0,0.0,0.0,0.0,0.0,1.0,1,components,8.0,train,mean
6,5995.0,62.0,0.0,0.0,0.0,0.0,1.0,1,components,8.0,train,mean
7,5998.0,9.0,0.0,0.0,0.0,0.0,1.0,1,components,8.0,train,mean
8,5999.0,1.0,0.0,0.0,0.0,0.0,1.0,1,components,8.0,train,mean
9,5998.0,7.0,0.0,0.0,0.0,0.0,1.0,1,components,8.0,train,mean
all,59968.0,169.0,0.0,0.0,0.0,0.0,1.0,1,components,8.0,train,mean
0,5997.0,29.0,0.0,0.0,0.0,0.0,1.0,2,components,8.0,train,mean
1,5997.0,4.0,0.0,0.0,0.0,0.0,1.0,2,components,8.0,train,mean
2,5997.0,27.0,0.0,0.0,0.0,0.0,1.0,2,components,8.0,train,mean
3,5997.0,10.0,0.0,0.0,0.0,0.0,1.0,2,components,8.0,train,mean
4,5994.0,14.0,0.0,0.0,0.0,0.0,1.0,2,components,8.0,train,mean
5,5996.0,6.0,0.0,0.0,0.0,0.0,1.0,2,components,8.0,train,mean
6,5995.0,62.0,0.0,0.0,0.0,0.0,1.0,2,components,8.0,train,mean
7,5998.0,9.0,0.0,0.0,0.0,0.0,1.0,2,components,8.0,train,mean
8,5999.0,1.0,0.0,0.0,0.0,0.0,1.0,2,components,8.0,train,mean
9,5998.0,7.0,0.0,0.0,0.0,0.0,1.0,2,components,8.0,train,mean
all,59968.0,169.0,0.0,0.0,0.0,0.0,1.0,2,components,8.0,train,mean
0,5997.0,29.0,0.0,0.0,0.0,0.0,1.0,3,components,8.0,train,mean
