y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_and_classified,NPR,NPV,specificity,eta,subset_name,num_neurons,stage,thld
0,5997,258,0,0,0,0.0,0.0,0.0,0,components,8,train,relu
1,5997,35,0,0,0,0.0,0.0,0.0,0,components,8,train,relu
2,5997,258,0,0,0,0.0,0.0,0.0,0,components,8,train,relu
3,5997,173,0,0,0,0.0,0.0,0.0,0,components,8,train,relu
4,5994,306,0,0,0,0.0,0.0,0.0,0,components,8,train,relu
5,5996,57,0,0,0,0.0,0.0,0.0,0,components,8,train,relu
6,5995,1135,0,0,0,0.0,0.0,0.0,0,components,8,train,relu
7,5998,167,0,0,0,0.0,0.0,0.0,0,components,8,train,relu
8,5999,18,0,0,0,0.0,0.0,0.0,0,components,8,train,relu
9,5998,60,0,0,0,0.0,0.0,0.0,0,components,8,train,relu
all,59968,2467,0,0,0,0.0,0.0,0.0,0,components,8,train,relu
0,5997,258,0,0,0,0.0,0.0,0.0,1,components,8,train,relu
1,5997,35,0,0,0,0.0,0.0,0.0,1,components,8,train,relu
2,5997,258,0,0,0,0.0,0.0,0.0,1,components,8,train,relu
3,5997,173,0,0,0,0.0,0.0,0.0,1,components,8,train,relu
4,5994,306,0,0,0,0.0,0.0,0.0,1,components,8,train,relu
5,5996,57,0,0,0,0.0,0.0,0.0,1,components,8,train,relu
6,5995,1135,0,0,0,0.0,0.0,0.0,1,components,8,train,relu
7,5998,167,0,0,0,0.0,0.0,0.0,1,components,8,train,relu
8,5999,18,0,0,0,0.0,0.0,0.0,1,components,8,train,relu
9,5998,60,0,0,0,0.0,0.0,0.0,1,components,8,train,relu
all,59968,2467,0,0,0,0.0,0.0,0.0,1,components,8,train,relu
0,5997,258,0,0,0,0.0,0.0,0.0,2,components,8,train,relu
1,5997,35,0,0,0,0.0,0.0,0.0,2,components,8,train,relu
2,5997,258,0,0,0,0.0,0.0,0.0,2,components,8,train,relu
3,5997,173,0,0,0,0.0,0.0,0.0,2,components,8,train,relu
4,5994,306,0,0,0,0.0,0.0,0.0,2,components,8,train,relu
