thld,eta,build_time_min,size_mb,reorder_time_min,num_patterns,num_unique_patterns_%,num_reorder,num_neurons,start_time,end_time
qth_0.75,0.0,1.7,4311.5,0.0,57501.0,78.4,0.0,30.0,2023-08-14 09:07:46,2023-08-14 09:09:28
qth_0.75,1.0,46.133,4320.8,0.0,1352790.0,93.7,0.0,30.0,2023-08-14 09:12:20,2023-08-14 09:58:29
qth_0.75,2.0,15.433,4320.9,0.0,808687.0,97.8,0.0,30.0,2023-08-14 10:01:13,2023-08-14 10:16:40
qth_0.75,3.0,8.033,4320.9,0.0,531029.0,99.3,0.0,30.0,2023-08-14 10:18:02,2023-08-14 10:26:05
qth_0.75,0.0,0.0,4303.4,0.0,57501.0,0.3,0.0,8.0,2023-08-14 09:07:45,2023-08-14 09:07:45
qth_0.75,1.0,0.017,4303.4,0.0,1544.0,15.4,0.0,8.0,2023-08-14 09:08:10,2023-08-14 09:08:11
qth_0.75,2.0,0.0,4303.4,0.0,674.0,22.3,0.0,8.0,2023-08-14 09:08:34,2023-08-14 09:08:34
qth_0.75,3.0,0.0,4303.4,0.0,284.0,29.6,0.0,8.0,2023-08-14 09:08:58,2023-08-14 09:08:59
qth_0.5,0.0,2.4,4315.1,0.0,57501.0,95.4,0.0,30.0,2023-08-14 09:07:49,2023-08-14 09:10:14
qth_0.5,1.0,58.85,4323.0,0.0,1645830.0,97.9,0.0,30.0,2023-08-14 09:13:55,2023-08-14 10:12:47
qth_0.5,2.0,14.65,4323.0,0.0,775525.0,99.1,0.0,30.0,2023-08-14 10:14:33,2023-08-14 10:29:12
qth_0.5,3.0,4.583,4324.8,0.0,367635.0,99.6,0.0,30.0,2023-08-14 10:30:37,2023-08-14 10:35:13
qth_0.5,0.0,0.0,4303.4,0.0,57501.0,0.4,0.0,8.0,2023-08-14 09:07:44,2023-08-14 09:07:44
qth_0.5,1.0,0.017,4303.4,0.0,1992.0,2.6,0.0,8.0,2023-08-14 09:08:08,2023-08-14 09:08:10
qth_0.5,2.0,0.0,4303.4,0.0,875.0,2.4,0.0,8.0,2023-08-14 09:08:34,2023-08-14 09:08:35
qth_0.5,3.0,0.0,4303.4,0.0,379.0,1.3,0.0,8.0,2023-08-14 09:08:59,2023-08-14 09:08:59
qth_0.25,0.0,1.817,4314.4,0.0,57501.0,83.2,0.0,30.0,2023-08-14 09:07:49,2023-08-14 09:09:39
qth_0.25,1.0,47.967,4328.0,0.0,1434540.0,94.0,0.0,30.0,2023-08-14 09:12:31,2023-08-14 10:00:30
qth_0.25,2.0,15.233,4329.3,0.0,851816.0,98.0,0.0,30.0,2023-08-14 10:03:18,2023-08-14 10:18:32
qth_0.25,3.0,8.45,4330.4,0.0,565718.0,99.4,0.0,30.0,2023-08-14 10:19:56,2023-08-14 10:28:24
qth_0.25,0.0,0.0,4303.4,0.0,57501.0,0.3,0.0,8.0,2023-08-14 09:07:51,2023-08-14 09:07:51
qth_0.25,1.0,0.0,4303.4,0.0,1216.0,23.2,0.0,8.0,2023-08-14 09:08:15,2023-08-14 09:08:16
qth_0.25,2.0,0.0,4303.4,0.0,520.0,37.3,0.0,8.0,2023-08-14 09:08:38,2023-08-14 09:08:38
qth_0.25,3.0,0.0,4303.4,0.0,216.0,52.8,0.0,8.0,2023-08-14 09:09:02,2023-08-14 09:09:02
relu,0.0,2.35,4315.1,0.0,57501.0,95.1,0.0,30.0,2023-08-14 09:07:56,2023-08-14 09:10:18
relu,1.0,58.6,4323.0,0.0,1640430.0,97.8,0.0,30.0,2023-08-14 09:13:57,2023-08-14 10:12:33
relu,2.0,14.6,4323.0,0.0,773362.0,99.0,0.0,30.0,2023-08-14 10:14:19,2023-08-14 10:28:55
relu,3.0,4.617,4325.6,0.0,366605.0,99.5,0.0,30.0,2023-08-14 10:30:21,2023-08-14 10:34:59
relu,0.0,0.0,4303.4,0.0,57501.0,0.4,0.0,8.0,2023-08-14 09:07:53,2023-08-14 09:07:53
relu,1.0,0.017,4303.4,0.0,2008.0,2.0,0.0,8.0,2023-08-14 09:08:17,2023-08-14 09:08:19
relu,2.0,0.0,4303.4,0.0,880.0,1.8,0.0,8.0,2023-08-14 09:08:42,2023-08-14 09:08:43
relu,3.0,0.0,4303.4,0.0,378.0,1.6,0.0,8.0,2023-08-14 09:09:06,2023-08-14 09:09:07
mean,0.0,2.35,4315.1,0.0,57501.0,95.1,0.0,30.0,2023-08-14 09:07:58,2023-08-14 09:10:20
mean,1.0,58.633,4323.0,0.0,1640430.0,97.8,0.0,30.0,2023-08-14 09:14:00,2023-08-14 10:12:39
mean,2.0,14.55,4323.0,0.0,773362.0,99.0,0.0,30.0,2023-08-14 10:14:25,2023-08-14 10:28:58
mean,3.0,4.6,4325.6,0.0,366605.0,99.5,0.0,30.0,2023-08-14 10:30:24,2023-08-14 10:35:01
mean,0.0,0.0,4303.4,0.0,57501.0,0.4,0.0,8.0,2023-08-14 09:07:58,2023-08-14 09:07:58
mean,1.0,0.017,4303.4,0.0,2008.0,2.0,0.0,8.0,2023-08-14 09:08:22,2023-08-14 09:08:23
mean,2.0,0.0,4303.4,0.0,880.0,1.8,0.0,8.0,2023-08-14 09:08:45,2023-08-14 09:08:46
mean,3.0,0.0,4303.4,0.0,378.0,1.6,0.0,8.0,2023-08-14 09:09:09,2023-08-14 09:09:09
