thld,eta,build_time_min,size_mb,reorder_time_min,num_patterns,num_unique_patterns_%,num_reorder,num_neurons,start_time,end_time
qth_0.75,0.0,0.333,4305.8,0.0,66733.0,15.1,0.0,30.0,2023-08-11 13:39:24,2023-08-11 13:39:45
qth_0.75,1.0,8.65,4309.3,0.0,301650.0,83.2,0.0,30.0,2023-08-11 13:42:20,2023-08-11 13:50:59
qth_0.75,2.0,3.367,4309.4,0.0,182712.0,95.5,0.0,30.0,2023-08-11 13:52:04,2023-08-11 13:55:27
qth_0.75,3.0,2.05,4309.4,0.0,124364.0,98.9,0.0,30.0,2023-08-11 13:56:32,2023-08-11 13:58:36
qth_0.75,0.0,0.0,4303.8,0.0,66733.0,2.2,0.0,16.0,2023-08-11 13:39:19,2023-08-11 13:39:20
qth_0.75,1.0,0.383,4304.3,0.0,23392.0,60.6,0.0,16.0,2023-08-11 13:40:03,2023-08-11 13:40:27
qth_0.75,2.0,0.183,4304.3,0.0,12752.0,83.0,0.0,16.0,2023-08-11 13:41:10,2023-08-11 13:41:22
qth_0.75,3.0,0.1,4304.3,0.0,7678.0,94.3,0.0,16.0,2023-08-11 13:42:04,2023-08-11 13:42:10
qth_0.75,0.0,0.0,4303.5,0.0,66733.0,0.4,0.0,10.0,2023-08-11 13:39:16,2023-08-11 13:39:16
qth_0.75,1.0,0.033,4303.5,0.0,2380.0,40.6,0.0,10.0,2023-08-11 13:39:48,2023-08-11 13:39:50
qth_0.75,2.0,0.0,4303.5,0.0,1166.0,61.4,0.0,10.0,2023-08-11 13:40:22,2023-08-11 13:40:23
qth_0.75,3.0,0.0,4303.6,0.0,574.0,79.1,0.0,10.0,2023-08-11 13:40:56,2023-08-11 13:40:56
qth_0.5,0.0,0.983,4308.5,0.0,66733.0,36.7,0.0,30.0,2023-08-11 13:39:24,2023-08-11 13:40:23
qth_0.5,1.0,18.15,4315.8,0.0,735600.0,88.2,0.0,30.0,2023-08-11 13:43:42,2023-08-11 14:01:51
qth_0.5,2.0,5.317,4315.9,0.0,354346.0,95.9,0.0,30.0,2023-08-11 14:03:03,2023-08-11 14:08:23
qth_0.5,3.0,1.85,4316.4,0.0,173289.0,98.3,0.0,30.0,2023-08-11 14:09:11,2023-08-11 14:11:03
qth_0.5,0.0,0.05,4304.0,0.0,66733.0,7.9,0.0,16.0,2023-08-11 13:39:19,2023-08-11 13:39:24
qth_0.5,1.0,1.583,4304.6,0.0,83952.0,58.9,0.0,16.0,2023-08-11 13:40:18,2023-08-11 13:41:54
qth_0.5,2.0,0.6,4304.6,0.0,38616.0,74.4,0.0,16.0,2023-08-11 13:42:41,2023-08-11 13:43:18
qth_0.5,3.0,0.233,4304.6,0.0,17173.0,82.6,0.0,16.0,2023-08-11 13:44:04,2023-08-11 13:44:19
qth_0.5,0.0,0.0,4303.6,0.0,66733.0,0.9,0.0,10.0,2023-08-11 13:39:17,2023-08-11 13:39:18
qth_0.5,1.0,0.083,4303.6,0.0,6320.0,21.6,0.0,10.0,2023-08-11 13:39:51,2023-08-11 13:39:56
qth_0.5,2.0,0.033,4303.6,0.0,2884.0,30.2,0.0,10.0,2023-08-11 13:40:30,2023-08-11 13:40:32
qth_0.5,3.0,0.0,4303.6,0.0,1221.0,42.2,0.0,10.0,2023-08-11 13:41:06,2023-08-11 13:41:07
qth_0.25,0.0,1.183,4309.2,0.0,66733.0,47.2,0.0,30.0,2023-08-11 13:39:26,2023-08-11 13:40:37
qth_0.25,1.0,21.217,4320.5,0.0,944280.0,85.3,0.0,30.0,2023-08-11 13:43:50,2023-08-11 14:05:04
qth_0.25,2.0,6.15,4321.4,0.0,559436.0,95.2,0.0,30.0,2023-08-11 14:06:12,2023-08-11 14:12:21
qth_0.25,3.0,5.767,4322.2,0.0,376280.0,98.5,0.0,30.0,2023-08-11 14:13:00,2023-08-11 14:18:46
qth_0.25,0.0,0.05,4304.0,0.0,66733.0,5.3,0.0,16.0,2023-08-11 13:39:22,2023-08-11 13:39:25
qth_0.25,1.0,1.05,4304.5,0.0,56992.0,51.9,0.0,16.0,2023-08-11 13:40:14,2023-08-11 13:41:18
qth_0.25,2.0,0.45,4304.6,0.0,29601.0,74.6,0.0,16.0,2023-08-11 13:42:03,2023-08-11 13:42:30
qth_0.25,3.0,0.217,4304.6,0.0,16697.0,87.1,0.0,16.0,2023-08-11 13:43:13,2023-08-11 13:43:27
qth_0.25,0.0,0.0,4303.5,0.0,66733.0,0.6,0.0,10.0,2023-08-11 13:39:20,2023-08-11 13:39:20
qth_0.25,1.0,0.05,4303.6,0.0,4110.0,27.4,0.0,10.0,2023-08-11 13:39:53,2023-08-11 13:39:57
qth_0.25,2.0,0.017,4303.6,0.0,1948.0,48.0,0.0,10.0,2023-08-11 13:40:28,2023-08-11 13:40:30
qth_0.25,3.0,0.0,4303.6,0.0,889.0,66.9,0.0,10.0,2023-08-11 13:41:03,2023-08-11 13:41:04
relu,0.0,0.733,4308.2,0.0,66733.0,27.8,0.0,30.0,2023-08-11 13:39:27,2023-08-11 13:40:12
relu,1.0,14.6,4314.3,0.0,556140.0,87.8,0.0,30.0,2023-08-11 13:43:08,2023-08-11 13:57:44
relu,2.0,4.633,4314.6,0.0,268186.0,95.9,0.0,30.0,2023-08-11 13:58:57,2023-08-11 14:03:36
relu,3.0,2.05,4314.6,0.0,135001.0,98.4,0.0,30.0,2023-08-11 14:04:39,2023-08-11 14:06:42
relu,0.0,0.033,4304.0,0.0,66733.0,5.3,0.0,16.0,2023-08-11 13:42:47,2023-08-11 13:42:50
relu,1.0,0.967,4304.4,0.0,56864.0,63.6,0.0,16.0,2023-08-11 13:43:36,2023-08-11 13:44:34
relu,2.0,0.333,4304.4,0.0,25898.0,79.6,0.0,16.0,2023-08-11 13:45:16,2023-08-11 13:45:36
relu,3.0,0.133,4304.4,0.0,11340.0,87.9,0.0,16.0,2023-08-11 13:46:14,2023-08-11 13:46:22
relu,0.0,0.0,4303.6,0.0,66733.0,0.9,0.0,10.0,2023-08-11 13:42:55,2023-08-11 13:42:55
relu,1.0,0.067,4303.6,0.0,5740.0,28.8,0.0,10.0,2023-08-11 13:43:26,2023-08-11 13:43:31
relu,2.0,0.033,4303.6,0.0,2610.0,37.5,0.0,10.0,2023-08-11 13:44:01,2023-08-11 13:44:03
relu,3.0,0.017,4303.6,0.0,1099.0,44.5,0.0,10.0,2023-08-11 13:44:34,2023-08-11 13:44:35
mean,0.0,0.583,4308.0,0.0,66733.0,24.0,0.0,30.0,2023-08-11 13:43:04,2023-08-11 13:43:40
mean,1.0,11.483,4313.2,0.0,480210.0,87.8,0.0,30.0,2023-08-11 13:46:06,2023-08-11 13:57:36
mean,2.0,4.0,4314.0,0.0,230446.0,96.0,0.0,30.0,2023-08-11 13:58:44,2023-08-11 14:02:45
