y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_and_classified,NPR,NPV,specificity,eta,subset_name,num_neurons,stage,thld
0,5997,258,2,2,0,0.000333500083375,1.0,0.007751937984496124,0,gte_mean,16,train,qth_0.75
1,5997,35,1,1,0,0.0001667500416875,1.0,0.02857142857142857,0,gte_mean,16,train,qth_0.75
2,5997,258,4,4,0,0.00066700016675,1.0,0.015503875968992248,0,gte_mean,16,train,qth_0.75
3,5997,173,6,6,0,0.001000500250125,1.0,0.03468208092485549,0,gte_mean,16,train,qth_0.75
4,5994,306,8,8,0,0.0013346680013346,1.0,0.026143790849673203,0,gte_mean,16,train,qth_0.75
5,5996,57,5,5,0,0.0008338892595063,1.0,0.08771929824561403,0,gte_mean,16,train,qth_0.75
6,5995,1135,17,17,0,0.002835696413678,1.0,0.014977973568281937,0,gte_mean,16,train,qth_0.75
7,5998,167,2,2,0,0.0003334444814938,1.0,0.011976047904191617,0,gte_mean,16,train,qth_0.75
8,5999,18,3,3,0,0.0005000833472245,1.0,0.16666666666666666,0,gte_mean,16,train,qth_0.75
9,5998,60,3,3,0,0.0005001667222407,1.0,0.05,0,gte_mean,16,train,qth_0.75
all,59968,2467,51,51,0,0.0008504535752401,1.0,0.020672882042967168,0,gte_mean,16,train,qth_0.75
0,5997,258,2,2,0,0.000333500083375,1.0,0.007751937984496124,1,gte_mean,16,train,qth_0.75
1,5997,35,1,1,0,0.0001667500416875,1.0,0.02857142857142857,1,gte_mean,16,train,qth_0.75
2,5997,258,4,4,0,0.00066700016675,1.0,0.015503875968992248,1,gte_mean,16,train,qth_0.75
3,5997,173,6,6,0,0.001000500250125,1.0,0.03468208092485549,1,gte_mean,16,train,qth_0.75
4,5994,306,8,8,0,0.0013346680013346,1.0,0.026143790849673203,1,gte_mean,16,train,qth_0.75
5,5996,57,5,5,0,0.0008338892595063,1.0,0.08771929824561403,1,gte_mean,16,train,qth_0.75
6,5995,1135,17,17,0,0.002835696413678,1.0,0.014977973568281937,1,gte_mean,16,train,qth_0.75
7,5998,167,2,2,0,0.0003334444814938,1.0,0.011976047904191617,1,gte_mean,16,train,qth_0.75
8,5999,18,3,3,0,0.0005000833472245,1.0,0.16666666666666666,1,gte_mean,16,train,qth_0.75
9,5998,60,3,3,0,0.0005001667222407,1.0,0.05,1,gte_mean,16,train,qth_0.75
