y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_and_classified,NPR,NPV,specificity,eta,subset_name,num_neurons,stage,thld
0,5997,258,1,1,0,0.0001667500416875,1.0,0.003875968992248062,0,top_third,10,train,relu
1,5997,35,0,0,0,0.0,0.0,0.0,0,top_third,10,train,relu
2,5997,258,6,6,0,0.001000500250125,1.0,0.023255813953488372,0,top_third,10,train,relu
3,5997,173,0,0,0,0.0,0.0,0.0,0,top_third,10,train,relu
4,5994,306,4,4,0,0.0006673340006673,1.0,0.013071895424836602,0,top_third,10,train,relu
5,5996,57,2,2,0,0.0003335557038025,1.0,0.03508771929824561,0,top_third,10,train,relu
6,5995,1135,7,7,0,0.0011676396997497,1.0,0.006167400881057269,0,top_third,10,train,relu
7,5998,167,1,1,0,0.0001667222407469,1.0,0.005988023952095809,0,top_third,10,train,relu
8,5999,18,1,1,0,0.0001666944490748,1.0,0.05555555555555555,0,top_third,10,train,relu
9,5998,60,1,1,0,0.0001667222407469,1.0,0.016666666666666666,0,top_third,10,train,relu
all,59968,2467,23,23,0,0.0003835378868729,1.0,0.009323064450749898,0,top_third,10,train,relu
0,5997,258,1,1,0,0.0001667500416875,1.0,0.003875968992248062,1,top_third,10,train,relu
1,5997,35,0,0,0,0.0,0.0,0.0,1,top_third,10,train,relu
2,5997,258,6,6,0,0.001000500250125,1.0,0.023255813953488372,1,top_third,10,train,relu
3,5997,173,0,0,0,0.0,0.0,0.0,1,top_third,10,train,relu
4,5994,306,4,4,0,0.0006673340006673,1.0,0.013071895424836602,1,top_third,10,train,relu
5,5996,57,2,2,0,0.0003335557038025,1.0,0.03508771929824561,1,top_third,10,train,relu
6,5995,1135,7,7,0,0.0011676396997497,1.0,0.006167400881057269,1,top_third,10,train,relu
7,5998,167,1,1,0,0.0001667222407469,1.0,0.005988023952095809,1,top_third,10,train,relu
8,5999,18,1,1,0,0.0001666944490748,1.0,0.05555555555555555,1,top_third,10,train,relu
9,5998,60,1,1,0,0.0001667222407469,1.0,0.016666666666666666,1,top_third,10,train,relu
all,59968,2467,23,23,0,0.0003835378868729,1.0,0.009323064450749898,1,top_third,10,train,relu
0,5997,258,1,1,0,0.0001667500416875,1.0,0.003875968992248062,2,top_third,10,train,relu
1,5997,35,0,0,0,0.0,0.0,0.0,2,top_third,10,train,relu
2,5997,258,6,6,0,0.001000500250125,1.0,0.023255813953488372,2,top_third,10,train,relu
3,5997,173,0,0,0,0.0,0.0,0.0,2,top_third,10,train,relu
4,5994,306,4,4,0,0.0006673340006673,1.0,0.013071895424836602,2,top_third,10,train,relu
5,5996,57,2,2,0,0.0003335557038025,1.0,0.03508771929824561,2,top_third,10,train,relu
6,5995,1135,7,7,0,0.0011676396997497,1.0,0.006167400881057269,2,top_third,10,train,relu
7,5998,167,1,1,0,0.0001667222407469,1.0,0.005988023952095809,2,top_third,10,train,relu
8,5999,18,1,1,0,0.0001666944490748,1.0,0.05555555555555555,2,top_third,10,train,relu
9,5998,60,1,1,0,0.0001667222407469,1.0,0.016666666666666666,2,top_third,10,train,relu
all,59968,2467,23,23,0,0.0003835378868729,1.0,0.009323064450749898,2,top_third,10,train,relu
0,5997,258,1,1,0,0.0001667500416875,1.0,0.003875968992248062,3,top_third,10,train,relu
1,5997,35,0,0,0,0.0,0.0,0.0,3,top_third,10,train,relu
2,5997,258,6,6,0,0.001000500250125,1.0,0.023255813953488372,3,top_third,10,train,relu
3,5997,173,0,0,0,0.0,0.0,0.0,3,top_third,10,train,relu
4,5994,306,4,4,0,0.0006673340006673,1.0,0.013071895424836602,3,top_third,10,train,relu
5,5996,57,2,2,0,0.0003335557038025,1.0,0.03508771929824561,3,top_third,10,train,relu
6,5995,1135,7,7,0,0.0011676396997497,1.0,0.006167400881057269,3,top_third,10,train,relu
7,5998,167,1,1,0,0.0001667222407469,1.0,0.005988023952095809,3,top_third,10,train,relu
8,5999,18,1,1,0,0.0001666944490748,1.0,0.05555555555555555,3,top_third,10,train,relu
9,5998,60,1,1,0,0.0001667222407469,1.0,0.016666666666666666,3,top_third,10,train,relu
all,59968,2467,23,23,0,0.0003835378868729,1.0,0.009323064450749898,3,top_third,10,train,relu
0,1000,82,0,0,0,0.0,0.0,0.0,0,top_third,10,test,relu
1,997,15,1,1,0,0.0010030090270812,1.0,0.06666666666666667,0,top_third,10,test,relu
2,999,90,4,4,0,0.004004004004004,1.0,0.044444444444444446,0,top_third,10,test,relu
3,999,65,0,0,0,0.0,0.0,0.0,0,top_third,10,test,relu
4,999,109,3,3,0,0.003003003003003,1.0,0.027522935779816515,0,top_third,10,test,relu
5,997,25,0,0,0,0.0,0.0,0.0,0,top_third,10,test,relu
6,999,292,5,5,0,0.005005005005005,1.0,0.017123287671232876,0,top_third,10,test,relu
7,999,39,0,0,0,0.0,0.0,0.0,0,top_third,10,test,relu
8,997,11,0,0,0,0.0,0.0,0.0,0,top_third,10,test,relu
