y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_and_classified,NPR,NPV,specificity,eta,subset_name,num_neurons,stage,thld
0,5997,258,27,27,0,0.0045022511255627,1.0,0.10465116279069768,0,gte_mean,16,train,mean
1,5997,35,2,2,0,0.000333500083375,1.0,0.05714285714285714,0,gte_mean,16,train,mean
2,5997,258,51,51,0,0.008504252126063,1.0,0.19767441860465115,0,gte_mean,16,train,mean
3,5997,173,26,26,0,0.0043355010838752,1.0,0.15028901734104047,0,gte_mean,16,train,mean
4,5994,306,41,41,0,0.0068401735068401,1.0,0.13398692810457516,0,gte_mean,16,train,mean
5,5996,57,24,24,0,0.0040026684456304,1.0,0.42105263157894735,0,gte_mean,16,train,mean
6,5995,1135,106,106,0,0.0176814011676397,1.0,0.0933920704845815,0,gte_mean,16,train,mean
7,5998,167,6,6,0,0.0010003334444814,1.0,0.03592814371257485,0,gte_mean,16,train,mean
8,5999,18,11,11,0,0.0018336389398233,1.0,0.6111111111111112,0,gte_mean,16,train,mean
9,5998,60,2,2,0,0.0003334444814938,1.0,0.03333333333333333,0,gte_mean,16,train,mean
all,59968,2467,296,296,0,0.0049359658484525,1.0,0.11998378597486827,0,gte_mean,16,train,mean
0,5997,258,27,27,0,0.0045022511255627,1.0,0.10465116279069768,1,gte_mean,16,train,mean
1,5997,35,2,2,0,0.000333500083375,1.0,0.05714285714285714,1,gte_mean,16,train,mean
2,5997,258,51,51,0,0.008504252126063,1.0,0.19767441860465115,1,gte_mean,16,train,mean
3,5997,173,26,26,0,0.0043355010838752,1.0,0.15028901734104047,1,gte_mean,16,train,mean
4,5994,306,41,41,0,0.0068401735068401,1.0,0.13398692810457516,1,gte_mean,16,train,mean
5,5996,57,24,24,0,0.0040026684456304,1.0,0.42105263157894735,1,gte_mean,16,train,mean
6,5995,1135,106,106,0,0.0176814011676397,1.0,0.0933920704845815,1,gte_mean,16,train,mean
7,5998,167,6,6,0,0.0010003334444814,1.0,0.03592814371257485,1,gte_mean,16,train,mean
8,5999,18,11,11,0,0.0018336389398233,1.0,0.6111111111111112,1,gte_mean,16,train,mean
9,5998,60,2,2,0,0.0003334444814938,1.0,0.03333333333333333,1,gte_mean,16,train,mean
all,59968,2467,296,296,0,0.0049359658484525,1.0,0.11998378597486827,1,gte_mean,16,train,mean
0,5997,258,27,27,0,0.0045022511255627,1.0,0.10465116279069768,2,gte_mean,16,train,mean
1,5997,35,2,2,0,0.000333500083375,1.0,0.05714285714285714,2,gte_mean,16,train,mean
2,5997,258,51,51,0,0.008504252126063,1.0,0.19767441860465115,2,gte_mean,16,train,mean
3,5997,173,26,26,0,0.0043355010838752,1.0,0.15028901734104047,2,gte_mean,16,train,mean
4,5994,306,41,41,0,0.0068401735068401,1.0,0.13398692810457516,2,gte_mean,16,train,mean
5,5996,57,24,24,0,0.0040026684456304,1.0,0.42105263157894735,2,gte_mean,16,train,mean
6,5995,1135,106,106,0,0.0176814011676397,1.0,0.0933920704845815,2,gte_mean,16,train,mean
7,5998,167,6,6,0,0.0010003334444814,1.0,0.03592814371257485,2,gte_mean,16,train,mean
8,5999,18,11,11,0,0.0018336389398233,1.0,0.6111111111111112,2,gte_mean,16,train,mean
9,5998,60,2,2,0,0.0003334444814938,1.0,0.03333333333333333,2,gte_mean,16,train,mean
all,59968,2467,296,296,0,0.0049359658484525,1.0,0.11998378597486827,2,gte_mean,16,train,mean
0,5997,258,27,27,0,0.0045022511255627,1.0,0.10465116279069768,3,gte_mean,16,train,mean
1,5997,35,2,2,0,0.000333500083375,1.0,0.05714285714285714,3,gte_mean,16,train,mean
2,5997,258,51,51,0,0.008504252126063,1.0,0.19767441860465115,3,gte_mean,16,train,mean
3,5997,173,26,26,0,0.0043355010838752,1.0,0.15028901734104047,3,gte_mean,16,train,mean
4,5994,306,41,41,0,0.0068401735068401,1.0,0.13398692810457516,3,gte_mean,16,train,mean
5,5996,57,24,24,0,0.0040026684456304,1.0,0.42105263157894735,3,gte_mean,16,train,mean
6,5995,1135,106,106,0,0.0176814011676397,1.0,0.0933920704845815,3,gte_mean,16,train,mean
7,5998,167,6,6,0,0.0010003334444814,1.0,0.03592814371257485,3,gte_mean,16,train,mean
8,5999,18,11,11,0,0.0018336389398233,1.0,0.6111111111111112,3,gte_mean,16,train,mean
9,5998,60,2,2,0,0.0003334444814938,1.0,0.03333333333333333,3,gte_mean,16,train,mean
all,59968,2467,296,296,0,0.0049359658484525,1.0,0.11998378597486827,3,gte_mean,16,train,mean
0,1000,82,37,12,25,0.037,0.3243243243243243,0.14634146341463414,0,gte_mean,16,test,mean
1,997,15,10,1,9,0.0100300902708124,0.1,0.06666666666666667,0,gte_mean,16,test,mean
2,999,90,49,15,34,0.049049049049049,0.3061224489795918,0.16666666666666666,0,gte_mean,16,test,mean
3,999,65,44,12,32,0.044044044044044,0.2727272727272727,0.18461538461538463,0,gte_mean,16,test,mean
4,999,109,46,21,25,0.046046046046046,0.4565217391304347,0.1926605504587156,0,gte_mean,16,test,mean
5,997,25,32,6,26,0.0320962888665998,0.1875,0.24,0,gte_mean,16,test,mean
6,999,292,67,38,29,0.067067067067067,0.5671641791044776,0.13013698630136986,0,gte_mean,16,test,mean
7,999,39,11,1,10,0.011011011011011,0.0909090909090909,0.02564102564102564,0,gte_mean,16,test,mean
8,997,11,31,10,21,0.0310932798395185,0.3225806451612903,0.9090909090909091,0,gte_mean,16,test,mean
9,998,24,19,1,18,0.0190380761523046,0.0526315789473684,0.041666666666666664,0,gte_mean,16,test,mean
all,9984,752,346,117,229,0.0346554487179487,0.338150289017341,0.15558510638297873,0,gte_mean,16,test,mean
0,1000,82,37,12,25,0.037,0.3243243243243243,0.14634146341463414,1,gte_mean,16,test,mean
1,997,15,10,1,9,0.0100300902708124,0.1,0.06666666666666667,1,gte_mean,16,test,mean
2,999,90,49,15,34,0.049049049049049,0.3061224489795918,0.16666666666666666,1,gte_mean,16,test,mean
3,999,65,44,12,32,0.044044044044044,0.2727272727272727,0.18461538461538463,1,gte_mean,16,test,mean
