y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_and_classified,NPR,NPV,specificity,eta,subset_name,num_neurons,stage,thld
0,5997,258,2,2,0,0.000333500083375,1.0,0.007751937984496124,0,top_third,10,train,mean
1,5997,35,0,0,0,0.0,0.0,0.0,0,top_third,10,train,mean
2,5997,258,4,4,0,0.00066700016675,1.0,0.015503875968992248,0,top_third,10,train,mean
3,5997,173,0,0,0,0.0,0.0,0.0,0,top_third,10,train,mean
4,5994,306,4,4,0,0.0006673340006673,1.0,0.013071895424836602,0,top_third,10,train,mean
5,5996,57,1,1,0,0.0001667778519012,1.0,0.017543859649122806,0,top_third,10,train,mean
6,5995,1135,5,5,0,0.0008340283569641,1.0,0.004405286343612335,0,top_third,10,train,mean
7,5998,167,1,1,0,0.0001667222407469,1.0,0.005988023952095809,0,top_third,10,train,mean
8,5999,18,2,2,0,0.0003333888981496,1.0,0.1111111111111111,0,top_third,10,train,mean
9,5998,60,1,1,0,0.0001667222407469,1.0,0.016666666666666666,0,top_third,10,train,mean
all,59968,2467,20,20,0,0.0003335112059765,1.0,0.008107012565869477,0,top_third,10,train,mean
0,5997,258,2,2,0,0.000333500083375,1.0,0.007751937984496124,1,top_third,10,train,mean
1,5997,35,0,0,0,0.0,0.0,0.0,1,top_third,10,train,mean
2,5997,258,4,4,0,0.00066700016675,1.0,0.015503875968992248,1,top_third,10,train,mean
3,5997,173,0,0,0,0.0,0.0,0.0,1,top_third,10,train,mean
4,5994,306,4,4,0,0.0006673340006673,1.0,0.013071895424836602,1,top_third,10,train,mean
5,5996,57,1,1,0,0.0001667778519012,1.0,0.017543859649122806,1,top_third,10,train,mean
6,5995,1135,5,5,0,0.0008340283569641,1.0,0.004405286343612335,1,top_third,10,train,mean
7,5998,167,1,1,0,0.0001667222407469,1.0,0.005988023952095809,1,top_third,10,train,mean
8,5999,18,2,2,0,0.0003333888981496,1.0,0.1111111111111111,1,top_third,10,train,mean
9,5998,60,1,1,0,0.0001667222407469,1.0,0.016666666666666666,1,top_third,10,train,mean
all,59968,2467,20,20,0,0.0003335112059765,1.0,0.008107012565869477,1,top_third,10,train,mean
0,5997,258,2,2,0,0.000333500083375,1.0,0.007751937984496124,2,top_third,10,train,mean
1,5997,35,0,0,0,0.0,0.0,0.0,2,top_third,10,train,mean
2,5997,258,4,4,0,0.00066700016675,1.0,0.015503875968992248,2,top_third,10,train,mean
3,5997,173,0,0,0,0.0,0.0,0.0,2,top_third,10,train,mean
4,5994,306,4,4,0,0.0006673340006673,1.0,0.013071895424836602,2,top_third,10,train,mean
5,5996,57,1,1,0,0.0001667778519012,1.0,0.017543859649122806,2,top_third,10,train,mean
6,5995,1135,5,5,0,0.0008340283569641,1.0,0.004405286343612335,2,top_third,10,train,mean
7,5998,167,1,1,0,0.0001667222407469,1.0,0.005988023952095809,2,top_third,10,train,mean
8,5999,18,2,2,0,0.0003333888981496,1.0,0.1111111111111111,2,top_third,10,train,mean
9,5998,60,1,1,0,0.0001667222407469,1.0,0.016666666666666666,2,top_third,10,train,mean
all,59968,2467,20,20,0,0.0003335112059765,1.0,0.008107012565869477,2,top_third,10,train,mean
0,5997,258,2,2,0,0.000333500083375,1.0,0.007751937984496124,3,top_third,10,train,mean
1,5997,35,0,0,0,0.0,0.0,0.0,3,top_third,10,train,mean
2,5997,258,4,4,0,0.00066700016675,1.0,0.015503875968992248,3,top_third,10,train,mean
3,5997,173,0,0,0,0.0,0.0,0.0,3,top_third,10,train,mean
4,5994,306,4,4,0,0.0006673340006673,1.0,0.013071895424836602,3,top_third,10,train,mean
5,5996,57,1,1,0,0.0001667778519012,1.0,0.017543859649122806,3,top_third,10,train,mean
6,5995,1135,5,5,0,0.0008340283569641,1.0,0.004405286343612335,3,top_third,10,train,mean
7,5998,167,1,1,0,0.0001667222407469,1.0,0.005988023952095809,3,top_third,10,train,mean
8,5999,18,2,2,0,0.0003333888981496,1.0,0.1111111111111111,3,top_third,10,train,mean
9,5998,60,1,1,0,0.0001667222407469,1.0,0.016666666666666666,3,top_third,10,train,mean
all,59968,2467,20,20,0,0.0003335112059765,1.0,0.008107012565869477,3,top_third,10,train,mean
0,1000,82,3,1,2,0.003,0.3333333333333333,0.012195121951219513,0,top_third,10,test,mean
1,997,15,1,0,1,0.0010030090270812,1.0,0.0,0,top_third,10,test,mean
2,999,90,2,0,2,0.002002002002002,1.0,0.0,0,top_third,10,test,mean
3,999,65,3,0,3,0.003003003003003,1.0,0.0,0,top_third,10,test,mean
4,999,109,7,4,3,0.007007007007007,0.5714285714285714,0.03669724770642202,0,top_third,10,test,mean
5,997,25,1,0,1,0.0010030090270812,1.0,0.0,0,top_third,10,test,mean
6,999,292,1,0,1,0.001001001001001,1.0,0.0,0,top_third,10,test,mean
7,999,39,0,0,0,0.0,0.0,0.0,0,top_third,10,test,mean
8,997,11,3,0,3,0.0030090270812437,1.0,0.0,0,top_third,10,test,mean
9,998,24,2,0,2,0.002004008016032,1.0,0.0,0,top_third,10,test,mean
all,9984,752,23,5,18,0.0023036858974358,0.217391304347826,0.006648936170212766,0,top_third,10,test,mean
0,1000,82,3,1,2,0.003,0.3333333333333333,0.012195121951219513,1,top_third,10,test,mean
1,997,15,1,0,1,0.0010030090270812,1.0,0.0,1,top_third,10,test,mean
2,999,90,2,0,2,0.002002002002002,1.0,0.0,1,top_third,10,test,mean
