y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_%,unrecognized_and_misclassified_%,unrecognized_misclassified_%,eta,subset_name,num_neurons,stage,thld
0,5997.0,258.0,252.0,252.0,0.0420210105052526,1.0,0.9767441860465116,0,,30.0,train,qth_0.5
1,5997.0,35.0,33.0,33.0,0.0055027513756878,1.0,0.9428571428571428,0,,30.0,train,qth_0.5
2,5997.0,258.0,256.0,256.0,0.0426880106720026,1.0,0.992248062015504,0,,30.0,train,qth_0.5
3,5997.0,173.0,170.0,170.0,0.0283475070868767,1.0,0.9826589595375722,0,,30.0,train,qth_0.5
4,5994.0,306.0,302.0,302.0,0.0503837170503837,1.0,0.9869281045751634,0,,30.0,train,qth_0.5
5,5996.0,57.0,57.0,57.0,0.0095063375583722,1.0,1.0,0,,30.0,train,qth_0.5
6,5995.0,1135.0,1116.0,1116.0,0.1861551292743953,1.0,0.9832599118942732,0,,30.0,train,qth_0.5
7,5998.0,167.0,159.0,159.0,0.0265088362787595,1.0,0.9520958083832336,0,,30.0,train,qth_0.5
8,5999.0,18.0,18.0,18.0,0.0030005000833472,1.0,1.0,0,,30.0,train,qth_0.5
9,5998.0,60.0,52.0,52.0,0.0086695565188396,1.0,0.8666666666666667,0,,30.0,train,qth_0.5
all,59968.0,2467.0,2415.0,2415.0,0.0402714781216648,1.0,0.9789217673287394,0,,30.0,train,qth_0.5
0,5997.0,258.0,252.0,252.0,0.0420210105052526,1.0,0.9767441860465116,1,,30.0,train,qth_0.5
1,5997.0,35.0,33.0,33.0,0.0055027513756878,1.0,0.9428571428571428,1,,30.0,train,qth_0.5
2,5997.0,258.0,256.0,256.0,0.0426880106720026,1.0,0.992248062015504,1,,30.0,train,qth_0.5
3,5997.0,173.0,170.0,170.0,0.0283475070868767,1.0,0.9826589595375722,1,,30.0,train,qth_0.5
4,5994.0,306.0,302.0,302.0,0.0503837170503837,1.0,0.9869281045751634,1,,30.0,train,qth_0.5
5,5996.0,57.0,57.0,57.0,0.0095063375583722,1.0,1.0,1,,30.0,train,qth_0.5
6,5995.0,1135.0,1116.0,1116.0,0.1861551292743953,1.0,0.9832599118942732,1,,30.0,train,qth_0.5
7,5998.0,167.0,159.0,159.0,0.0265088362787595,1.0,0.9520958083832336,1,,30.0,train,qth_0.5
8,5999.0,18.0,18.0,18.0,0.0030005000833472,1.0,1.0,1,,30.0,train,qth_0.5
9,5998.0,60.0,52.0,52.0,0.0086695565188396,1.0,0.8666666666666667,1,,30.0,train,qth_0.5
all,59968.0,2467.0,2415.0,2415.0,0.0402714781216648,1.0,0.9789217673287394,1,,30.0,train,qth_0.5
0,5997.0,258.0,252.0,252.0,0.0420210105052526,1.0,0.9767441860465116,2,,30.0,train,qth_0.5
1,5997.0,35.0,33.0,33.0,0.0055027513756878,1.0,0.9428571428571428,2,,30.0,train,qth_0.5
2,5997.0,258.0,256.0,256.0,0.0426880106720026,1.0,0.992248062015504,2,,30.0,train,qth_0.5
3,5997.0,173.0,170.0,170.0,0.0283475070868767,1.0,0.9826589595375722,2,,30.0,train,qth_0.5
4,5994.0,306.0,302.0,302.0,0.0503837170503837,1.0,0.9869281045751634,2,,30.0,train,qth_0.5
5,5996.0,57.0,57.0,57.0,0.0095063375583722,1.0,1.0,2,,30.0,train,qth_0.5
6,5995.0,1135.0,1116.0,1116.0,0.1861551292743953,1.0,0.9832599118942732,2,,30.0,train,qth_0.5
7,5998.0,167.0,159.0,159.0,0.0265088362787595,1.0,0.9520958083832336,2,,30.0,train,qth_0.5
8,5999.0,18.0,18.0,18.0,0.0030005000833472,1.0,1.0,2,,30.0,train,qth_0.5
9,5998.0,60.0,52.0,52.0,0.0086695565188396,1.0,0.8666666666666667,2,,30.0,train,qth_0.5
all,59968.0,2467.0,2415.0,2415.0,0.0402714781216648,1.0,0.9789217673287394,2,,30.0,train,qth_0.5
0,5997.0,258.0,252.0,252.0,0.0420210105052526,1.0,0.9767441860465116,3,,30.0,train,qth_0.5
1,5997.0,35.0,33.0,33.0,0.0055027513756878,1.0,0.9428571428571428,3,,30.0,train,qth_0.5
2,5997.0,258.0,256.0,256.0,0.0426880106720026,1.0,0.992248062015504,3,,30.0,train,qth_0.5
