y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_%,unrecognized_and_misclassified_%,unrecognized_misclassified_%,eta,subset_name,num_neurons,stage,thld
0,5997.0,258.0,231.0,231.0,0.03851925962981491,1.0,0.8953488372093024,0,None,30.0,train,qth_0.75
1,5997.0,35.0,31.0,31.0,0.005169251292312823,1.0,0.8857142857142857,0,None,30.0,train,qth_0.75
2,5997.0,258.0,225.0,225.0,0.03751875937968985,1.0,0.872093023255814,0,None,30.0,train,qth_0.75
3,5997.0,173.0,155.0,155.0,0.025846256461564115,1.0,0.8959537572254336,0,None,30.0,train,qth_0.75
4,5994.0,306.0,246.0,246.0,0.04104104104104104,1.0,0.803921568627451,0,None,30.0,train,qth_0.75
5,5996.0,57.0,49.0,49.0,0.008172114743162108,1.0,0.8596491228070176,0,None,30.0,train,qth_0.75
6,5995.0,1135.0,973.0,973.0,0.16230191826522103,1.0,0.8572687224669604,0,None,30.0,train,qth_0.75
7,5998.0,167.0,107.0,107.0,0.017839279759919974,1.0,0.6407185628742516,0,None,30.0,train,qth_0.75
8,5999.0,18.0,16.0,16.0,0.002667111185197533,1.0,0.8888888888888888,0,None,30.0,train,qth_0.75
9,5998.0,60.0,30.0,30.0,0.005001667222407469,1.0,0.5,0,None,30.0,train,qth_0.75
all,59968.0,2467.0,2063.0,2063.0,0.034401680896478125,1.0,0.8362383461694366,0,None,30.0,train,qth_0.75
0,5997.0,258.0,231.0,231.0,0.03851925962981491,1.0,0.8953488372093024,1,None,30.0,train,qth_0.75
1,5997.0,35.0,31.0,31.0,0.005169251292312823,1.0,0.8857142857142857,1,None,30.0,train,qth_0.75
2,5997.0,258.0,225.0,225.0,0.03751875937968985,1.0,0.872093023255814,1,None,30.0,train,qth_0.75
3,5997.0,173.0,155.0,155.0,0.025846256461564115,1.0,0.8959537572254336,1,None,30.0,train,qth_0.75
4,5994.0,306.0,246.0,246.0,0.04104104104104104,1.0,0.803921568627451,1,None,30.0,train,qth_0.75
