y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_%,unrecognized_and_misclassified_%,unrecognized_misclassified_%,eta,subset_name,num_neurons,stage,thld
0,5997.0,258.0,234.0,234.0,0.03901950975487744,1.0,0.9069767441860465,0,None,30.0,train,qth_0.75
1,5997.0,35.0,31.0,31.0,0.005169251292312823,1.0,0.8857142857142857,0,None,30.0,train,qth_0.75
2,5997.0,258.0,228.0,228.0,0.03801900950475238,1.0,0.8837209302325582,0,None,30.0,train,qth_0.75
3,5997.0,173.0,155.0,155.0,0.025846256461564115,1.0,0.8959537572254336,0,None,30.0,train,qth_0.75
4,5994.0,306.0,254.0,254.0,0.04237570904237571,1.0,0.8300653594771242,0,None,30.0,train,qth_0.75
5,5996.0,57.0,51.0,51.0,0.008505670446964642,1.0,0.8947368421052632,0,None,30.0,train,qth_0.75
6,5995.0,1135.0,989.0,989.0,0.16497080900750624,1.0,0.8713656387665198,0,None,30.0,train,qth_0.75
7,5998.0,167.0,115.0,115.0,0.0191730576858953,1.0,0.688622754491018,0,None,30.0,train,qth_0.75
8,5999.0,18.0,16.0,16.0,0.002667111185197533,1.0,0.8888888888888888,0,None,30.0,train,qth_0.75
9,5998.0,60.0,30.0,30.0,0.005001667222407469,1.0,0.5,0,None,30.0,train,qth_0.75
all,59968.0,2467.0,2103.0,2103.0,0.03506870330843116,1.0,0.8524523713011756,0,None,30.0,train,qth_0.75
0,5997.0,258.0,234.0,234.0,0.03901950975487744,1.0,0.9069767441860465,1,None,30.0,train,qth_0.75
1,5997.0,35.0,31.0,31.0,0.005169251292312823,1.0,0.8857142857142857,1,None,30.0,train,qth_0.75
2,5997.0,258.0,228.0,228.0,0.03801900950475238,1.0,0.8837209302325582,1,None,30.0,train,qth_0.75
3,5997.0,173.0,155.0,155.0,0.025846256461564115,1.0,0.8959537572254336,1,None,30.0,train,qth_0.75
4,5994.0,306.0,254.0,254.0,0.04237570904237571,1.0,0.8300653594771242,1,None,30.0,train,qth_0.75
5,5996.0,57.0,51.0,51.0,0.008505670446964642,1.0,0.8947368421052632,1,None,30.0,train,qth_0.75
6,5995.0,1135.0,989.0,989.0,0.16497080900750624,1.0,0.8713656387665198,1,None,30.0,train,qth_0.75
7,5998.0,167.0,115.0,115.0,0.0191730576858953,1.0,0.688622754491018,1,None,30.0,train,qth_0.75
8,5999.0,18.0,16.0,16.0,0.002667111185197533,1.0,0.8888888888888888,1,None,30.0,train,qth_0.75
9,5998.0,60.0,30.0,30.0,0.005001667222407469,1.0,0.5,1,None,30.0,train,qth_0.75
all,59968.0,2467.0,2103.0,2103.0,0.03506870330843116,1.0,0.8524523713011756,1,None,30.0,train,qth_0.75
0,5997.0,258.0,234.0,234.0,0.03901950975487744,1.0,0.9069767441860465,2,None,30.0,train,qth_0.75
1,5997.0,35.0,31.0,31.0,0.005169251292312823,1.0,0.8857142857142857,2,None,30.0,train,qth_0.75
2,5997.0,258.0,228.0,228.0,0.03801900950475238,1.0,0.8837209302325582,2,None,30.0,train,qth_0.75
3,5997.0,173.0,155.0,155.0,0.025846256461564115,1.0,0.8959537572254336,2,None,30.0,train,qth_0.75
4,5994.0,306.0,254.0,254.0,0.04237570904237571,1.0,0.8300653594771242,2,None,30.0,train,qth_0.75
5,5996.0,57.0,51.0,51.0,0.008505670446964642,1.0,0.8947368421052632,2,None,30.0,train,qth_0.75
6,5995.0,1135.0,989.0,989.0,0.16497080900750624,1.0,0.8713656387665198,2,None,30.0,train,qth_0.75
7,5998.0,167.0,115.0,115.0,0.0191730576858953,1.0,0.688622754491018,2,None,30.0,train,qth_0.75
8,5999.0,18.0,16.0,16.0,0.002667111185197533,1.0,0.8888888888888888,2,None,30.0,train,qth_0.75
9,5998.0,60.0,30.0,30.0,0.005001667222407469,1.0,0.5,2,None,30.0,train,qth_0.75
all,59968.0,2467.0,2103.0,2103.0,0.03506870330843116,1.0,0.8524523713011756,2,None,30.0,train,qth_0.75
0,5997.0,258.0,234.0,234.0,0.03901950975487744,1.0,0.9069767441860465,3,None,30.0,train,qth_0.75
1,5997.0,35.0,31.0,31.0,0.005169251292312823,1.0,0.8857142857142857,3,None,30.0,train,qth_0.75
2,5997.0,258.0,228.0,228.0,0.03801900950475238,1.0,0.8837209302325582,3,None,30.0,train,qth_0.75
3,5997.0,173.0,155.0,155.0,0.025846256461564115,1.0,0.8959537572254336,3,None,30.0,train,qth_0.75
4,5994.0,306.0,254.0,254.0,0.04237570904237571,1.0,0.8300653594771242,3,None,30.0,train,qth_0.75
5,5996.0,57.0,51.0,51.0,0.008505670446964642,1.0,0.8947368421052632,3,None,30.0,train,qth_0.75
6,5995.0,1135.0,989.0,989.0,0.16497080900750624,1.0,0.8713656387665198,3,None,30.0,train,qth_0.75
7,5998.0,167.0,115.0,115.0,0.0191730576858953,1.0,0.688622754491018,3,None,30.0,train,qth_0.75
8,5999.0,18.0,16.0,16.0,0.002667111185197533,1.0,0.8888888888888888,3,None,30.0,train,qth_0.75
9,5998.0,60.0,30.0,30.0,0.005001667222407469,1.0,0.5,3,None,30.0,train,qth_0.75
all,59968.0,2467.0,2103.0,2103.0,0.03506870330843116,1.0,0.8524523713011756,3,None,30.0,train,qth_0.75
