y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_and_classified,NPR,NPV,specificity,eta,subset_name,num_neurons,stage,thld
0,5997,660,0,0,0,0.0,0.0,0.0,0,,5,train,relu
1,5997,65,0,0,0,0.0,0.0,0.0,0,,5,train,relu
2,5997,579,0,0,0,0.0,0.0,0.0,0,,5,train,relu
3,5997,226,0,0,0,0.0,0.0,0.0,0,,5,train,relu
4,5994,758,0,0,0,0.0,0.0,0.0,0,,5,train,relu
5,5996,123,0,0,0,0.0,0.0,0.0,0,,5,train,relu
6,5995,832,0,0,0,0.0,0.0,0.0,0,,5,train,relu
7,5998,116,0,0,0,0.0,0.0,0.0,0,,5,train,relu
8,5999,61,0,0,0,0.0,0.0,0.0,0,,5,train,relu
9,5998,164,0,0,0,0.0,0.0,0.0,0,,5,train,relu
all,59968,3584,0,0,0,0.0,0.0,0.0,0,,5,train,relu
0,5997,660,0,0,0,0.0,0.0,0.0,1,,5,train,relu
1,5997,65,0,0,0,0.0,0.0,0.0,1,,5,train,relu
2,5997,579,0,0,0,0.0,0.0,0.0,1,,5,train,relu
3,5997,226,0,0,0,0.0,0.0,0.0,1,,5,train,relu
4,5994,758,0,0,0,0.0,0.0,0.0,1,,5,train,relu
5,5996,123,0,0,0,0.0,0.0,0.0,1,,5,train,relu
6,5995,832,0,0,0,0.0,0.0,0.0,1,,5,train,relu
7,5998,116,0,0,0,0.0,0.0,0.0,1,,5,train,relu
8,5999,61,0,0,0,0.0,0.0,0.0,1,,5,train,relu
9,5998,164,0,0,0,0.0,0.0,0.0,1,,5,train,relu
all,59968,3584,0,0,0,0.0,0.0,0.0,1,,5,train,relu
0,5997,660,0,0,0,0.0,0.0,0.0,2,,5,train,relu
1,5997,65,0,0,0,0.0,0.0,0.0,2,,5,train,relu
2,5997,579,0,0,0,0.0,0.0,0.0,2,,5,train,relu
3,5997,226,0,0,0,0.0,0.0,0.0,2,,5,train,relu
4,5994,758,0,0,0,0.0,0.0,0.0,2,,5,train,relu
5,5996,123,0,0,0,0.0,0.0,0.0,2,,5,train,relu
6,5995,832,0,0,0,0.0,0.0,0.0,2,,5,train,relu
7,5998,116,0,0,0,0.0,0.0,0.0,2,,5,train,relu
8,5999,61,0,0,0,0.0,0.0,0.0,2,,5,train,relu
9,5998,164,0,0,0,0.0,0.0,0.0,2,,5,train,relu
all,59968,3584,0,0,0,0.0,0.0,0.0,2,,5,train,relu
0,5997,660,0,0,0,0.0,0.0,0.0,3,,5,train,relu
1,5997,65,0,0,0,0.0,0.0,0.0,3,,5,train,relu
2,5997,579,0,0,0,0.0,0.0,0.0,3,,5,train,relu
