y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_%,unrecognized_and_misclassified_%,unrecognized_misclassified_%,eta,subset_name,num_neurons,stage,thld
0,5997.0,660.0,0.0,0.0,0.0,0.0,1.0,0,gte_mean,3.0,train,mean
1,5997.0,65.0,0.0,0.0,0.0,0.0,1.0,0,gte_mean,3.0,train,mean
2,5997.0,579.0,0.0,0.0,0.0,0.0,1.0,0,gte_mean,3.0,train,mean
3,5997.0,226.0,0.0,0.0,0.0,0.0,1.0,0,gte_mean,3.0,train,mean
4,5994.0,758.0,0.0,0.0,0.0,0.0,1.0,0,gte_mean,3.0,train,mean
5,5996.0,123.0,0.0,0.0,0.0,0.0,1.0,0,gte_mean,3.0,train,mean
6,5995.0,832.0,0.0,0.0,0.0,0.0,1.0,0,gte_mean,3.0,train,mean
7,5998.0,116.0,0.0,0.0,0.0,0.0,1.0,0,gte_mean,3.0,train,mean
8,5999.0,61.0,0.0,0.0,0.0,0.0,1.0,0,gte_mean,3.0,train,mean
9,5998.0,164.0,0.0,0.0,0.0,0.0,1.0,0,gte_mean,3.0,train,mean
all,59968.0,3584.0,0.0,0.0,0.0,0.0,1.0,0,gte_mean,3.0,train,mean
0,5997.0,660.0,0.0,0.0,0.0,0.0,1.0,1,gte_mean,3.0,train,mean
1,5997.0,65.0,0.0,0.0,0.0,0.0,1.0,1,gte_mean,3.0,train,mean
2,5997.0,579.0,0.0,0.0,0.0,0.0,1.0,1,gte_mean,3.0,train,mean
3,5997.0,226.0,0.0,0.0,0.0,0.0,1.0,1,gte_mean,3.0,train,mean
4,5994.0,758.0,0.0,0.0,0.0,0.0,1.0,1,gte_mean,3.0,train,mean
5,5996.0,123.0,0.0,0.0,0.0,0.0,1.0,1,gte_mean,3.0,train,mean
6,5995.0,832.0,0.0,0.0,0.0,0.0,1.0,1,gte_mean,3.0,train,mean
7,5998.0,116.0,0.0,0.0,0.0,0.0,1.0,1,gte_mean,3.0,train,mean
8,5999.0,61.0,0.0,0.0,0.0,0.0,1.0,1,gte_mean,3.0,train,mean
9,5998.0,164.0,0.0,0.0,0.0,0.0,1.0,1,gte_mean,3.0,train,mean
all,59968.0,3584.0,0.0,0.0,0.0,0.0,1.0,1,gte_mean,3.0,train,mean
0,5997.0,660.0,0.0,0.0,0.0,0.0,1.0,2,gte_mean,3.0,train,mean
1,5997.0,65.0,0.0,0.0,0.0,0.0,1.0,2,gte_mean,3.0,train,mean
2,5997.0,579.0,0.0,0.0,0.0,0.0,1.0,2,gte_mean,3.0,train,mean
3,5997.0,226.0,0.0,0.0,0.0,0.0,1.0,2,gte_mean,3.0,train,mean
4,5994.0,758.0,0.0,0.0,0.0,0.0,1.0,2,gte_mean,3.0,train,mean
5,5996.0,123.0,0.0,0.0,0.0,0.0,1.0,2,gte_mean,3.0,train,mean
6,5995.0,832.0,0.0,0.0,0.0,0.0,1.0,2,gte_mean,3.0,train,mean
7,5998.0,116.0,0.0,0.0,0.0,0.0,1.0,2,gte_mean,3.0,train,mean
8,5999.0,61.0,0.0,0.0,0.0,0.0,1.0,2,gte_mean,3.0,train,mean
9,5998.0,164.0,0.0,0.0,0.0,0.0,1.0,2,gte_mean,3.0,train,mean
all,59968.0,3584.0,0.0,0.0,0.0,0.0,1.0,2,gte_mean,3.0,train,mean
0,5997.0,660.0,0.0,0.0,0.0,0.0,1.0,3,gte_mean,3.0,train,mean
1,5997.0,65.0,0.0,0.0,0.0,0.0,1.0,3,gte_mean,3.0,train,mean
2,5997.0,579.0,0.0,0.0,0.0,0.0,1.0,3,gte_mean,3.0,train,mean
3,5997.0,226.0,0.0,0.0,0.0,0.0,1.0,3,gte_mean,3.0,train,mean
4,5994.0,758.0,0.0,0.0,0.0,0.0,1.0,3,gte_mean,3.0,train,mean
5,5996.0,123.0,0.0,0.0,0.0,0.0,1.0,3,gte_mean,3.0,train,mean
6,5995.0,832.0,0.0,0.0,0.0,0.0,1.0,3,gte_mean,3.0,train,mean
7,5998.0,116.0,0.0,0.0,0.0,0.0,1.0,3,gte_mean,3.0,train,mean
8,5999.0,61.0,0.0,0.0,0.0,0.0,1.0,3,gte_mean,3.0,train,mean
9,5998.0,164.0,0.0,0.0,0.0,0.0,1.0,3,gte_mean,3.0,train,mean
all,59968.0,3584.0,0.0,0.0,0.0,0.0,1.0,3,gte_mean,3.0,train,mean
0,1000.0,142.0,0.0,0.0,0.0,0.0,1.0,0,gte_mean,3.0,test,mean
