thld,eta,build_time_min,size_mb,reorder_time_min,num_patterns,num_unique_patterns_%,num_reorder,num_neurons,start_time,end_time
qth_0.75,0.0,0.0,4303.4,0.0,65540.0,0.0,0.0,5.0,2023-08-14 09:05:05,2023-08-14 09:05:05
qth_0.75,1.0,0.0,4303.4,0.0,150.0,5.3,0.0,5.0,2023-08-14 09:05:30,2023-08-14 09:05:30
qth_0.75,2.0,0.0,4303.4,0.0,58.0,10.3,0.0,5.0,2023-08-14 09:05:56,2023-08-14 09:05:56
qth_0.75,3.0,0.0,4303.4,0.0,20.0,20.0,0.0,5.0,2023-08-14 09:06:22,2023-08-14 09:06:22
qth_0.75,0.0,0.0,4303.4,0.0,65540.0,0.0,0.0,3.0,2023-08-14 09:05:06,2023-08-14 09:05:07
qth_0.75,1.0,0.0,4303.4,0.0,24.0,0.0,0.0,3.0,2023-08-14 09:05:28,2023-08-14 09:05:29
qth_0.75,2.0,0.0,4303.4,0.0,8.0,0.0,0.0,3.0,2023-08-14 09:05:51,2023-08-14 09:05:51
qth_0.75,3.0,0.0,4303.4,0.0,2.0,0.0,0.0,3.0,2023-08-14 09:06:14,2023-08-14 09:06:14
qth_0.5,0.0,0.0,4303.4,0.0,65540.0,0.0,0.0,5.0,2023-08-14 09:05:08,2023-08-14 09:05:08
qth_0.5,1.0,0.0,4303.4,0.0,160.0,0.0,0.0,5.0,2023-08-14 09:05:33,2023-08-14 09:05:34
qth_0.5,2.0,0.0,4303.4,0.0,64.0,0.0,0.0,5.0,2023-08-14 09:06:00,2023-08-14 09:06:00
qth_0.5,3.0,0.0,4303.4,0.0,24.0,0.0,0.0,5.0,2023-08-14 09:06:25,2023-08-14 09:06:25
qth_0.5,0.0,0.0,4303.4,0.0,65540.0,0.0,0.0,3.0,2023-08-14 09:05:08,2023-08-14 09:05:08
qth_0.5,1.0,0.0,4303.4,0.0,24.0,0.0,0.0,3.0,2023-08-14 09:05:30,2023-08-14 09:05:30
qth_0.5,2.0,0.0,4303.4,0.0,8.0,0.0,0.0,3.0,2023-08-14 09:05:52,2023-08-14 09:05:52
qth_0.5,3.0,0.0,4303.4,0.0,2.0,0.0,0.0,3.0,2023-08-14 09:06:16,2023-08-14 09:06:16
qth_0.25,0.0,0.0,4303.4,0.0,65540.0,0.0,0.0,5.0,2023-08-14 09:05:10,2023-08-14 09:05:10
qth_0.25,1.0,0.0,4303.4,0.0,145.0,7.6,0.0,5.0,2023-08-14 09:05:34,2023-08-14 09:05:34
qth_0.25,2.0,0.0,4303.4,0.0,55.0,16.4,0.0,5.0,2023-08-14 09:06:00,2023-08-14 09:06:00
qth_0.25,3.0,0.0,4303.4,0.0,18.0,33.3,0.0,5.0,2023-08-14 09:06:23,2023-08-14 09:06:23
qth_0.25,0.0,0.0,4303.4,0.0,65540.0,0.0,0.0,3.0,2023-08-14 09:05:08,2023-08-14 09:05:08
qth_0.25,1.0,0.0,4303.4,0.0,24.0,0.0,0.0,3.0,2023-08-14 09:05:32,2023-08-14 09:05:32
qth_0.25,2.0,0.0,4303.4,0.0,8.0,0.0,0.0,3.0,2023-08-14 09:05:56,2023-08-14 09:05:56
qth_0.25,3.0,0.0,4303.4,0.0,2.0,0.0,0.0,3.0,2023-08-14 09:06:21,2023-08-14 09:06:21
relu,0.0,0.0,4303.4,0.0,65540.0,0.0,0.0,5.0,2023-08-14 09:05:10,2023-08-14 09:05:10
relu,1.0,0.0,4303.4,0.0,160.0,0.0,0.0,5.0,2023-08-14 09:05:35,2023-08-14 09:05:36
relu,2.0,0.0,4303.4,0.0,64.0,0.0,0.0,5.0,2023-08-14 09:06:02,2023-08-14 09:06:03
relu,3.0,0.0,4303.4,0.0,24.0,0.0,0.0,5.0,2023-08-14 09:06:26,2023-08-14 09:06:26
relu,0.0,0.0,4303.4,0.0,65540.0,0.0,0.0,3.0,2023-08-14 09:05:12,2023-08-14 09:05:12
relu,1.0,0.0,4303.4,0.0,24.0,0.0,0.0,3.0,2023-08-14 09:05:36,2023-08-14 09:05:36
relu,2.0,0.0,4303.4,0.0,8.0,0.0,0.0,3.0,2023-08-14 09:06:01,2023-08-14 09:06:01
relu,3.0,0.0,4303.4,0.0,2.0,0.0,0.0,3.0,2023-08-14 09:06:24,2023-08-14 09:06:24
mean,0.0,0.0,4303.4,0.0,65540.0,0.0,0.0,5.0,2023-08-14 09:05:12,2023-08-14 09:05:12
mean,1.0,0.0,4303.4,0.0,160.0,0.0,0.0,5.0,2023-08-14 09:05:37,2023-08-14 09:05:37
mean,2.0,0.0,4303.4,0.0,64.0,0.0,0.0,5.0,2023-08-14 09:06:04,2023-08-14 09:06:04
mean,3.0,0.0,4303.4,0.0,24.0,0.0,0.0,5.0,2023-08-14 09:06:27,2023-08-14 09:06:27
mean,0.0,0.0,4303.4,0.0,65540.0,0.0,0.0,3.0,2023-08-14 09:05:10,2023-08-14 09:05:10
mean,1.0,0.0,4303.4,0.0,24.0,0.0,0.0,3.0,2023-08-14 09:05:32,2023-08-14 09:05:32
mean,2.0,0.0,4303.4,0.0,8.0,0.0,0.0,3.0,2023-08-14 09:05:55,2023-08-14 09:05:55
mean,3.0,0.0,4303.4,0.0,2.0,0.0,0.0,3.0,2023-08-14 09:06:18,2023-08-14 09:06:18
