y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_and_classified,NPR,NPV,specificity,eta,subset_name,num_neurons,stage,thld
0,5997,334,0,0,0,0.0,0.0,0.0,0,components,8,train,mean
1,5997,32,0,0,0,0.0,0.0,0.0,0,components,8,train,mean
2,5997,315,0,0,0,0.0,0.0,0.0,0,components,8,train,mean
3,5997,169,0,0,0,0.0,0.0,0.0,0,components,8,train,mean
4,5994,309,0,0,0,0.0,0.0,0.0,0,components,8,train,mean
5,5996,27,0,0,0,0.0,0.0,0.0,0,components,8,train,mean
6,5995,812,0,0,0,0.0,0.0,0.0,0,components,8,train,mean
7,5998,179,0,0,0,0.0,0.0,0.0,0,components,8,train,mean
8,5999,22,1,1,0,0.0001666944490748,1.0,0.045454545454545456,0,components,8,train,mean
9,5998,90,0,0,0,0.0,0.0,0.0,0,components,8,train,mean
all,59968,2289,1,1,0,1.667556029882604e-05,1.0,0.00043687199650502403,0,components,8,train,mean
0,5997,334,0,0,0,0.0,0.0,0.0,1,components,8,train,mean
1,5997,32,0,0,0,0.0,0.0,0.0,1,components,8,train,mean
2,5997,315,0,0,0,0.0,0.0,0.0,1,components,8,train,mean
3,5997,169,0,0,0,0.0,0.0,0.0,1,components,8,train,mean
4,5994,309,0,0,0,0.0,0.0,0.0,1,components,8,train,mean
5,5996,27,0,0,0,0.0,0.0,0.0,1,components,8,train,mean
6,5995,812,0,0,0,0.0,0.0,0.0,1,components,8,train,mean
7,5998,179,0,0,0,0.0,0.0,0.0,1,components,8,train,mean
8,5999,22,1,1,0,0.0001666944490748,1.0,0.045454545454545456,1,components,8,train,mean
9,5998,90,0,0,0,0.0,0.0,0.0,1,components,8,train,mean
all,59968,2289,1,1,0,1.667556029882604e-05,1.0,0.00043687199650502403,1,components,8,train,mean
0,5997,334,0,0,0,0.0,0.0,0.0,2,components,8,train,mean
1,5997,32,0,0,0,0.0,0.0,0.0,2,components,8,train,mean
2,5997,315,0,0,0,0.0,0.0,0.0,2,components,8,train,mean
3,5997,169,0,0,0,0.0,0.0,0.0,2,components,8,train,mean
4,5994,309,0,0,0,0.0,0.0,0.0,2,components,8,train,mean
5,5996,27,0,0,0,0.0,0.0,0.0,2,components,8,train,mean
6,5995,812,0,0,0,0.0,0.0,0.0,2,components,8,train,mean
7,5998,179,0,0,0,0.0,0.0,0.0,2,components,8,train,mean
8,5999,22,1,1,0,0.0001666944490748,1.0,0.045454545454545456,2,components,8,train,mean
9,5998,90,0,0,0,0.0,0.0,0.0,2,components,8,train,mean
all,59968,2289,1,1,0,1.667556029882604e-05,1.0,0.00043687199650502403,2,components,8,train,mean
0,5997,334,0,0,0,0.0,0.0,0.0,3,components,8,train,mean
1,5997,32,0,0,0,0.0,0.0,0.0,3,components,8,train,mean
2,5997,315,0,0,0,0.0,0.0,0.0,3,components,8,train,mean
3,5997,169,0,0,0,0.0,0.0,0.0,3,components,8,train,mean
4,5994,309,0,0,0,0.0,0.0,0.0,3,components,8,train,mean
5,5996,27,0,0,0,0.0,0.0,0.0,3,components,8,train,mean
6,5995,812,0,0,0,0.0,0.0,0.0,3,components,8,train,mean
7,5998,179,0,0,0,0.0,0.0,0.0,3,components,8,train,mean
8,5999,22,1,1,0,0.0001666944490748,1.0,0.045454545454545456,3,components,8,train,mean
9,5998,90,0,0,0,0.0,0.0,0.0,3,components,8,train,mean
all,59968,2289,1,1,0,1.667556029882604e-05,1.0,0.00043687199650502403,3,components,8,train,mean
0,1000,135,0,0,0,0.0,0.0,0.0,0,components,8,test,mean
1,997,21,0,0,0,0.0,0.0,0.0,0,components,8,test,mean
2,999,104,0,0,0,0.0,0.0,0.0,0,components,8,test,mean
3,999,73,0,0,0,0.0,0.0,0.0,0,components,8,test,mean
4,999,102,0,0,0,0.0,0.0,0.0,0,components,8,test,mean
5,997,16,0,0,0,0.0,0.0,0.0,0,components,8,test,mean
6,999,246,0,0,0,0.0,0.0,0.0,0,components,8,test,mean
7,999,43,1,1,0,0.001001001001001,1.0,0.023255813953488372,0,components,8,test,mean
8,997,12,1,0,1,0.0010030090270812,1.0,0.0,0,components,8,test,mean
9,998,27,0,0,0,0.0,0.0,0.0,0,components,8,test,mean
all,9984,779,2,1,1,0.0002003205128205,0.5,0.0012836970474967907,0,components,8,test,mean
0,1000,135,0,0,0,0.0,0.0,0.0,1,components,8,test,mean
1,997,21,0,0,0,0.0,0.0,0.0,1,components,8,test,mean
2,999,104,0,0,0,0.0,0.0,0.0,1,components,8,test,mean
3,999,73,0,0,0,0.0,0.0,0.0,1,components,8,test,mean
4,999,102,0,0,0,0.0,0.0,0.0,1,components,8,test,mean
5,997,16,0,0,0,0.0,0.0,0.0,1,components,8,test,mean
6,999,246,0,0,0,0.0,0.0,0.0,1,components,8,test,mean
7,999,43,1,1,0,0.001001001001001,1.0,0.023255813953488372,1,components,8,test,mean
8,997,12,1,0,1,0.0010030090270812,1.0,0.0,1,components,8,test,mean
9,998,27,0,0,0,0.0,0.0,0.0,1,components,8,test,mean
all,9984,779,2,1,1,0.0002003205128205,0.5,0.0012836970474967907,1,components,8,test,mean
0,1000,135,0,0,0,0.0,0.0,0.0,2,components,8,test,mean
1,997,21,0,0,0,0.0,0.0,0.0,2,components,8,test,mean
2,999,104,0,0,0,0.0,0.0,0.0,2,components,8,test,mean
3,999,73,0,0,0,0.0,0.0,0.0,2,components,8,test,mean
4,999,102,0,0,0,0.0,0.0,0.0,2,components,8,test,mean
5,997,16,0,0,0,0.0,0.0,0.0,2,components,8,test,mean
6,999,246,0,0,0,0.0,0.0,0.0,2,components,8,test,mean
7,999,43,1,1,0,0.001001001001001,1.0,0.023255813953488372,2,components,8,test,mean
8,997,12,1,0,1,0.0010030090270812,1.0,0.0,2,components,8,test,mean
9,998,27,0,0,0,0.0,0.0,0.0,2,components,8,test,mean
all,9984,779,2,1,1,0.0002003205128205,0.5,0.0012836970474967907,2,components,8,test,mean
0,1000,135,0,0,0,0.0,0.0,0.0,3,components,8,test,mean
1,997,21,0,0,0,0.0,0.0,0.0,3,components,8,test,mean
2,999,104,0,0,0,0.0,0.0,0.0,3,components,8,test,mean
3,999,73,0,0,0,0.0,0.0,0.0,3,components,8,test,mean
4,999,102,0,0,0,0.0,0.0,0.0,3,components,8,test,mean
5,997,16,0,0,0,0.0,0.0,0.0,3,components,8,test,mean
6,999,246,0,0,0,0.0,0.0,0.0,3,components,8,test,mean
7,999,43,1,1,0,0.001001001001001,1.0,0.023255813953488372,3,components,8,test,mean
8,997,12,1,0,1,0.0010030090270812,1.0,0.0,3,components,8,test,mean
9,998,27,0,0,0,0.0,0.0,0.0,3,components,8,test,mean
all,9984,779,2,1,1,0.0002003205128205,0.5,0.0012836970474967907,3,components,8,test,mean
1,1000,1000,11,0,11,0.011,1.0,0.0,0,components,8,evaluation,mean
all,1000,1000,11,0,11,0.011,1.0,0.0,0,components,8,evaluation,mean
1,1000,1000,11,0,11,0.011,1.0,0.0,1,components,8,evaluation,mean
all,1000,1000,11,0,11,0.011,1.0,0.0,1,components,8,evaluation,mean
1,1000,1000,11,0,11,0.011,1.0,0.0,2,components,8,evaluation,mean
all,1000,1000,11,0,11,0.011,1.0,0.0,2,components,8,evaluation,mean
1,1000,1000,11,0,11,0.011,1.0,0.0,3,components,8,evaluation,mean
all,1000,1000,11,0,11,0.011,1.0,0.0,3,components,8,evaluation,mean
