y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_and_classified,NPR,NPV,specificity,eta,subset_name,num_neurons,stage,thld
0,5997,334,301,301,0,0.0501917625479406,1.0,0.9011976047904192,0,,60,train,mean
1,5997,32,30,30,0,0.0050025012506253,1.0,0.9375,0,,60,train,mean
2,5997,315,306,306,0,0.0510255127563781,1.0,0.9714285714285714,0,,60,train,mean
3,5997,169,167,167,0,0.0278472569618142,1.0,0.9881656804733728,0,,60,train,mean
4,5994,309,296,296,0,0.0493827160493827,1.0,0.9579288025889967,0,,60,train,mean
5,5996,27,26,26,0,0.0043362241494329,1.0,0.9629629629629629,0,,60,train,mean
6,5995,812,721,721,0,0.1202668890742285,1.0,0.8879310344827587,0,,60,train,mean
7,5998,179,165,165,0,0.027509169723241,1.0,0.9217877094972067,0,,60,train,mean
8,5999,22,22,22,0,0.0036672778796466,1.0,1.0,0,,60,train,mean
9,5998,90,83,83,0,0.0138379459819939,1.0,0.9222222222222223,0,,60,train,mean
all,59968,2289,2117,2117,0,0.0353021611526147,1.0,0.9248580166011359,0,,60,train,mean
0,5997,334,301,301,0,0.0501917625479406,1.0,0.9011976047904192,1,,60,train,mean
1,5997,32,30,30,0,0.0050025012506253,1.0,0.9375,1,,60,train,mean
2,5997,315,306,306,0,0.0510255127563781,1.0,0.9714285714285714,1,,60,train,mean
3,5997,169,167,167,0,0.0278472569618142,1.0,0.9881656804733728,1,,60,train,mean
4,5994,309,296,296,0,0.0493827160493827,1.0,0.9579288025889967,1,,60,train,mean
5,5996,27,26,26,0,0.0043362241494329,1.0,0.9629629629629629,1,,60,train,mean
6,5995,812,721,721,0,0.1202668890742285,1.0,0.8879310344827587,1,,60,train,mean
7,5998,179,165,165,0,0.027509169723241,1.0,0.9217877094972067,1,,60,train,mean
8,5999,22,22,22,0,0.0036672778796466,1.0,1.0,1,,60,train,mean
9,5998,90,83,83,0,0.0138379459819939,1.0,0.9222222222222223,1,,60,train,mean
all,59968,2289,2117,2117,0,0.0353021611526147,1.0,0.9248580166011359,1,,60,train,mean
0,5997,334,301,301,0,0.0501917625479406,1.0,0.9011976047904192,2,,60,train,mean
1,5997,32,30,30,0,0.0050025012506253,1.0,0.9375,2,,60,train,mean
2,5997,315,306,306,0,0.0510255127563781,1.0,0.9714285714285714,2,,60,train,mean
3,5997,169,167,167,0,0.0278472569618142,1.0,0.9881656804733728,2,,60,train,mean
4,5994,309,296,296,0,0.0493827160493827,1.0,0.9579288025889967,2,,60,train,mean
5,5996,27,26,26,0,0.0043362241494329,1.0,0.9629629629629629,2,,60,train,mean
6,5995,812,721,721,0,0.1202668890742285,1.0,0.8879310344827587,2,,60,train,mean
7,5998,179,165,165,0,0.027509169723241,1.0,0.9217877094972067,2,,60,train,mean
8,5999,22,22,22,0,0.0036672778796466,1.0,1.0,2,,60,train,mean
9,5998,90,83,83,0,0.0138379459819939,1.0,0.9222222222222223,2,,60,train,mean
all,59968,2289,2117,2117,0,0.0353021611526147,1.0,0.9248580166011359,2,,60,train,mean
0,5997,334,301,301,0,0.0501917625479406,1.0,0.9011976047904192,3,,60,train,mean
1,5997,32,30,30,0,0.0050025012506253,1.0,0.9375,3,,60,train,mean
2,5997,315,306,306,0,0.0510255127563781,1.0,0.9714285714285714,3,,60,train,mean
