y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_%,unrecognized_and_misclassified_%,unrecognized_misclassified_%,eta,subset_name,num_neurons,stage,thld
0,5997.0,334.0,224.0,224.0,0.0373520093380023,1.0,0.6706586826347305,0,,60.0,train,qth_0.75
1,5997.0,32.0,31.0,31.0,0.0051692512923128,1.0,0.96875,0,,60.0,train,qth_0.75
2,5997.0,315.0,265.0,265.0,0.0441887610471902,1.0,0.8412698412698413,0,,60.0,train,qth_0.75
3,5997.0,169.0,136.0,136.0,0.0226780056695014,1.0,0.8047337278106509,0,,60.0,train,qth_0.75
4,5994.0,309.0,276.0,276.0,0.046046046046046,1.0,0.8932038834951457,0,,60.0,train,qth_0.75
5,5996.0,27.0,18.0,18.0,0.0030020013342228,1.0,0.6666666666666666,0,,60.0,train,qth_0.75
6,5995.0,812.0,685.0,685.0,0.1142618849040867,1.0,0.8435960591133005,0,,60.0,train,qth_0.75
7,5998.0,179.0,92.0,92.0,0.0153384461487162,1.0,0.5139664804469274,0,,60.0,train,qth_0.75
8,5999.0,22.0,22.0,22.0,0.0036672778796466,1.0,1.0,0,,60.0,train,qth_0.75
9,5998.0,90.0,70.0,70.0,0.011670556852284,1.0,0.7777777777777778,0,,60.0,train,qth_0.75
all,59968.0,2289.0,1819.0,1819.0,0.0303328441835645,1.0,0.7946701616426387,0,,60.0,train,qth_0.75
0,5997.0,334.0,224.0,224.0,0.0373520093380023,1.0,0.6706586826347305,1,,60.0,train,qth_0.75
1,5997.0,32.0,31.0,31.0,0.0051692512923128,1.0,0.96875,1,,60.0,train,qth_0.75
2,5997.0,315.0,265.0,265.0,0.0441887610471902,1.0,0.8412698412698413,1,,60.0,train,qth_0.75
3,5997.0,169.0,136.0,136.0,0.0226780056695014,1.0,0.8047337278106509,1,,60.0,train,qth_0.75
4,5994.0,309.0,276.0,276.0,0.046046046046046,1.0,0.8932038834951457,1,,60.0,train,qth_0.75
5,5996.0,27.0,18.0,18.0,0.0030020013342228,1.0,0.6666666666666666,1,,60.0,train,qth_0.75
6,5995.0,812.0,685.0,685.0,0.1142618849040867,1.0,0.8435960591133005,1,,60.0,train,qth_0.75
7,5998.0,179.0,92.0,92.0,0.0153384461487162,1.0,0.5139664804469274,1,,60.0,train,qth_0.75
8,5999.0,22.0,22.0,22.0,0.0036672778796466,1.0,1.0,1,,60.0,train,qth_0.75
9,5998.0,90.0,70.0,70.0,0.011670556852284,1.0,0.7777777777777778,1,,60.0,train,qth_0.75
all,59968.0,2289.0,1819.0,1819.0,0.0303328441835645,1.0,0.7946701616426387,1,,60.0,train,qth_0.75
0,5997.0,334.0,224.0,224.0,0.0373520093380023,1.0,0.6706586826347305,2,,60.0,train,qth_0.75
1,5997.0,32.0,31.0,31.0,0.0051692512923128,1.0,0.96875,2,,60.0,train,qth_0.75
2,5997.0,315.0,265.0,265.0,0.0441887610471902,1.0,0.8412698412698413,2,,60.0,train,qth_0.75
3,5997.0,169.0,136.0,136.0,0.0226780056695014,1.0,0.8047337278106509,2,,60.0,train,qth_0.75
4,5994.0,309.0,276.0,276.0,0.046046046046046,1.0,0.8932038834951457,2,,60.0,train,qth_0.75
5,5996.0,27.0,18.0,18.0,0.0030020013342228,1.0,0.6666666666666666,2,,60.0,train,qth_0.75
6,5995.0,812.0,685.0,685.0,0.1142618849040867,1.0,0.8435960591133005,2,,60.0,train,qth_0.75
7,5998.0,179.0,92.0,92.0,0.0153384461487162,1.0,0.5139664804469274,2,,60.0,train,qth_0.75
8,5999.0,22.0,22.0,22.0,0.0036672778796466,1.0,1.0,2,,60.0,train,qth_0.75
9,5998.0,90.0,70.0,70.0,0.011670556852284,1.0,0.7777777777777778,2,,60.0,train,qth_0.75
all,59968.0,2289.0,1819.0,1819.0,0.0303328441835645,1.0,0.7946701616426387,2,,60.0,train,qth_0.75
0,5997.0,334.0,224.0,224.0,0.0373520093380023,1.0,0.6706586826347305,3,,60.0,train,qth_0.75
1,5997.0,32.0,31.0,31.0,0.0051692512923128,1.0,0.96875,3,,60.0,train,qth_0.75
2,5997.0,315.0,265.0,265.0,0.0441887610471902,1.0,0.8412698412698413,3,,60.0,train,qth_0.75
3,5997.0,169.0,136.0,136.0,0.0226780056695014,1.0,0.8047337278106509,3,,60.0,train,qth_0.75
4,5994.0,309.0,276.0,276.0,0.046046046046046,1.0,0.8932038834951457,3,,60.0,train,qth_0.75
5,5996.0,27.0,18.0,18.0,0.0030020013342228,1.0,0.6666666666666666,3,,60.0,train,qth_0.75
6,5995.0,812.0,685.0,685.0,0.1142618849040867,1.0,0.8435960591133005,3,,60.0,train,qth_0.75
7,5998.0,179.0,92.0,92.0,0.0153384461487162,1.0,0.5139664804469274,3,,60.0,train,qth_0.75
8,5999.0,22.0,22.0,22.0,0.0036672778796466,1.0,1.0,3,,60.0,train,qth_0.75
9,5998.0,90.0,70.0,70.0,0.011670556852284,1.0,0.7777777777777778,3,,60.0,train,qth_0.75
all,59968.0,2289.0,1819.0,1819.0,0.0303328441835645,1.0,0.7946701616426387,3,,60.0,train,qth_0.75
0,1000.0,135.0,97.0,97.0,0.097,1.0,0.7185185185185186,0,,60.0,test,qth_0.75
1,997.0,21.0,19.0,19.0,0.0190571715145436,1.0,0.9047619047619048,0,,60.0,test,qth_0.75
2,999.0,104.0,83.0,83.0,0.083083083083083,1.0,0.7980769230769231,0,,60.0,test,qth_0.75
3,999.0,73.0,62.0,62.0,0.062062062062062,1.0,0.8493150684931506,0,,60.0,test,qth_0.75
4,999.0,102.0,90.0,90.0,0.09009009009009,1.0,0.8823529411764706,0,,60.0,test,qth_0.75
5,997.0,16.0,11.0,11.0,0.0110330992978936,1.0,0.6875,0,,60.0,test,qth_0.75
6,999.0,246.0,202.0,202.0,0.2022022022022022,1.0,0.8211382113821138,0,,60.0,test,qth_0.75
7,999.0,43.0,25.0,25.0,0.025025025025025,1.0,0.5813953488372093,0,,60.0,test,qth_0.75
8,997.0,12.0,12.0,12.0,0.0120361083249749,1.0,1.0,0,,60.0,test,qth_0.75
9,998.0,27.0,20.0,20.0,0.0200400801603206,1.0,0.7407407407407407,0,,60.0,test,qth_0.75
all,9984.0,779.0,621.0,621.0,0.0621995192307692,1.0,0.7971758664955071,0,,60.0,test,qth_0.75
0,1000.0,135.0,97.0,97.0,0.097,1.0,0.7185185185185186,1,,60.0,test,qth_0.75
1,997.0,21.0,19.0,19.0,0.0190571715145436,1.0,0.9047619047619048,1,,60.0,test,qth_0.75
2,999.0,104.0,83.0,83.0,0.083083083083083,1.0,0.7980769230769231,1,,60.0,test,qth_0.75
3,999.0,73.0,62.0,62.0,0.062062062062062,1.0,0.8493150684931506,1,,60.0,test,qth_0.75
4,999.0,102.0,90.0,90.0,0.09009009009009,1.0,0.8823529411764706,1,,60.0,test,qth_0.75
5,997.0,16.0,11.0,11.0,0.0110330992978936,1.0,0.6875,1,,60.0,test,qth_0.75
6,999.0,246.0,202.0,202.0,0.2022022022022022,1.0,0.8211382113821138,1,,60.0,test,qth_0.75
7,999.0,43.0,25.0,25.0,0.025025025025025,1.0,0.5813953488372093,1,,60.0,test,qth_0.75
8,997.0,12.0,12.0,12.0,0.0120361083249749,1.0,1.0,1,,60.0,test,qth_0.75
9,998.0,27.0,20.0,20.0,0.0200400801603206,1.0,0.7407407407407407,1,,60.0,test,qth_0.75
all,9984.0,779.0,621.0,621.0,0.0621995192307692,1.0,0.7971758664955071,1,,60.0,test,qth_0.75
0,1000.0,135.0,97.0,97.0,0.097,1.0,0.7185185185185186,2,,60.0,test,qth_0.75
1,997.0,21.0,19.0,19.0,0.0190571715145436,1.0,0.9047619047619048,2,,60.0,test,qth_0.75
2,999.0,104.0,83.0,83.0,0.083083083083083,1.0,0.7980769230769231,2,,60.0,test,qth_0.75
3,999.0,73.0,62.0,62.0,0.062062062062062,1.0,0.8493150684931506,2,,60.0,test,qth_0.75
4,999.0,102.0,90.0,90.0,0.09009009009009,1.0,0.8823529411764706,2,,60.0,test,qth_0.75
5,997.0,16.0,11.0,11.0,0.0110330992978936,1.0,0.6875,2,,60.0,test,qth_0.75
6,999.0,246.0,202.0,202.0,0.2022022022022022,1.0,0.8211382113821138,2,,60.0,test,qth_0.75
7,999.0,43.0,25.0,25.0,0.025025025025025,1.0,0.5813953488372093,2,,60.0,test,qth_0.75
8,997.0,12.0,12.0,12.0,0.0120361083249749,1.0,1.0,2,,60.0,test,qth_0.75
