y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_and_classified,NPR,NPV,specificity,eta,subset_name,num_neurons,stage,thld
0,5997,334,297,297,0,0.0495247623811905,1.0,0.8892215568862275,0,,60,train,relu
1,5997,32,32,32,0,0.0053360013340003,1.0,1.0,0,,60,train,relu
2,5997,315,304,304,0,0.0506920126730031,1.0,0.9650793650793651,0,,60,train,relu
3,5997,169,167,167,0,0.0278472569618142,1.0,0.9881656804733728,0,,60,train,relu
4,5994,309,303,303,0,0.0505505505505505,1.0,0.9805825242718447,0,,60,train,relu
5,5996,27,25,25,0,0.0041694462975316,1.0,0.9259259259259259,0,,60,train,relu
6,5995,812,723,723,0,0.1206005004170141,1.0,0.8903940886699507,0,,60,train,relu
7,5998,179,163,163,0,0.0271757252417472,1.0,0.9106145251396648,0,,60,train,relu
8,5999,22,22,22,0,0.0036672778796466,1.0,1.0,0,,60,train,relu
9,5998,90,86,86,0,0.0143381127042347,1.0,0.9555555555555556,0,,60,train,relu
all,59968,2289,2122,2122,0,0.0353855389541088,1.0,0.927042376583661,0,,60,train,relu
0,5997,334,297,297,0,0.0495247623811905,1.0,0.8892215568862275,1,,60,train,relu
1,5997,32,32,32,0,0.0053360013340003,1.0,1.0,1,,60,train,relu
2,5997,315,304,304,0,0.0506920126730031,1.0,0.9650793650793651,1,,60,train,relu
3,5997,169,167,167,0,0.0278472569618142,1.0,0.9881656804733728,1,,60,train,relu
4,5994,309,303,303,0,0.0505505505505505,1.0,0.9805825242718447,1,,60,train,relu
5,5996,27,25,25,0,0.0041694462975316,1.0,0.9259259259259259,1,,60,train,relu
6,5995,812,723,723,0,0.1206005004170141,1.0,0.8903940886699507,1,,60,train,relu
7,5998,179,163,163,0,0.0271757252417472,1.0,0.9106145251396648,1,,60,train,relu
8,5999,22,22,22,0,0.0036672778796466,1.0,1.0,1,,60,train,relu
9,5998,90,86,86,0,0.0143381127042347,1.0,0.9555555555555556,1,,60,train,relu
all,59968,2289,2122,2122,0,0.0353855389541088,1.0,0.927042376583661,1,,60,train,relu
0,5997,334,297,297,0,0.0495247623811905,1.0,0.8892215568862275,2,,60,train,relu
1,5997,32,32,32,0,0.0053360013340003,1.0,1.0,2,,60,train,relu
2,5997,315,304,304,0,0.0506920126730031,1.0,0.9650793650793651,2,,60,train,relu
3,5997,169,167,167,0,0.0278472569618142,1.0,0.9881656804733728,2,,60,train,relu
4,5994,309,303,303,0,0.0505505505505505,1.0,0.9805825242718447,2,,60,train,relu
5,5996,27,25,25,0,0.0041694462975316,1.0,0.9259259259259259,2,,60,train,relu
6,5995,812,723,723,0,0.1206005004170141,1.0,0.8903940886699507,2,,60,train,relu
7,5998,179,163,163,0,0.0271757252417472,1.0,0.9106145251396648,2,,60,train,relu
8,5999,22,22,22,0,0.0036672778796466,1.0,1.0,2,,60,train,relu
9,5998,90,86,86,0,0.0143381127042347,1.0,0.9555555555555556,2,,60,train,relu
all,59968,2289,2122,2122,0,0.0353855389541088,1.0,0.927042376583661,2,,60,train,relu
0,5997,334,297,297,0,0.0495247623811905,1.0,0.8892215568862275,3,,60,train,relu
1,5997,32,32,32,0,0.0053360013340003,1.0,1.0,3,,60,train,relu
2,5997,315,304,304,0,0.0506920126730031,1.0,0.9650793650793651,3,,60,train,relu
3,5997,169,167,167,0,0.0278472569618142,1.0,0.9881656804733728,3,,60,train,relu
4,5994,309,303,303,0,0.0505505505505505,1.0,0.9805825242718447,3,,60,train,relu
5,5996,27,25,25,0,0.0041694462975316,1.0,0.9259259259259259,3,,60,train,relu
6,5995,812,723,723,0,0.1206005004170141,1.0,0.8903940886699507,3,,60,train,relu
7,5998,179,163,163,0,0.0271757252417472,1.0,0.9106145251396648,3,,60,train,relu
8,5999,22,22,22,0,0.0036672778796466,1.0,1.0,3,,60,train,relu
