y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_and_classified,NPR,NPV,specificity,eta,subset_name,num_neurons,stage,thld
0,5997,334,174,174,0,0.0290145072536268,1.0,0.5209580838323353,0,gte_mean,30,train,mean
1,5997,32,18,18,0,0.0030015007503751,1.0,0.5625,0,gte_mean,30,train,mean
2,5997,315,211,211,0,0.0351842587960646,1.0,0.6698412698412698,0,gte_mean,30,train,mean
3,5997,169,98,98,0,0.016341504085376,1.0,0.5798816568047337,0,gte_mean,30,train,mean
4,5994,309,185,185,0,0.0308641975308641,1.0,0.598705501618123,0,gte_mean,30,train,mean
5,5996,27,20,20,0,0.0033355570380253,1.0,0.7407407407407407,0,gte_mean,30,train,mean
6,5995,812,418,418,0,0.0697247706422018,1.0,0.5147783251231527,0,gte_mean,30,train,mean
7,5998,179,84,84,0,0.0140046682227409,1.0,0.4692737430167598,0,gte_mean,30,train,mean
8,5999,22,22,22,0,0.0036672778796466,1.0,1.0,0,gte_mean,30,train,mean
9,5998,90,61,61,0,0.0101700566855618,1.0,0.6777777777777778,0,gte_mean,30,train,mean
all,59968,2289,1291,1291,0,0.0215281483457844,1.0,0.564001747487986,0,gte_mean,30,train,mean
0,5997,334,174,174,0,0.0290145072536268,1.0,0.5209580838323353,1,gte_mean,30,train,mean
1,5997,32,18,18,0,0.0030015007503751,1.0,0.5625,1,gte_mean,30,train,mean
2,5997,315,211,211,0,0.0351842587960646,1.0,0.6698412698412698,1,gte_mean,30,train,mean
3,5997,169,98,98,0,0.016341504085376,1.0,0.5798816568047337,1,gte_mean,30,train,mean
4,5994,309,185,185,0,0.0308641975308641,1.0,0.598705501618123,1,gte_mean,30,train,mean
5,5996,27,20,20,0,0.0033355570380253,1.0,0.7407407407407407,1,gte_mean,30,train,mean
6,5995,812,418,418,0,0.0697247706422018,1.0,0.5147783251231527,1,gte_mean,30,train,mean
7,5998,179,84,84,0,0.0140046682227409,1.0,0.4692737430167598,1,gte_mean,30,train,mean
8,5999,22,22,22,0,0.0036672778796466,1.0,1.0,1,gte_mean,30,train,mean
9,5998,90,61,61,0,0.0101700566855618,1.0,0.6777777777777778,1,gte_mean,30,train,mean
all,59968,2289,1291,1291,0,0.0215281483457844,1.0,0.564001747487986,1,gte_mean,30,train,mean
0,5997,334,174,174,0,0.0290145072536268,1.0,0.5209580838323353,2,gte_mean,30,train,mean
1,5997,32,18,18,0,0.0030015007503751,1.0,0.5625,2,gte_mean,30,train,mean
2,5997,315,211,211,0,0.0351842587960646,1.0,0.6698412698412698,2,gte_mean,30,train,mean
3,5997,169,98,98,0,0.016341504085376,1.0,0.5798816568047337,2,gte_mean,30,train,mean
4,5994,309,185,185,0,0.0308641975308641,1.0,0.598705501618123,2,gte_mean,30,train,mean
5,5996,27,20,20,0,0.0033355570380253,1.0,0.7407407407407407,2,gte_mean,30,train,mean
6,5995,812,418,418,0,0.0697247706422018,1.0,0.5147783251231527,2,gte_mean,30,train,mean
7,5998,179,84,84,0,0.0140046682227409,1.0,0.4692737430167598,2,gte_mean,30,train,mean
8,5999,22,22,22,0,0.0036672778796466,1.0,1.0,2,gte_mean,30,train,mean
9,5998,90,61,61,0,0.0101700566855618,1.0,0.6777777777777778,2,gte_mean,30,train,mean
all,59968,2289,1291,1291,0,0.0215281483457844,1.0,0.564001747487986,2,gte_mean,30,train,mean
0,5997,334,174,174,0,0.0290145072536268,1.0,0.5209580838323353,3,gte_mean,30,train,mean
1,5997,32,18,18,0,0.0030015007503751,1.0,0.5625,3,gte_mean,30,train,mean
2,5997,315,211,211,0,0.0351842587960646,1.0,0.6698412698412698,3,gte_mean,30,train,mean
3,5997,169,98,98,0,0.016341504085376,1.0,0.5798816568047337,3,gte_mean,30,train,mean
4,5994,309,185,185,0,0.0308641975308641,1.0,0.598705501618123,3,gte_mean,30,train,mean
5,5996,27,20,20,0,0.0033355570380253,1.0,0.7407407407407407,3,gte_mean,30,train,mean
6,5995,812,418,418,0,0.0697247706422018,1.0,0.5147783251231527,3,gte_mean,30,train,mean
7,5998,179,84,84,0,0.0140046682227409,1.0,0.4692737430167598,3,gte_mean,30,train,mean
