y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_%,unrecognized_and_misclassified_%,unrecognized_misclassified_%,eta,subset_name,num_neurons,stage,thld
0,5997.0,334.0,153.0,153.0,0.025512756378189,1.0,0.4580838323353293,0,gte_mean,30.0,train,relu
1,5997.0,32.0,25.0,25.0,0.0041687510421877,1.0,0.78125,0,gte_mean,30.0,train,relu
2,5997.0,315.0,216.0,216.0,0.0360180090045022,1.0,0.6857142857142857,0,gte_mean,30.0,train,relu
3,5997.0,169.0,131.0,131.0,0.0218442554610638,1.0,0.7751479289940828,0,gte_mean,30.0,train,relu
4,5994.0,309.0,200.0,200.0,0.0333667000333667,1.0,0.6472491909385113,0,gte_mean,30.0,train,relu
5,5996.0,27.0,18.0,18.0,0.0030020013342228,1.0,0.6666666666666666,0,gte_mean,30.0,train,relu
6,5995.0,812.0,390.0,390.0,0.0650542118432026,1.0,0.4802955665024631,0,gte_mean,30.0,train,relu
7,5998.0,179.0,76.0,76.0,0.0126708902967655,1.0,0.4245810055865922,0,gte_mean,30.0,train,relu
8,5999.0,22.0,18.0,18.0,0.0030005000833472,1.0,0.8181818181818182,0,gte_mean,30.0,train,relu
9,5998.0,90.0,52.0,52.0,0.0086695565188396,1.0,0.5777777777777777,0,gte_mean,30.0,train,relu
all,59968.0,2289.0,1279.0,1279.0,0.0213280416221985,1.0,0.5587592835299258,0,gte_mean,30.0,train,relu
0,5997.0,334.0,153.0,153.0,0.025512756378189,1.0,0.4580838323353293,1,gte_mean,30.0,train,relu
1,5997.0,32.0,25.0,25.0,0.0041687510421877,1.0,0.78125,1,gte_mean,30.0,train,relu
2,5997.0,315.0,216.0,216.0,0.0360180090045022,1.0,0.6857142857142857,1,gte_mean,30.0,train,relu
3,5997.0,169.0,131.0,131.0,0.0218442554610638,1.0,0.7751479289940828,1,gte_mean,30.0,train,relu
4,5994.0,309.0,200.0,200.0,0.0333667000333667,1.0,0.6472491909385113,1,gte_mean,30.0,train,relu
5,5996.0,27.0,18.0,18.0,0.0030020013342228,1.0,0.6666666666666666,1,gte_mean,30.0,train,relu
