y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_and_classified,NPR,NPV,specificity,eta,subset_name,num_neurons,stage,thld
0,5997,334,224,224,0,0.0373520093380023,1.0,0.6706586826347305,0,,60,train,qth_0.75
1,5997,32,31,31,0,0.0051692512923128,1.0,0.96875,0,,60,train,qth_0.75
2,5997,315,265,265,0,0.0441887610471902,1.0,0.8412698412698413,0,,60,train,qth_0.75
3,5997,169,136,136,0,0.0226780056695014,1.0,0.8047337278106509,0,,60,train,qth_0.75
4,5994,309,276,276,0,0.046046046046046,1.0,0.8932038834951457,0,,60,train,qth_0.75
5,5996,27,18,18,0,0.0030020013342228,1.0,0.6666666666666666,0,,60,train,qth_0.75
6,5995,812,685,685,0,0.1142618849040867,1.0,0.8435960591133005,0,,60,train,qth_0.75
7,5998,179,92,92,0,0.0153384461487162,1.0,0.5139664804469274,0,,60,train,qth_0.75
8,5999,22,22,22,0,0.0036672778796466,1.0,1.0,0,,60,train,qth_0.75
9,5998,90,70,70,0,0.011670556852284,1.0,0.7777777777777778,0,,60,train,qth_0.75
all,59968,2289,1819,1819,0,0.0303328441835645,1.0,0.7946701616426387,0,,60,train,qth_0.75
0,5997,334,224,224,0,0.0373520093380023,1.0,0.6706586826347305,1,,60,train,qth_0.75
1,5997,32,31,31,0,0.0051692512923128,1.0,0.96875,1,,60,train,qth_0.75
2,5997,315,265,265,0,0.0441887610471902,1.0,0.8412698412698413,1,,60,train,qth_0.75
3,5997,169,136,136,0,0.0226780056695014,1.0,0.8047337278106509,1,,60,train,qth_0.75
4,5994,309,276,276,0,0.046046046046046,1.0,0.8932038834951457,1,,60,train,qth_0.75
5,5996,27,18,18,0,0.0030020013342228,1.0,0.6666666666666666,1,,60,train,qth_0.75
6,5995,812,685,685,0,0.1142618849040867,1.0,0.8435960591133005,1,,60,train,qth_0.75
7,5998,179,92,92,0,0.0153384461487162,1.0,0.5139664804469274,1,,60,train,qth_0.75
8,5999,22,22,22,0,0.0036672778796466,1.0,1.0,1,,60,train,qth_0.75
9,5998,90,70,70,0,0.011670556852284,1.0,0.7777777777777778,1,,60,train,qth_0.75
all,59968,2289,1819,1819,0,0.0303328441835645,1.0,0.7946701616426387,1,,60,train,qth_0.75
0,5997,334,224,224,0,0.0373520093380023,1.0,0.6706586826347305,2,,60,train,qth_0.75
1,5997,32,31,31,0,0.0051692512923128,1.0,0.96875,2,,60,train,qth_0.75
2,5997,315,265,265,0,0.0441887610471902,1.0,0.8412698412698413,2,,60,train,qth_0.75
3,5997,169,136,136,0,0.0226780056695014,1.0,0.8047337278106509,2,,60,train,qth_0.75
4,5994,309,276,276,0,0.046046046046046,1.0,0.8932038834951457,2,,60,train,qth_0.75
5,5996,27,18,18,0,0.0030020013342228,1.0,0.6666666666666666,2,,60,train,qth_0.75
6,5995,812,685,685,0,0.1142618849040867,1.0,0.8435960591133005,2,,60,train,qth_0.75
7,5998,179,92,92,0,0.0153384461487162,1.0,0.5139664804469274,2,,60,train,qth_0.75
8,5999,22,22,22,0,0.0036672778796466,1.0,1.0,2,,60,train,qth_0.75
9,5998,90,70,70,0,0.011670556852284,1.0,0.7777777777777778,2,,60,train,qth_0.75
all,59968,2289,1819,1819,0,0.0303328441835645,1.0,0.7946701616426387,2,,60,train,qth_0.75
0,5997,334,224,224,0,0.0373520093380023,1.0,0.6706586826347305,3,,60,train,qth_0.75
1,5997,32,31,31,0,0.0051692512923128,1.0,0.96875,3,,60,train,qth_0.75
2,5997,315,265,265,0,0.0441887610471902,1.0,0.8412698412698413,3,,60,train,qth_0.75
3,5997,169,136,136,0,0.0226780056695014,1.0,0.8047337278106509,3,,60,train,qth_0.75
4,5994,309,276,276,0,0.046046046046046,1.0,0.8932038834951457,3,,60,train,qth_0.75
5,5996,27,18,18,0,0.0030020013342228,1.0,0.6666666666666666,3,,60,train,qth_0.75
6,5995,812,685,685,0,0.1142618849040867,1.0,0.8435960591133005,3,,60,train,qth_0.75
7,5998,179,92,92,0,0.0153384461487162,1.0,0.5139664804469274,3,,60,train,qth_0.75
8,5999,22,22,22,0,0.0036672778796466,1.0,1.0,3,,60,train,qth_0.75
9,5998,90,70,70,0,0.011670556852284,1.0,0.7777777777777778,3,,60,train,qth_0.75
all,59968,2289,1819,1819,0,0.0303328441835645,1.0,0.7946701616426387,3,,60,train,qth_0.75
0,1000,135,97,97,0,0.097,1.0,0.7185185185185186,0,,60,test,qth_0.75
1,997,21,19,19,0,0.0190571715145436,1.0,0.9047619047619048,0,,60,test,qth_0.75
2,999,104,83,83,0,0.083083083083083,1.0,0.7980769230769231,0,,60,test,qth_0.75
3,999,73,62,62,0,0.062062062062062,1.0,0.8493150684931506,0,,60,test,qth_0.75
4,999,102,90,90,0,0.09009009009009,1.0,0.8823529411764706,0,,60,test,qth_0.75
5,997,16,11,11,0,0.0110330992978936,1.0,0.6875,0,,60,test,qth_0.75
6,999,246,202,202,0,0.2022022022022022,1.0,0.8211382113821138,0,,60,test,qth_0.75
7,999,43,25,25,0,0.025025025025025,1.0,0.5813953488372093,0,,60,test,qth_0.75
8,997,12,12,12,0,0.0120361083249749,1.0,1.0,0,,60,test,qth_0.75
9,998,27,20,20,0,0.0200400801603206,1.0,0.7407407407407407,0,,60,test,qth_0.75
all,9984,779,621,621,0,0.0621995192307692,1.0,0.7971758664955071,0,,60,test,qth_0.75
0,1000,135,97,97,0,0.097,1.0,0.7185185185185186,1,,60,test,qth_0.75
1,997,21,19,19,0,0.0190571715145436,1.0,0.9047619047619048,1,,60,test,qth_0.75
2,999,104,83,83,0,0.083083083083083,1.0,0.7980769230769231,1,,60,test,qth_0.75
3,999,73,62,62,0,0.062062062062062,1.0,0.8493150684931506,1,,60,test,qth_0.75
4,999,102,90,90,0,0.09009009009009,1.0,0.8823529411764706,1,,60,test,qth_0.75
5,997,16,11,11,0,0.0110330992978936,1.0,0.6875,1,,60,test,qth_0.75
6,999,246,202,202,0,0.2022022022022022,1.0,0.8211382113821138,1,,60,test,qth_0.75
7,999,43,25,25,0,0.025025025025025,1.0,0.5813953488372093,1,,60,test,qth_0.75
8,997,12,12,12,0,0.0120361083249749,1.0,1.0,1,,60,test,qth_0.75
9,998,27,20,20,0,0.0200400801603206,1.0,0.7407407407407407,1,,60,test,qth_0.75
all,9984,779,621,621,0,0.0621995192307692,1.0,0.7971758664955071,1,,60,test,qth_0.75
0,1000,135,97,97,0,0.097,1.0,0.7185185185185186,2,,60,test,qth_0.75
1,997,21,19,19,0,0.0190571715145436,1.0,0.9047619047619048,2,,60,test,qth_0.75
2,999,104,83,83,0,0.083083083083083,1.0,0.7980769230769231,2,,60,test,qth_0.75
3,999,73,62,62,0,0.062062062062062,1.0,0.8493150684931506,2,,60,test,qth_0.75
4,999,102,90,90,0,0.09009009009009,1.0,0.8823529411764706,2,,60,test,qth_0.75
5,997,16,11,11,0,0.0110330992978936,1.0,0.6875,2,,60,test,qth_0.75
6,999,246,202,202,0,0.2022022022022022,1.0,0.8211382113821138,2,,60,test,qth_0.75
7,999,43,25,25,0,0.025025025025025,1.0,0.5813953488372093,2,,60,test,qth_0.75
8,997,12,12,12,0,0.0120361083249749,1.0,1.0,2,,60,test,qth_0.75
9,998,27,20,20,0,0.0200400801603206,1.0,0.7407407407407407,2,,60,test,qth_0.75
all,9984,779,621,621,0,0.0621995192307692,1.0,0.7971758664955071,2,,60,test,qth_0.75
0,1000,135,97,97,0,0.097,1.0,0.7185185185185186,3,,60,test,qth_0.75
1,997,21,19,19,0,0.0190571715145436,1.0,0.9047619047619048,3,,60,test,qth_0.75
2,999,104,83,83,0,0.083083083083083,1.0,0.7980769230769231,3,,60,test,qth_0.75
3,999,73,62,62,0,0.062062062062062,1.0,0.8493150684931506,3,,60,test,qth_0.75
4,999,102,90,90,0,0.09009009009009,1.0,0.8823529411764706,3,,60,test,qth_0.75
5,997,16,11,11,0,0.0110330992978936,1.0,0.6875,3,,60,test,qth_0.75
6,999,246,202,202,0,0.2022022022022022,1.0,0.8211382113821138,3,,60,test,qth_0.75
7,999,43,25,25,0,0.025025025025025,1.0,0.5813953488372093,3,,60,test,qth_0.75
8,997,12,12,12,0,0.0120361083249749,1.0,1.0,3,,60,test,qth_0.75
9,998,27,20,20,0,0.0200400801603206,1.0,0.7407407407407407,3,,60,test,qth_0.75
all,9984,779,621,621,0,0.0621995192307692,1.0,0.7971758664955071,3,,60,test,qth_0.75
1,1000,1000,977,0,977,0.977,1.0,0.0,0,,60,evaluation,qth_0.75
all,1000,1000,977,0,977,0.977,1.0,0.0,0,,60,evaluation,qth_0.75
1,1000,1000,977,0,977,0.977,1.0,0.0,1,,60,evaluation,qth_0.75
all,1000,1000,977,0,977,0.977,1.0,0.0,1,,60,evaluation,qth_0.75
1,1000,1000,977,0,977,0.977,1.0,0.0,2,,60,evaluation,qth_0.75
all,1000,1000,977,0,977,0.977,1.0,0.0,2,,60,evaluation,qth_0.75
1,1000,1000,977,0,977,0.977,1.0,0.0,3,,60,evaluation,qth_0.75
all,1000,1000,977,0,977,0.977,1.0,0.0,3,,60,evaluation,qth_0.75
0,5997,334,75,75,0,0.0125062531265632,1.0,0.2245508982035928,0,gte_mean,30,train,qth_0.75
1,5997,32,22,22,0,0.0036685009171252,1.0,0.6875,0,gte_mean,30,train,qth_0.75
2,5997,315,65,65,0,0.0108387527096881,1.0,0.20634920634920634,0,gte_mean,30,train,qth_0.75
3,5997,169,62,62,0,0.0103385025846256,1.0,0.3668639053254438,0,gte_mean,30,train,qth_0.75
4,5994,309,63,63,0,0.0105105105105105,1.0,0.20388349514563106,0,gte_mean,30,train,qth_0.75
5,5996,27,9,9,0,0.0015010006671114,1.0,0.3333333333333333,0,gte_mean,30,train,qth_0.75
6,5995,812,222,222,0,0.0370308590492076,1.0,0.2733990147783251,0,gte_mean,30,train,qth_0.75
7,5998,179,16,16,0,0.0026675558519506,1.0,0.0893854748603352,0,gte_mean,30,train,qth_0.75
8,5999,22,14,14,0,0.0023337222870478,1.0,0.6363636363636364,0,gte_mean,30,train,qth_0.75
9,5998,90,27,27,0,0.0045015005001667,1.0,0.3,0,gte_mean,30,train,qth_0.75
all,59968,2289,575,575,0,0.0095884471718249,1.0,0.2512013979903888,0,gte_mean,30,train,qth_0.75
0,5997,334,75,75,0,0.0125062531265632,1.0,0.2245508982035928,1,gte_mean,30,train,qth_0.75
1,5997,32,22,22,0,0.0036685009171252,1.0,0.6875,1,gte_mean,30,train,qth_0.75
2,5997,315,65,65,0,0.0108387527096881,1.0,0.20634920634920634,1,gte_mean,30,train,qth_0.75
3,5997,169,62,62,0,0.0103385025846256,1.0,0.3668639053254438,1,gte_mean,30,train,qth_0.75
4,5994,309,63,63,0,0.0105105105105105,1.0,0.20388349514563106,1,gte_mean,30,train,qth_0.75
5,5996,27,9,9,0,0.0015010006671114,1.0,0.3333333333333333,1,gte_mean,30,train,qth_0.75
6,5995,812,222,222,0,0.0370308590492076,1.0,0.2733990147783251,1,gte_mean,30,train,qth_0.75
7,5998,179,16,16,0,0.0026675558519506,1.0,0.0893854748603352,1,gte_mean,30,train,qth_0.75
8,5999,22,14,14,0,0.0023337222870478,1.0,0.6363636363636364,1,gte_mean,30,train,qth_0.75
9,5998,90,27,27,0,0.0045015005001667,1.0,0.3,1,gte_mean,30,train,qth_0.75
all,59968,2289,575,575,0,0.0095884471718249,1.0,0.2512013979903888,1,gte_mean,30,train,qth_0.75
0,5997,334,75,75,0,0.0125062531265632,1.0,0.2245508982035928,2,gte_mean,30,train,qth_0.75
1,5997,32,22,22,0,0.0036685009171252,1.0,0.6875,2,gte_mean,30,train,qth_0.75
2,5997,315,65,65,0,0.0108387527096881,1.0,0.20634920634920634,2,gte_mean,30,train,qth_0.75
3,5997,169,62,62,0,0.0103385025846256,1.0,0.3668639053254438,2,gte_mean,30,train,qth_0.75
4,5994,309,63,63,0,0.0105105105105105,1.0,0.20388349514563106,2,gte_mean,30,train,qth_0.75
5,5996,27,9,9,0,0.0015010006671114,1.0,0.3333333333333333,2,gte_mean,30,train,qth_0.75
6,5995,812,222,222,0,0.0370308590492076,1.0,0.2733990147783251,2,gte_mean,30,train,qth_0.75
7,5998,179,16,16,0,0.0026675558519506,1.0,0.0893854748603352,2,gte_mean,30,train,qth_0.75
8,5999,22,14,14,0,0.0023337222870478,1.0,0.6363636363636364,2,gte_mean,30,train,qth_0.75
9,5998,90,27,27,0,0.0045015005001667,1.0,0.3,2,gte_mean,30,train,qth_0.75
all,59968,2289,575,575,0,0.0095884471718249,1.0,0.2512013979903888,2,gte_mean,30,train,qth_0.75
0,5997,334,75,75,0,0.0125062531265632,1.0,0.2245508982035928,3,gte_mean,30,train,qth_0.75
1,5997,32,22,22,0,0.0036685009171252,1.0,0.6875,3,gte_mean,30,train,qth_0.75
2,5997,315,65,65,0,0.0108387527096881,1.0,0.20634920634920634,3,gte_mean,30,train,qth_0.75
3,5997,169,62,62,0,0.0103385025846256,1.0,0.3668639053254438,3,gte_mean,30,train,qth_0.75
4,5994,309,63,63,0,0.0105105105105105,1.0,0.20388349514563106,3,gte_mean,30,train,qth_0.75
5,5996,27,9,9,0,0.0015010006671114,1.0,0.3333333333333333,3,gte_mean,30,train,qth_0.75
6,5995,812,222,222,0,0.0370308590492076,1.0,0.2733990147783251,3,gte_mean,30,train,qth_0.75
