y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_and_classified,NPR,NPV,specificity,eta,subset_name,num_neurons,stage,thld
0,5997,334,13,13,0,0.0021677505419376,1.0,0.038922155688622756,0,top_third,20,train,qth_0.75
1,5997,32,12,12,0,0.0020010005002501,1.0,0.375,0,top_third,20,train,qth_0.75
2,5997,315,11,11,0,0.0018342504585626,1.0,0.03492063492063492,0,top_third,20,train,qth_0.75
3,5997,169,14,14,0,0.0023345005836251,1.0,0.08284023668639054,0,top_third,20,train,qth_0.75
4,5994,309,13,13,0,0.0021688355021688,1.0,0.042071197411003236,0,top_third,20,train,qth_0.75
5,5996,27,3,3,0,0.0005003335557038,1.0,0.1111111111111111,0,top_third,20,train,qth_0.75
6,5995,812,35,35,0,0.0058381984987489,1.0,0.04310344827586207,0,top_third,20,train,qth_0.75
7,5998,179,3,3,0,0.0005001667222407,1.0,0.01675977653631285,0,top_third,20,train,qth_0.75
8,5999,22,8,8,0,0.0013335555925987,1.0,0.36363636363636365,0,top_third,20,train,qth_0.75
9,5998,90,4,4,0,0.0006668889629876,1.0,0.044444444444444446,0,top_third,20,train,qth_0.75
all,59968,2289,116,116,0,0.0019343649946638,1.0,0.05067715159458279,0,top_third,20,train,qth_0.75
0,5997,334,13,13,0,0.0021677505419376,1.0,0.038922155688622756,1,top_third,20,train,qth_0.75
1,5997,32,12,12,0,0.0020010005002501,1.0,0.375,1,top_third,20,train,qth_0.75
2,5997,315,11,11,0,0.0018342504585626,1.0,0.03492063492063492,1,top_third,20,train,qth_0.75
3,5997,169,14,14,0,0.0023345005836251,1.0,0.08284023668639054,1,top_third,20,train,qth_0.75
4,5994,309,13,13,0,0.0021688355021688,1.0,0.042071197411003236,1,top_third,20,train,qth_0.75
5,5996,27,3,3,0,0.0005003335557038,1.0,0.1111111111111111,1,top_third,20,train,qth_0.75
6,5995,812,35,35,0,0.0058381984987489,1.0,0.04310344827586207,1,top_third,20,train,qth_0.75
7,5998,179,3,3,0,0.0005001667222407,1.0,0.01675977653631285,1,top_third,20,train,qth_0.75
8,5999,22,8,8,0,0.0013335555925987,1.0,0.36363636363636365,1,top_third,20,train,qth_0.75
9,5998,90,4,4,0,0.0006668889629876,1.0,0.044444444444444446,1,top_third,20,train,qth_0.75
all,59968,2289,116,116,0,0.0019343649946638,1.0,0.05067715159458279,1,top_third,20,train,qth_0.75
0,5997,334,13,13,0,0.0021677505419376,1.0,0.038922155688622756,2,top_third,20,train,qth_0.75
1,5997,32,12,12,0,0.0020010005002501,1.0,0.375,2,top_third,20,train,qth_0.75
2,5997,315,11,11,0,0.0018342504585626,1.0,0.03492063492063492,2,top_third,20,train,qth_0.75
3,5997,169,14,14,0,0.0023345005836251,1.0,0.08284023668639054,2,top_third,20,train,qth_0.75
4,5994,309,13,13,0,0.0021688355021688,1.0,0.042071197411003236,2,top_third,20,train,qth_0.75
5,5996,27,3,3,0,0.0005003335557038,1.0,0.1111111111111111,2,top_third,20,train,qth_0.75
6,5995,812,35,35,0,0.0058381984987489,1.0,0.04310344827586207,2,top_third,20,train,qth_0.75
7,5998,179,3,3,0,0.0005001667222407,1.0,0.01675977653631285,2,top_third,20,train,qth_0.75
8,5999,22,8,8,0,0.0013335555925987,1.0,0.36363636363636365,2,top_third,20,train,qth_0.75
9,5998,90,4,4,0,0.0006668889629876,1.0,0.044444444444444446,2,top_third,20,train,qth_0.75
all,59968,2289,116,116,0,0.0019343649946638,1.0,0.05067715159458279,2,top_third,20,train,qth_0.75
0,5997,334,13,13,0,0.0021677505419376,1.0,0.038922155688622756,3,top_third,20,train,qth_0.75
1,5997,32,12,12,0,0.0020010005002501,1.0,0.375,3,top_third,20,train,qth_0.75
2,5997,315,11,11,0,0.0018342504585626,1.0,0.03492063492063492,3,top_third,20,train,qth_0.75
3,5997,169,14,14,0,0.0023345005836251,1.0,0.08284023668639054,3,top_third,20,train,qth_0.75
4,5994,309,13,13,0,0.0021688355021688,1.0,0.042071197411003236,3,top_third,20,train,qth_0.75
5,5996,27,3,3,0,0.0005003335557038,1.0,0.1111111111111111,3,top_third,20,train,qth_0.75
6,5995,812,35,35,0,0.0058381984987489,1.0,0.04310344827586207,3,top_third,20,train,qth_0.75
7,5998,179,3,3,0,0.0005001667222407,1.0,0.01675977653631285,3,top_third,20,train,qth_0.75
8,5999,22,8,8,0,0.0013335555925987,1.0,0.36363636363636365,3,top_third,20,train,qth_0.75
9,5998,90,4,4,0,0.0006668889629876,1.0,0.044444444444444446,3,top_third,20,train,qth_0.75
all,59968,2289,116,116,0,0.0019343649946638,1.0,0.05067715159458279,3,top_third,20,train,qth_0.75
0,1000,135,11,11,0,0.011,1.0,0.08148148148148149,0,top_third,20,test,qth_0.75
1,997,21,4,4,0,0.0040120361083249,1.0,0.19047619047619047,0,top_third,20,test,qth_0.75
2,999,104,3,3,0,0.003003003003003,1.0,0.028846153846153848,0,top_third,20,test,qth_0.75
3,999,73,4,4,0,0.004004004004004,1.0,0.0547945205479452,0,top_third,20,test,qth_0.75
4,999,102,3,3,0,0.003003003003003,1.0,0.029411764705882353,0,top_third,20,test,qth_0.75
5,997,16,2,2,0,0.0020060180541624,1.0,0.125,0,top_third,20,test,qth_0.75
6,999,246,14,14,0,0.014014014014014,1.0,0.056910569105691054,0,top_third,20,test,qth_0.75
7,999,43,1,1,0,0.001001001001001,1.0,0.023255813953488372,0,top_third,20,test,qth_0.75
8,997,12,2,2,0,0.0020060180541624,1.0,0.16666666666666666,0,top_third,20,test,qth_0.75
9,998,27,2,2,0,0.002004008016032,1.0,0.07407407407407407,0,top_third,20,test,qth_0.75
all,9984,779,46,46,0,0.0046073717948717,1.0,0.059050064184852376,0,top_third,20,test,qth_0.75
0,1000,135,11,11,0,0.011,1.0,0.08148148148148149,1,top_third,20,test,qth_0.75
1,997,21,4,4,0,0.0040120361083249,1.0,0.19047619047619047,1,top_third,20,test,qth_0.75
2,999,104,3,3,0,0.003003003003003,1.0,0.028846153846153848,1,top_third,20,test,qth_0.75
3,999,73,4,4,0,0.004004004004004,1.0,0.0547945205479452,1,top_third,20,test,qth_0.75
4,999,102,3,3,0,0.003003003003003,1.0,0.029411764705882353,1,top_third,20,test,qth_0.75
5,997,16,2,2,0,0.0020060180541624,1.0,0.125,1,top_third,20,test,qth_0.75
6,999,246,14,14,0,0.014014014014014,1.0,0.056910569105691054,1,top_third,20,test,qth_0.75
7,999,43,1,1,0,0.001001001001001,1.0,0.023255813953488372,1,top_third,20,test,qth_0.75
8,997,12,2,2,0,0.0020060180541624,1.0,0.16666666666666666,1,top_third,20,test,qth_0.75
9,998,27,2,2,0,0.002004008016032,1.0,0.07407407407407407,1,top_third,20,test,qth_0.75
all,9984,779,46,46,0,0.0046073717948717,1.0,0.059050064184852376,1,top_third,20,test,qth_0.75
0,1000,135,11,11,0,0.011,1.0,0.08148148148148149,2,top_third,20,test,qth_0.75
1,997,21,4,4,0,0.0040120361083249,1.0,0.19047619047619047,2,top_third,20,test,qth_0.75
2,999,104,3,3,0,0.003003003003003,1.0,0.028846153846153848,2,top_third,20,test,qth_0.75
3,999,73,4,4,0,0.004004004004004,1.0,0.0547945205479452,2,top_third,20,test,qth_0.75
4,999,102,3,3,0,0.003003003003003,1.0,0.029411764705882353,2,top_third,20,test,qth_0.75
5,997,16,2,2,0,0.0020060180541624,1.0,0.125,2,top_third,20,test,qth_0.75
6,999,246,14,14,0,0.014014014014014,1.0,0.056910569105691054,2,top_third,20,test,qth_0.75
7,999,43,1,1,0,0.001001001001001,1.0,0.023255813953488372,2,top_third,20,test,qth_0.75
8,997,12,2,2,0,0.0020060180541624,1.0,0.16666666666666666,2,top_third,20,test,qth_0.75
9,998,27,2,2,0,0.002004008016032,1.0,0.07407407407407407,2,top_third,20,test,qth_0.75
all,9984,779,46,46,0,0.0046073717948717,1.0,0.059050064184852376,2,top_third,20,test,qth_0.75
