thld,eta,build_time_min,size_mb,reorder_time_min,num_patterns,num_unique_patterns_%,num_reorder,num_neurons,start_time,end_time
qth_0.75,0.0,5.133,4335.3,0.0,57679.0,64.6,0.0,60.0,2023-08-11 14:17:27,2023-08-11 14:22:36
qth_0.75,1.0,223.517,4393.6,0.0,2235060.0,96.0,0.0,60.0,2023-08-11 14:41:43,2023-08-11 18:25:15
qth_0.75,2.0,111.8,4394.5,0.0,1420700.0,99.5,0.0,60.0,2023-08-11 18:33:43,2023-08-11 20:25:31
qth_0.75,3.0,84.483,4394.5,0.0,1004495.0,99.9,0.0,60.0,2023-08-11 20:32:18,2023-08-11 21:56:48
qth_0.75,0.0,0.25,4306.3,0.0,57679.0,18.7,0.0,30.0,2023-08-11 14:17:28,2023-08-11 14:17:44
qth_0.75,1.0,13.233,4309.3,0.0,323340.0,84.4,0.0,30.0,2023-08-11 14:19:39,2023-08-11 14:32:54
qth_0.75,2.0,7.533,4309.4,0.0,200719.0,95.4,0.0,30.0,2023-08-11 14:35:12,2023-08-11 14:42:45
qth_0.75,3.0,4.767,4309.9,0.0,137352.0,98.6,0.0,30.0,2023-08-11 14:45:02,2023-08-11 14:49:48
qth_0.75,0.0,0.033,4304.1,0.0,57679.0,6.2,0.0,20.0,2023-08-11 14:17:28,2023-08-11 14:17:30
qth_0.75,1.0,1.083,4305.0,0.0,71020.0,70.8,0.0,20.0,2023-08-11 14:18:13,2023-08-11 14:19:19
qth_0.75,2.0,0.617,4305.0,0.0,39422.0,88.3,0.0,20.0,2023-08-11 14:20:03,2023-08-11 14:20:41
qth_0.75,3.0,0.383,4305.0,0.0,23842.0,96.9,0.0,20.0,2023-08-11 14:21:28,2023-08-11 14:21:51
qth_0.5,0.0,11.7,4384.4,0.0,57679.0,87.8,0.0,60.0,2023-08-11 14:17:34,2023-08-11 14:29:16
qth_0.5,1.0,386.717,4464.5,0.0,3037920.0,98.5,0.0,60.0,2023-08-11 14:54:33,2023-08-11 21:21:16
qth_0.5,2.0,193.417,4471.5,0.0,1530914.0,99.7,0.0,60.0,2023-08-11 21:35:10,2023-08-12 00:48:36
qth_0.5,3.0,59.867,4475.1,0.0,789907.0,100.0,0.0,60.0,2023-08-12 00:56:31,2023-08-12 01:56:24
qth_0.5,0.0,0.783,4308.9,0.0,57679.0,45.8,0.0,30.0,2023-08-11 14:17:33,2023-08-11 14:18:21
qth_0.5,1.0,37.1,4317.7,0.0,792630.0,89.4,0.0,30.0,2023-08-11 14:21:22,2023-08-11 14:58:29
qth_0.5,2.0,14.167,4318.3,0.0,399412.0,96.7,0.0,30.0,2023-08-11 15:01:31,2023-08-11 15:15:42
qth_0.5,3.0,6.0,4318.3,0.0,201997.0,99.0,0.0,30.0,2023-08-11 15:18:16,2023-08-11 15:24:16
qth_0.5,0.0,0.133,4304.9,0.0,57679.0,18.4,0.0,20.0,2023-08-11 14:17:33,2023-08-11 14:17:42
qth_0.5,1.0,4.217,4306.0,0.0,211860.0,74.9,0.0,20.0,2023-08-11 14:18:34,2023-08-11 14:22:47
qth_0.5,2.0,2.083,4306.2,0.0,101144.0,87.3,0.0,20.0,2023-08-11 14:23:57,2023-08-11 14:26:03
qth_0.5,3.0,0.883,4306.3,0.0,46190.0,93.7,0.0,20.0,2023-08-11 14:27:13,2023-08-11 14:28:07
qth_0.25,0.0,13.317,4387.7,0.0,57679.0,97.0,0.0,60.0,2023-08-11 14:17:37,2023-08-11 14:30:56
qth_0.25,1.0,434.7,4471.6,0.0,3356940.0,99.3,0.0,60.0,2023-08-11 14:55:36,2023-08-11 22:10:19
qth_0.25,2.0,215.433,4472.9,0.0,2092855.0,99.9,0.0,60.0,2023-08-11 22:23:43,2023-08-12 01:59:09
qth_0.25,3.0,95.917,4474.3,0.0,1466929.0,100.0,0.0,60.0,2023-08-12 02:05:54,2023-08-12 03:41:50
qth_0.25,0.0,0.85,4309.0,0.0,57679.0,53.7,0.0,30.0,2023-08-11 14:17:38,2023-08-11 14:18:29
qth_0.25,1.0,39.767,4319.4,0.0,929220.0,86.6,0.0,30.0,2023-08-11 14:21:17,2023-08-11 15:01:04
qth_0.25,2.0,17.333,4319.5,0.0,564727.0,95.6,0.0,30.0,2023-08-11 15:03:52,2023-08-11 15:21:13
qth_0.25,3.0,9.517,4320.5,0.0,382122.0,98.6,0.0,30.0,2023-08-11 15:23:27,2023-08-11 15:32:58
qth_0.25,0.0,0.117,4305.0,0.0,57679.0,17.0,0.0,20.0,2023-08-11 14:17:37,2023-08-11 14:17:44
qth_0.25,1.0,3.85,4306.1,0.0,196600.0,66.9,0.0,20.0,2023-08-11 14:18:34,2023-08-11 14:22:26
qth_0.25,2.0,2.15,4306.6,0.0,109183.0,84.6,0.0,20.0,2023-08-11 14:23:33,2023-08-11 14:25:42
qth_0.25,3.0,1.133,4306.6,0.0,64565.0,93.1,0.0,20.0,2023-08-11 14:26:47,2023-08-11 14:27:55
relu,0.0,8.883,4374.7,0.0,57679.0,77.8,0.0,60.0,2023-08-11 14:17:44,2023-08-11 14:26:37
relu,1.0,321.8,4401.6,0.0,2691240.0,97.9,0.0,60.0,2023-08-11 14:48:20,2023-08-11 20:10:09
relu,2.0,158.65,4404.0,0.0,1390779.0,99.7,0.0,60.0,2023-08-11 20:19:03,2023-08-11 22:57:42
relu,3.0,77.283,4451.1,0.0,746598.0,99.9,0.0,60.0,2023-08-11 23:09:45,2023-08-12 00:27:03
relu,0.0,0.817,4308.4,0.0,57679.0,35.3,0.0,30.0,2023-08-11 14:24:14,2023-08-11 14:25:04
relu,1.0,27.133,4314.6,0.0,611220.0,88.3,0.0,30.0,2023-08-11 14:28:19,2023-08-11 14:55:28
relu,2.0,10.883,4315.0,0.0,308772.0,96.5,0.0,30.0,2023-08-11 14:58:11,2023-08-11 15:09:05
relu,3.0,4.817,4315.2,0.0,158593.0,99.0,0.0,30.0,2023-08-11 15:11:22,2023-08-11 15:16:11
relu,0.0,0.117,4304.9,0.0,57679.0,12.5,0.0,20.0,2023-08-11 14:30:24,2023-08-11 14:30:31
relu,1.0,3.233,4305.9,0.0,144680.0,75.3,0.0,20.0,2023-08-11 14:31:36,2023-08-11 14:34:51
relu,2.0,1.333,4306.2,0.0,67871.0,87.9,0.0,20.0,2023-08-11 14:35:51,2023-08-11 14:37:12
relu,3.0,0.55,4306.2,0.0,30500.0,94.2,0.0,20.0,2023-08-11 14:38:13,2023-08-11 14:38:46
mean,0.0,9.667,4344.0,0.0,57679.0,74.9,0.0,60.0,2023-08-11 14:30:49,2023-08-11 14:40:30
mean,1.0,304.067,4398.8,0.0,2592900.0,97.7,0.0,60.0,2023-08-11 15:02:30,2023-08-11 20:06:34
mean,2.0,150.567,4400.1,0.0,1339336.0,99.6,0.0,60.0,2023-08-11 20:15:22,2023-08-11 22:45:57
mean,3.0,79.033,4403.2,0.0,719247.0,100.0,0.0,60.0,2023-08-11 22:57:56,2023-08-12 00:16:59
mean,0.0,0.767,4308.5,0.0,57679.0,33.6,0.0,30.0,2023-08-11 14:41:15,2023-08-11 14:42:02
mean,1.0,24.217,4314.2,0.0,581670.0,88.6,0.0,30.0,2023-08-11 14:45:16,2023-08-11 15:09:29
mean,2.0,9.317,4314.9,0.0,297236.0,96.6,0.0,30.0,2023-08-11 15:11:45,2023-08-11 15:21:04
mean,3.0,4.233,4314.9,0.0,152795.0,99.0,0.0,30.0,2023-08-11 15:23:06,2023-08-11 15:27:21
mean,0.0,0.117,4304.9,0.0,57679.0,13.6,0.0,20.0,2023-08-11 14:53:12,2023-08-11 14:53:20
mean,1.0,3.267,4306.2,0.0,157080.0,76.3,0.0,20.0,2023-08-11 14:54:24,2023-08-11 14:57:41
mean,2.0,1.35,4306.2,0.0,73939.0,88.2,0.0,20.0,2023-08-11 14:58:37,2023-08-11 14:59:58
mean,3.0,0.533,4306.2,0.0,32813.0,94.1,0.0,20.0,2023-08-11 15:00:52,2023-08-11 15:01:25
