y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_%,unrecognized_and_misclassified_%,unrecognized_misclassified_%,eta,subset_name,num_neurons,stage,thld
0,5997.0,334.0,300.0,300.0,0.0500250125062531,1.0,0.8982035928143712,0,,60.0,train,mean
1,5997.0,32.0,30.0,30.0,0.0050025012506253,1.0,0.9375,0,,60.0,train,mean
2,5997.0,315.0,306.0,306.0,0.0510255127563781,1.0,0.9714285714285714,0,,60.0,train,mean
3,5997.0,169.0,166.0,166.0,0.0276805069201267,1.0,0.9822485207100592,0,,60.0,train,mean
4,5994.0,309.0,300.0,300.0,0.05005005005005,1.0,0.970873786407767,0,,60.0,train,mean
5,5996.0,27.0,26.0,26.0,0.0043362241494329,1.0,0.9629629629629628,0,,60.0,train,mean
6,5995.0,812.0,727.0,727.0,0.1212677231025854,1.0,0.895320197044335,0,,60.0,train,mean
7,5998.0,179.0,168.0,168.0,0.0280093364454818,1.0,0.9385474860335196,0,,60.0,train,mean
8,5999.0,22.0,22.0,22.0,0.0036672778796466,1.0,1.0,0,,60.0,train,mean
9,5998.0,90.0,85.0,85.0,0.0141713904634878,1.0,0.9444444444444444,0,,60.0,train,mean
all,59968.0,2289.0,2130.0,2130.0,0.0355189434364994,1.0,0.9305373525557012,0,,60.0,train,mean
0,5997.0,334.0,300.0,300.0,0.0500250125062531,1.0,0.8982035928143712,1,,60.0,train,mean
1,5997.0,32.0,30.0,30.0,0.0050025012506253,1.0,0.9375,1,,60.0,train,mean
2,5997.0,315.0,306.0,306.0,0.0510255127563781,1.0,0.9714285714285714,1,,60.0,train,mean
3,5997.0,169.0,166.0,166.0,0.0276805069201267,1.0,0.9822485207100592,1,,60.0,train,mean
4,5994.0,309.0,300.0,300.0,0.05005005005005,1.0,0.970873786407767,1,,60.0,train,mean
5,5996.0,27.0,26.0,26.0,0.0043362241494329,1.0,0.9629629629629628,1,,60.0,train,mean
6,5995.0,812.0,727.0,727.0,0.1212677231025854,1.0,0.895320197044335,1,,60.0,train,mean
7,5998.0,179.0,168.0,168.0,0.0280093364454818,1.0,0.9385474860335196,1,,60.0,train,mean
8,5999.0,22.0,22.0,22.0,0.0036672778796466,1.0,1.0,1,,60.0,train,mean
9,5998.0,90.0,85.0,85.0,0.0141713904634878,1.0,0.9444444444444444,1,,60.0,train,mean
all,59968.0,2289.0,2130.0,2130.0,0.0355189434364994,1.0,0.9305373525557012,1,,60.0,train,mean
0,5997.0,334.0,300.0,300.0,0.0500250125062531,1.0,0.8982035928143712,2,,60.0,train,mean
1,5997.0,32.0,30.0,30.0,0.0050025012506253,1.0,0.9375,2,,60.0,train,mean
2,5997.0,315.0,306.0,306.0,0.0510255127563781,1.0,0.9714285714285714,2,,60.0,train,mean
3,5997.0,169.0,166.0,166.0,0.0276805069201267,1.0,0.9822485207100592,2,,60.0,train,mean
4,5994.0,309.0,300.0,300.0,0.05005005005005,1.0,0.970873786407767,2,,60.0,train,mean
5,5996.0,27.0,26.0,26.0,0.0043362241494329,1.0,0.9629629629629628,2,,60.0,train,mean
6,5995.0,812.0,727.0,727.0,0.1212677231025854,1.0,0.895320197044335,2,,60.0,train,mean
7,5998.0,179.0,168.0,168.0,0.0280093364454818,1.0,0.9385474860335196,2,,60.0,train,mean
8,5999.0,22.0,22.0,22.0,0.0036672778796466,1.0,1.0,2,,60.0,train,mean
9,5998.0,90.0,85.0,85.0,0.0141713904634878,1.0,0.9444444444444444,2,,60.0,train,mean
all,59968.0,2289.0,2130.0,2130.0,0.0355189434364994,1.0,0.9305373525557012,2,,60.0,train,mean
0,5997.0,334.0,300.0,300.0,0.0500250125062531,1.0,0.8982035928143712,3,,60.0,train,mean
1,5997.0,32.0,30.0,30.0,0.0050025012506253,1.0,0.9375,3,,60.0,train,mean
2,5997.0,315.0,306.0,306.0,0.0510255127563781,1.0,0.9714285714285714,3,,60.0,train,mean
3,5997.0,169.0,166.0,166.0,0.0276805069201267,1.0,0.9822485207100592,3,,60.0,train,mean
4,5994.0,309.0,300.0,300.0,0.05005005005005,1.0,0.970873786407767,3,,60.0,train,mean
5,5996.0,27.0,26.0,26.0,0.0043362241494329,1.0,0.9629629629629628,3,,60.0,train,mean
6,5995.0,812.0,727.0,727.0,0.1212677231025854,1.0,0.895320197044335,3,,60.0,train,mean
7,5998.0,179.0,168.0,168.0,0.0280093364454818,1.0,0.9385474860335196,3,,60.0,train,mean
8,5999.0,22.0,22.0,22.0,0.0036672778796466,1.0,1.0,3,,60.0,train,mean
9,5998.0,90.0,85.0,85.0,0.0141713904634878,1.0,0.9444444444444444,3,,60.0,train,mean
all,59968.0,2289.0,2130.0,2130.0,0.0355189434364994,1.0,0.9305373525557012,3,,60.0,train,mean
0,1000.0,135.0,655.0,125.0,0.655,0.1908396946564885,0.925925925925926,0,,60.0,test,mean
1,997.0,21.0,361.0,18.0,0.362086258776329,0.0498614958448753,0.8571428571428571,0,,60.0,test,mean
2,999.0,104.0,782.0,104.0,0.7827827827827828,0.1329923273657289,1.0,0,,60.0,test,mean
3,999.0,73.0,699.0,73.0,0.6996996996996997,0.1044349070100143,1.0,0,,60.0,test,mean
4,999.0,102.0,827.0,96.0,0.8278278278278278,0.1160822249093107,0.9411764705882352,0,,60.0,test,mean
5,997.0,16.0,842.0,15.0,0.8445336008024072,0.0178147268408551,0.9375,0,,60.0,test,mean
6,999.0,246.0,834.0,220.0,0.8348348348348348,0.2637889688249401,0.8943089430894309,0,,60.0,test,mean
7,999.0,43.0,398.0,39.0,0.3983983983983984,0.0979899497487437,0.9069767441860463,0,,60.0,test,mean
8,997.0,12.0,818.0,12.0,0.8204613841524574,0.0146699266503667,1.0,0,,60.0,test,mean
9,998.0,27.0,685.0,26.0,0.6863727454909819,0.037956204379562,0.9629629629629628,0,,60.0,test,mean
all,9984.0,779.0,6901.0,728.0,0.6912059294871795,0.1054919576872917,0.9345314505776636,0,,60.0,test,mean
0,1000.0,135.0,655.0,125.0,0.655,0.1908396946564885,0.925925925925926,1,,60.0,test,mean
1,997.0,21.0,361.0,18.0,0.362086258776329,0.0498614958448753,0.8571428571428571,1,,60.0,test,mean
2,999.0,104.0,782.0,104.0,0.7827827827827828,0.1329923273657289,1.0,1,,60.0,test,mean
3,999.0,73.0,699.0,73.0,0.6996996996996997,0.1044349070100143,1.0,1,,60.0,test,mean
4,999.0,102.0,827.0,96.0,0.8278278278278278,0.1160822249093107,0.9411764705882352,1,,60.0,test,mean
5,997.0,16.0,842.0,15.0,0.8445336008024072,0.0178147268408551,0.9375,1,,60.0,test,mean
6,999.0,246.0,834.0,220.0,0.8348348348348348,0.2637889688249401,0.8943089430894309,1,,60.0,test,mean
7,999.0,43.0,398.0,39.0,0.3983983983983984,0.0979899497487437,0.9069767441860463,1,,60.0,test,mean
8,997.0,12.0,818.0,12.0,0.8204613841524574,0.0146699266503667,1.0,1,,60.0,test,mean
9,998.0,27.0,685.0,26.0,0.6863727454909819,0.037956204379562,0.9629629629629628,1,,60.0,test,mean
all,9984.0,779.0,6901.0,728.0,0.6912059294871795,0.1054919576872917,0.9345314505776636,1,,60.0,test,mean
0,1000.0,135.0,655.0,125.0,0.655,0.1908396946564885,0.925925925925926,2,,60.0,test,mean
1,997.0,21.0,361.0,18.0,0.362086258776329,0.0498614958448753,0.8571428571428571,2,,60.0,test,mean
2,999.0,104.0,782.0,104.0,0.7827827827827828,0.1329923273657289,1.0,2,,60.0,test,mean
3,999.0,73.0,699.0,73.0,0.6996996996996997,0.1044349070100143,1.0,2,,60.0,test,mean
4,999.0,102.0,827.0,96.0,0.8278278278278278,0.1160822249093107,0.9411764705882352,2,,60.0,test,mean
5,997.0,16.0,842.0,15.0,0.8445336008024072,0.0178147268408551,0.9375,2,,60.0,test,mean
6,999.0,246.0,834.0,220.0,0.8348348348348348,0.2637889688249401,0.8943089430894309,2,,60.0,test,mean
7,999.0,43.0,398.0,39.0,0.3983983983983984,0.0979899497487437,0.9069767441860463,2,,60.0,test,mean
8,997.0,12.0,818.0,12.0,0.8204613841524574,0.0146699266503667,1.0,2,,60.0,test,mean
9,998.0,27.0,685.0,26.0,0.6863727454909819,0.037956204379562,0.9629629629629628,2,,60.0,test,mean
all,9984.0,779.0,6901.0,728.0,0.6912059294871795,0.1054919576872917,0.9345314505776636,2,,60.0,test,mean
0,1000.0,135.0,655.0,125.0,0.655,0.1908396946564885,0.925925925925926,3,,60.0,test,mean
1,997.0,21.0,361.0,18.0,0.362086258776329,0.0498614958448753,0.8571428571428571,3,,60.0,test,mean
2,999.0,104.0,782.0,104.0,0.7827827827827828,0.1329923273657289,1.0,3,,60.0,test,mean
3,999.0,73.0,699.0,73.0,0.6996996996996997,0.1044349070100143,1.0,3,,60.0,test,mean
4,999.0,102.0,827.0,96.0,0.8278278278278278,0.1160822249093107,0.9411764705882352,3,,60.0,test,mean
