y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_%,unrecognized_and_misclassified_%,unrecognized_misclassified_%,eta,subset_name,num_neurons,stage,thld
0,5997.0,334.0,327.0,327.0,0.0545272636318159,1.0,0.9790419161676648,0,,60.0,train,qth_0.25
1,5997.0,32.0,30.0,30.0,0.0050025012506253,1.0,0.9375,0,,60.0,train,qth_0.25
2,5997.0,315.0,307.0,307.0,0.0511922627980657,1.0,0.9746031746031746,0,,60.0,train,qth_0.25
3,5997.0,169.0,168.0,168.0,0.0280140070035017,1.0,0.9940828402366864,0,,60.0,train,qth_0.25
4,5994.0,309.0,303.0,303.0,0.0505505505505505,1.0,0.9805825242718448,0,,60.0,train,qth_0.25
5,5996.0,27.0,27.0,27.0,0.0045030020013342,1.0,1.0,0,,60.0,train,qth_0.25
6,5995.0,812.0,786.0,786.0,0.1311092577147623,1.0,0.9679802955665024,0,,60.0,train,qth_0.25
7,5998.0,179.0,176.0,176.0,0.0293431143714571,1.0,0.9832402234636872,0,,60.0,train,qth_0.25
8,5999.0,22.0,22.0,22.0,0.0036672778796466,1.0,1.0,0,,60.0,train,qth_0.25
9,5998.0,90.0,89.0,89.0,0.0148382794264754,1.0,0.9888888888888888,0,,60.0,train,qth_0.25
all,59968.0,2289.0,2235.0,2235.0,0.0372698772678762,1.0,0.9764089121887288,0,,60.0,train,qth_0.25
0,5997.0,334.0,327.0,327.0,0.0545272636318159,1.0,0.9790419161676648,1,,60.0,train,qth_0.25
1,5997.0,32.0,30.0,30.0,0.0050025012506253,1.0,0.9375,1,,60.0,train,qth_0.25
2,5997.0,315.0,307.0,307.0,0.0511922627980657,1.0,0.9746031746031746,1,,60.0,train,qth_0.25
3,5997.0,169.0,168.0,168.0,0.0280140070035017,1.0,0.9940828402366864,1,,60.0,train,qth_0.25
4,5994.0,309.0,303.0,303.0,0.0505505505505505,1.0,0.9805825242718448,1,,60.0,train,qth_0.25
5,5996.0,27.0,27.0,27.0,0.0045030020013342,1.0,1.0,1,,60.0,train,qth_0.25
6,5995.0,812.0,786.0,786.0,0.1311092577147623,1.0,0.9679802955665024,1,,60.0,train,qth_0.25
7,5998.0,179.0,176.0,176.0,0.0293431143714571,1.0,0.9832402234636872,1,,60.0,train,qth_0.25
8,5999.0,22.0,22.0,22.0,0.0036672778796466,1.0,1.0,1,,60.0,train,qth_0.25
9,5998.0,90.0,89.0,89.0,0.0148382794264754,1.0,0.9888888888888888,1,,60.0,train,qth_0.25
all,59968.0,2289.0,2235.0,2235.0,0.0372698772678762,1.0,0.9764089121887288,1,,60.0,train,qth_0.25
0,5997.0,334.0,327.0,327.0,0.0545272636318159,1.0,0.9790419161676648,2,,60.0,train,qth_0.25
1,5997.0,32.0,30.0,30.0,0.0050025012506253,1.0,0.9375,2,,60.0,train,qth_0.25
2,5997.0,315.0,307.0,307.0,0.0511922627980657,1.0,0.9746031746031746,2,,60.0,train,qth_0.25
3,5997.0,169.0,168.0,168.0,0.0280140070035017,1.0,0.9940828402366864,2,,60.0,train,qth_0.25
4,5994.0,309.0,303.0,303.0,0.0505505505505505,1.0,0.9805825242718448,2,,60.0,train,qth_0.25
5,5996.0,27.0,27.0,27.0,0.0045030020013342,1.0,1.0,2,,60.0,train,qth_0.25
6,5995.0,812.0,786.0,786.0,0.1311092577147623,1.0,0.9679802955665024,2,,60.0,train,qth_0.25
7,5998.0,179.0,176.0,176.0,0.0293431143714571,1.0,0.9832402234636872,2,,60.0,train,qth_0.25
8,5999.0,22.0,22.0,22.0,0.0036672778796466,1.0,1.0,2,,60.0,train,qth_0.25
9,5998.0,90.0,89.0,89.0,0.0148382794264754,1.0,0.9888888888888888,2,,60.0,train,qth_0.25
all,59968.0,2289.0,2235.0,2235.0,0.0372698772678762,1.0,0.9764089121887288,2,,60.0,train,qth_0.25
0,5997.0,334.0,327.0,327.0,0.0545272636318159,1.0,0.9790419161676648,3,,60.0,train,qth_0.25
1,5997.0,32.0,30.0,30.0,0.0050025012506253,1.0,0.9375,3,,60.0,train,qth_0.25
2,5997.0,315.0,307.0,307.0,0.0511922627980657,1.0,0.9746031746031746,3,,60.0,train,qth_0.25
3,5997.0,169.0,168.0,168.0,0.0280140070035017,1.0,0.9940828402366864,3,,60.0,train,qth_0.25
4,5994.0,309.0,303.0,303.0,0.0505505505505505,1.0,0.9805825242718448,3,,60.0,train,qth_0.25
5,5996.0,27.0,27.0,27.0,0.0045030020013342,1.0,1.0,3,,60.0,train,qth_0.25
6,5995.0,812.0,786.0,786.0,0.1311092577147623,1.0,0.9679802955665024,3,,60.0,train,qth_0.25
7,5998.0,179.0,176.0,176.0,0.0293431143714571,1.0,0.9832402234636872,3,,60.0,train,qth_0.25
8,5999.0,22.0,22.0,22.0,0.0036672778796466,1.0,1.0,3,,60.0,train,qth_0.25
9,5998.0,90.0,89.0,89.0,0.0148382794264754,1.0,0.9888888888888888,3,,60.0,train,qth_0.25
all,59968.0,2289.0,2235.0,2235.0,0.0372698772678762,1.0,0.9764089121887288,3,,60.0,train,qth_0.25
0,1000.0,135.0,951.0,133.0,0.951,0.1398527865404837,0.9851851851851852,0,,60.0,test,qth_0.25
1,997.0,21.0,910.0,20.0,0.9127382146439318,0.0219780219780219,0.9523809523809524,0,,60.0,test,qth_0.25
2,999.0,104.0,971.0,99.0,0.971971971971972,0.101956745623069,0.9519230769230768,0,,60.0,test,qth_0.25
3,999.0,73.0,912.0,69.0,0.9129129129129128,0.0756578947368421,0.9452054794520548,0,,60.0,test,qth_0.25
4,999.0,102.0,977.0,101.0,0.977977977977978,0.1033776867963152,0.9901960784313726,0,,60.0,test,qth_0.25
5,997.0,16.0,971.0,16.0,0.9739217652958876,0.0164778578784757,1.0,0,,60.0,test,qth_0.25
6,999.0,246.0,976.0,241.0,0.9769769769769768,0.2469262295081967,0.9796747967479674,0,,60.0,test,qth_0.25
7,999.0,43.0,922.0,43.0,0.9229229229229228,0.0466377440347071,1.0,0,,60.0,test,qth_0.25
8,997.0,12.0,966.0,11.0,0.9689067201604814,0.0113871635610766,0.9166666666666666,0,,60.0,test,qth_0.25
9,998.0,27.0,925.0,24.0,0.9268537074148296,0.0259459459459459,0.8888888888888888,0,,60.0,test,qth_0.25
all,9984.0,779.0,9481.0,757.0,0.9496193910256412,0.0798438983229617,0.9717586649550706,0,,60.0,test,qth_0.25
0,1000.0,135.0,951.0,133.0,0.951,0.1398527865404837,0.9851851851851852,1,,60.0,test,qth_0.25
1,997.0,21.0,910.0,20.0,0.9127382146439318,0.0219780219780219,0.9523809523809524,1,,60.0,test,qth_0.25
2,999.0,104.0,971.0,99.0,0.971971971971972,0.101956745623069,0.9519230769230768,1,,60.0,test,qth_0.25
3,999.0,73.0,912.0,69.0,0.9129129129129128,0.0756578947368421,0.9452054794520548,1,,60.0,test,qth_0.25
4,999.0,102.0,977.0,101.0,0.977977977977978,0.1033776867963152,0.9901960784313726,1,,60.0,test,qth_0.25
5,997.0,16.0,971.0,16.0,0.9739217652958876,0.0164778578784757,1.0,1,,60.0,test,qth_0.25
6,999.0,246.0,976.0,241.0,0.9769769769769768,0.2469262295081967,0.9796747967479674,1,,60.0,test,qth_0.25
7,999.0,43.0,922.0,43.0,0.9229229229229228,0.0466377440347071,1.0,1,,60.0,test,qth_0.25
8,997.0,12.0,966.0,11.0,0.9689067201604814,0.0113871635610766,0.9166666666666666,1,,60.0,test,qth_0.25
9,998.0,27.0,925.0,24.0,0.9268537074148296,0.0259459459459459,0.8888888888888888,1,,60.0,test,qth_0.25
all,9984.0,779.0,9481.0,757.0,0.9496193910256412,0.0798438983229617,0.9717586649550706,1,,60.0,test,qth_0.25
0,1000.0,135.0,951.0,133.0,0.951,0.1398527865404837,0.9851851851851852,2,,60.0,test,qth_0.25
1,997.0,21.0,910.0,20.0,0.9127382146439318,0.0219780219780219,0.9523809523809524,2,,60.0,test,qth_0.25
2,999.0,104.0,971.0,99.0,0.971971971971972,0.101956745623069,0.9519230769230768,2,,60.0,test,qth_0.25
3,999.0,73.0,912.0,69.0,0.9129129129129128,0.0756578947368421,0.9452054794520548,2,,60.0,test,qth_0.25
4,999.0,102.0,977.0,101.0,0.977977977977978,0.1033776867963152,0.9901960784313726,2,,60.0,test,qth_0.25
5,997.0,16.0,971.0,16.0,0.9739217652958876,0.0164778578784757,1.0,2,,60.0,test,qth_0.25
6,999.0,246.0,976.0,241.0,0.9769769769769768,0.2469262295081967,0.9796747967479674,2,,60.0,test,qth_0.25
7,999.0,43.0,922.0,43.0,0.9229229229229228,0.0466377440347071,1.0,2,,60.0,test,qth_0.25
8,997.0,12.0,966.0,11.0,0.9689067201604814,0.0113871635610766,0.9166666666666666,2,,60.0,test,qth_0.25
9,998.0,27.0,925.0,24.0,0.9268537074148296,0.0259459459459459,0.8888888888888888,2,,60.0,test,qth_0.25
all,9984.0,779.0,9481.0,757.0,0.9496193910256412,0.0798438983229617,0.9717586649550706,2,,60.0,test,qth_0.25
0,1000.0,135.0,951.0,133.0,0.951,0.1398527865404837,0.9851851851851852,3,,60.0,test,qth_0.25
1,997.0,21.0,910.0,20.0,0.9127382146439318,0.0219780219780219,0.9523809523809524,3,,60.0,test,qth_0.25
2,999.0,104.0,971.0,99.0,0.971971971971972,0.101956745623069,0.9519230769230768,3,,60.0,test,qth_0.25
3,999.0,73.0,912.0,69.0,0.9129129129129128,0.0756578947368421,0.9452054794520548,3,,60.0,test,qth_0.25
4,999.0,102.0,977.0,101.0,0.977977977977978,0.1033776867963152,0.9901960784313726,3,,60.0,test,qth_0.25
5,997.0,16.0,971.0,16.0,0.9739217652958876,0.0164778578784757,1.0,3,,60.0,test,qth_0.25
6,999.0,246.0,976.0,241.0,0.9769769769769768,0.2469262295081967,0.9796747967479674,3,,60.0,test,qth_0.25
7,999.0,43.0,922.0,43.0,0.9229229229229228,0.0466377440347071,1.0,3,,60.0,test,qth_0.25
8,997.0,12.0,966.0,11.0,0.9689067201604814,0.0113871635610766,0.9166666666666666,3,,60.0,test,qth_0.25
9,998.0,27.0,925.0,24.0,0.9268537074148296,0.0259459459459459,0.8888888888888888,3,,60.0,test,qth_0.25
all,9984.0,779.0,9481.0,757.0,0.9496193910256412,0.0798438983229617,0.9717586649550706,3,,60.0,test,qth_0.25
1,1000.0,0.0,971.0,0.0,0.971,1.0,0.0,0,,60.0,evaluation,qth_0.25
all,1000.0,0.0,971.0,0.0,0.971,1.0,0.0,0,,60.0,evaluation,qth_0.25
1,1000.0,0.0,971.0,0.0,0.971,1.0,0.0,1,,60.0,evaluation,qth_0.25
all,1000.0,0.0,971.0,0.0,0.971,1.0,0.0,1,,60.0,evaluation,qth_0.25
1,1000.0,0.0,971.0,0.0,0.971,1.0,0.0,2,,60.0,evaluation,qth_0.25
