y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_and_classified,NPR,NPV,specificity,eta,subset_name,num_neurons,stage,thld
0,5997,334,301,301,0,0.0501917625479406,1.0,0.9011976047904192,0,,60,train,relu
1,5997,32,32,32,0,0.0053360013340003,1.0,1.0,0,,60,train,relu
2,5997,315,306,306,0,0.0510255127563781,1.0,0.9714285714285714,0,,60,train,relu
3,5997,169,168,168,0,0.0280140070035017,1.0,0.9940828402366864,0,,60,train,relu
4,5994,309,303,303,0,0.0505505505505505,1.0,0.9805825242718447,0,,60,train,relu
5,5996,27,25,25,0,0.0041694462975316,1.0,0.9259259259259259,0,,60,train,relu
6,5995,812,729,729,0,0.1216013344453711,1.0,0.8977832512315271,0,,60,train,relu
7,5998,179,165,165,0,0.027509169723241,1.0,0.9217877094972067,0,,60,train,relu
8,5999,22,22,22,0,0.0036672778796466,1.0,1.0,0,,60,train,relu
9,5998,90,87,87,0,0.0145048349449816,1.0,0.9666666666666667,0,,60,train,relu
all,59968,2289,2138,2138,0,0.03565234791889,1.0,0.9340323285277413,0,,60,train,relu
0,5997,334,301,301,0,0.0501917625479406,1.0,0.9011976047904192,1,,60,train,relu
1,5997,32,32,32,0,0.0053360013340003,1.0,1.0,1,,60,train,relu
2,5997,315,306,306,0,0.0510255127563781,1.0,0.9714285714285714,1,,60,train,relu
3,5997,169,168,168,0,0.0280140070035017,1.0,0.9940828402366864,1,,60,train,relu
4,5994,309,303,303,0,0.0505505505505505,1.0,0.9805825242718447,1,,60,train,relu
5,5996,27,25,25,0,0.0041694462975316,1.0,0.9259259259259259,1,,60,train,relu
6,5995,812,729,729,0,0.1216013344453711,1.0,0.8977832512315271,1,,60,train,relu
7,5998,179,165,165,0,0.027509169723241,1.0,0.9217877094972067,1,,60,train,relu
8,5999,22,22,22,0,0.0036672778796466,1.0,1.0,1,,60,train,relu
9,5998,90,87,87,0,0.0145048349449816,1.0,0.9666666666666667,1,,60,train,relu
all,59968,2289,2138,2138,0,0.03565234791889,1.0,0.9340323285277413,1,,60,train,relu
0,5997,334,301,301,0,0.0501917625479406,1.0,0.9011976047904192,2,,60,train,relu
1,5997,32,32,32,0,0.0053360013340003,1.0,1.0,2,,60,train,relu
2,5997,315,306,306,0,0.0510255127563781,1.0,0.9714285714285714,2,,60,train,relu
3,5997,169,168,168,0,0.0280140070035017,1.0,0.9940828402366864,2,,60,train,relu
4,5994,309,303,303,0,0.0505505505505505,1.0,0.9805825242718447,2,,60,train,relu
5,5996,27,25,25,0,0.0041694462975316,1.0,0.9259259259259259,2,,60,train,relu
