y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_and_classified,NPR,NPV,specificity,eta,subset_name,num_neurons,stage,thld
0,5997,334,80,80,0,0.0133400033350008,1.0,0.23952095808383234,0,gte_mean,30,train,qth_0.75
1,5997,32,22,22,0,0.0036685009171252,1.0,0.6875,0,gte_mean,30,train,qth_0.75
2,5997,315,70,70,0,0.0116725029181257,1.0,0.2222222222222222,0,gte_mean,30,train,qth_0.75
3,5997,169,64,64,0,0.0106720026680006,1.0,0.378698224852071,0,gte_mean,30,train,qth_0.75
4,5994,309,68,68,0,0.0113446780113446,1.0,0.22006472491909385,0,gte_mean,30,train,qth_0.75
5,5996,27,10,10,0,0.0016677785190126,1.0,0.37037037037037035,0,gte_mean,30,train,qth_0.75
6,5995,812,244,244,0,0.0407005838198498,1.0,0.30049261083743845,0,gte_mean,30,train,qth_0.75
7,5998,179,18,18,0,0.0030010003334444,1.0,0.1005586592178771,0,gte_mean,30,train,qth_0.75
8,5999,22,13,13,0,0.0021670278379729,1.0,0.5909090909090909,0,gte_mean,30,train,qth_0.75
9,5998,90,28,28,0,0.0046682227409136,1.0,0.3111111111111111,0,gte_mean,30,train,qth_0.75
all,59968,2289,617,617,0,0.0102888207043756,1.0,0.26955002184359983,0,gte_mean,30,train,qth_0.75
0,5997,334,80,80,0,0.0133400033350008,1.0,0.23952095808383234,1,gte_mean,30,train,qth_0.75
1,5997,32,22,22,0,0.0036685009171252,1.0,0.6875,1,gte_mean,30,train,qth_0.75
2,5997,315,70,70,0,0.0116725029181257,1.0,0.2222222222222222,1,gte_mean,30,train,qth_0.75
3,5997,169,64,64,0,0.0106720026680006,1.0,0.378698224852071,1,gte_mean,30,train,qth_0.75
4,5994,309,68,68,0,0.0113446780113446,1.0,0.22006472491909385,1,gte_mean,30,train,qth_0.75
5,5996,27,10,10,0,0.0016677785190126,1.0,0.37037037037037035,1,gte_mean,30,train,qth_0.75
6,5995,812,244,244,0,0.0407005838198498,1.0,0.30049261083743845,1,gte_mean,30,train,qth_0.75
7,5998,179,18,18,0,0.0030010003334444,1.0,0.1005586592178771,1,gte_mean,30,train,qth_0.75
8,5999,22,13,13,0,0.0021670278379729,1.0,0.5909090909090909,1,gte_mean,30,train,qth_0.75
9,5998,90,28,28,0,0.0046682227409136,1.0,0.3111111111111111,1,gte_mean,30,train,qth_0.75
all,59968,2289,617,617,0,0.0102888207043756,1.0,0.26955002184359983,1,gte_mean,30,train,qth_0.75
0,5997,334,80,80,0,0.0133400033350008,1.0,0.23952095808383234,2,gte_mean,30,train,qth_0.75
1,5997,32,22,22,0,0.0036685009171252,1.0,0.6875,2,gte_mean,30,train,qth_0.75
2,5997,315,70,70,0,0.0116725029181257,1.0,0.2222222222222222,2,gte_mean,30,train,qth_0.75
3,5997,169,64,64,0,0.0106720026680006,1.0,0.378698224852071,2,gte_mean,30,train,qth_0.75
4,5994,309,68,68,0,0.0113446780113446,1.0,0.22006472491909385,2,gte_mean,30,train,qth_0.75
5,5996,27,10,10,0,0.0016677785190126,1.0,0.37037037037037035,2,gte_mean,30,train,qth_0.75
6,5995,812,244,244,0,0.0407005838198498,1.0,0.30049261083743845,2,gte_mean,30,train,qth_0.75
7,5998,179,18,18,0,0.0030010003334444,1.0,0.1005586592178771,2,gte_mean,30,train,qth_0.75
8,5999,22,13,13,0,0.0021670278379729,1.0,0.5909090909090909,2,gte_mean,30,train,qth_0.75
9,5998,90,28,28,0,0.0046682227409136,1.0,0.3111111111111111,2,gte_mean,30,train,qth_0.75
all,59968,2289,617,617,0,0.0102888207043756,1.0,0.26955002184359983,2,gte_mean,30,train,qth_0.75
0,5997,334,80,80,0,0.0133400033350008,1.0,0.23952095808383234,3,gte_mean,30,train,qth_0.75
1,5997,32,22,22,0,0.0036685009171252,1.0,0.6875,3,gte_mean,30,train,qth_0.75
2,5997,315,70,70,0,0.0116725029181257,1.0,0.2222222222222222,3,gte_mean,30,train,qth_0.75
3,5997,169,64,64,0,0.0106720026680006,1.0,0.378698224852071,3,gte_mean,30,train,qth_0.75
4,5994,309,68,68,0,0.0113446780113446,1.0,0.22006472491909385,3,gte_mean,30,train,qth_0.75
5,5996,27,10,10,0,0.0016677785190126,1.0,0.37037037037037035,3,gte_mean,30,train,qth_0.75
6,5995,812,244,244,0,0.0407005838198498,1.0,0.30049261083743845,3,gte_mean,30,train,qth_0.75
7,5998,179,18,18,0,0.0030010003334444,1.0,0.1005586592178771,3,gte_mean,30,train,qth_0.75
8,5999,22,13,13,0,0.0021670278379729,1.0,0.5909090909090909,3,gte_mean,30,train,qth_0.75
9,5998,90,28,28,0,0.0046682227409136,1.0,0.3111111111111111,3,gte_mean,30,train,qth_0.75
all,59968,2289,617,617,0,0.0102888207043756,1.0,0.26955002184359983,3,gte_mean,30,train,qth_0.75
0,1000,135,163,37,126,0.163,0.2269938650306748,0.2740740740740741,0,gte_mean,30,test,qth_0.75
1,997,21,72,11,61,0.0722166499498495,0.1527777777777778,0.5238095238095238,0,gte_mean,30,test,qth_0.75
2,999,104,94,23,71,0.0940940940940941,0.2446808510638297,0.22115384615384615,0,gte_mean,30,test,qth_0.75
3,999,73,118,26,92,0.1181181181181181,0.2203389830508474,0.3561643835616438,0,gte_mean,30,test,qth_0.75
4,999,102,124,16,108,0.1241241241241241,0.1290322580645161,0.1568627450980392,0,gte_mean,30,test,qth_0.75
5,997,16,125,4,121,0.1253761283851554,0.032,0.25,0,gte_mean,30,test,qth_0.75
