y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_and_classified,NPR,NPV,specificity,eta,subset_name,num_neurons,stage,thld
0,5997,334,158,158,0,0.0263465065866266,1.0,0.47305389221556887,0,gte_mean,30,train,relu
1,5997,32,27,27,0,0.0045022511255627,1.0,0.84375,0,gte_mean,30,train,relu
2,5997,315,217,217,0,0.0361847590461897,1.0,0.6888888888888889,0,gte_mean,30,train,relu
3,5997,169,133,133,0,0.0221777555444388,1.0,0.7869822485207101,0,gte_mean,30,train,relu
4,5994,309,205,205,0,0.0342008675342008,1.0,0.6634304207119741,0,gte_mean,30,train,relu
5,5996,27,18,18,0,0.0030020013342228,1.0,0.6666666666666666,0,gte_mean,30,train,relu
6,5995,812,401,401,0,0.0668890742285237,1.0,0.4938423645320197,0,gte_mean,30,train,relu
7,5998,179,87,87,0,0.0145048349449816,1.0,0.4860335195530726,0,gte_mean,30,train,relu
8,5999,22,19,19,0,0.003167194532422,1.0,0.8636363636363636,0,gte_mean,30,train,relu
9,5998,90,53,53,0,0.0088362787595865,1.0,0.5888888888888889,0,gte_mean,30,train,relu
all,59968,2289,1318,1318,0,0.0219783884738527,1.0,0.5757972913936217,0,gte_mean,30,train,relu
0,5997,334,158,158,0,0.0263465065866266,1.0,0.47305389221556887,1,gte_mean,30,train,relu
1,5997,32,27,27,0,0.0045022511255627,1.0,0.84375,1,gte_mean,30,train,relu
2,5997,315,217,217,0,0.0361847590461897,1.0,0.6888888888888889,1,gte_mean,30,train,relu
3,5997,169,133,133,0,0.0221777555444388,1.0,0.7869822485207101,1,gte_mean,30,train,relu
4,5994,309,205,205,0,0.0342008675342008,1.0,0.6634304207119741,1,gte_mean,30,train,relu
5,5996,27,18,18,0,0.0030020013342228,1.0,0.6666666666666666,1,gte_mean,30,train,relu
6,5995,812,401,401,0,0.0668890742285237,1.0,0.4938423645320197,1,gte_mean,30,train,relu
7,5998,179,87,87,0,0.0145048349449816,1.0,0.4860335195530726,1,gte_mean,30,train,relu
8,5999,22,19,19,0,0.003167194532422,1.0,0.8636363636363636,1,gte_mean,30,train,relu
9,5998,90,53,53,0,0.0088362787595865,1.0,0.5888888888888889,1,gte_mean,30,train,relu
all,59968,2289,1318,1318,0,0.0219783884738527,1.0,0.5757972913936217,1,gte_mean,30,train,relu
0,5997,334,158,158,0,0.0263465065866266,1.0,0.47305389221556887,2,gte_mean,30,train,relu
1,5997,32,27,27,0,0.0045022511255627,1.0,0.84375,2,gte_mean,30,train,relu
2,5997,315,217,217,0,0.0361847590461897,1.0,0.6888888888888889,2,gte_mean,30,train,relu
3,5997,169,133,133,0,0.0221777555444388,1.0,0.7869822485207101,2,gte_mean,30,train,relu
4,5994,309,205,205,0,0.0342008675342008,1.0,0.6634304207119741,2,gte_mean,30,train,relu
5,5996,27,18,18,0,0.0030020013342228,1.0,0.6666666666666666,2,gte_mean,30,train,relu
6,5995,812,401,401,0,0.0668890742285237,1.0,0.4938423645320197,2,gte_mean,30,train,relu
7,5998,179,87,87,0,0.0145048349449816,1.0,0.4860335195530726,2,gte_mean,30,train,relu
8,5999,22,19,19,0,0.003167194532422,1.0,0.8636363636363636,2,gte_mean,30,train,relu
9,5998,90,53,53,0,0.0088362787595865,1.0,0.5888888888888889,2,gte_mean,30,train,relu
all,59968,2289,1318,1318,0,0.0219783884738527,1.0,0.5757972913936217,2,gte_mean,30,train,relu
0,5997,334,158,158,0,0.0263465065866266,1.0,0.47305389221556887,3,gte_mean,30,train,relu
1,5997,32,27,27,0,0.0045022511255627,1.0,0.84375,3,gte_mean,30,train,relu
2,5997,315,217,217,0,0.0361847590461897,1.0,0.6888888888888889,3,gte_mean,30,train,relu
3,5997,169,133,133,0,0.0221777555444388,1.0,0.7869822485207101,3,gte_mean,30,train,relu
4,5994,309,205,205,0,0.0342008675342008,1.0,0.6634304207119741,3,gte_mean,30,train,relu
5,5996,27,18,18,0,0.0030020013342228,1.0,0.6666666666666666,3,gte_mean,30,train,relu
6,5995,812,401,401,0,0.0668890742285237,1.0,0.4938423645320197,3,gte_mean,30,train,relu
7,5998,179,87,87,0,0.0145048349449816,1.0,0.4860335195530726,3,gte_mean,30,train,relu
8,5999,22,19,19,0,0.003167194532422,1.0,0.8636363636363636,3,gte_mean,30,train,relu
9,5998,90,53,53,0,0.0088362787595865,1.0,0.5888888888888889,3,gte_mean,30,train,relu
all,59968,2289,1318,1318,0,0.0219783884738527,1.0,0.5757972913936217,3,gte_mean,30,train,relu
0,1000,135,233,81,152,0.233,0.3476394849785407,0.6,0,gte_mean,30,test,relu
1,997,21,71,14,57,0.0712136409227683,0.1971830985915492,0.6666666666666666,0,gte_mean,30,test,relu
2,999,104,303,71,232,0.3033033033033033,0.2343234323432343,0.6826923076923077,0,gte_mean,30,test,relu
3,999,73,381,57,324,0.3813813813813814,0.1496062992125984,0.7808219178082192,0,gte_mean,30,test,relu
4,999,102,328,64,264,0.3283283283283283,0.1951219512195122,0.6274509803921569,0,gte_mean,30,test,relu
5,997,16,313,12,301,0.3139418254764293,0.0383386581469648,0.75,0,gte_mean,30,test,relu
6,999,246,511,135,376,0.5115115115115115,0.2641878669275929,0.5487804878048781,0,gte_mean,30,test,relu
7,999,43,133,23,110,0.1331331331331331,0.1729323308270676,0.5348837209302325,0,gte_mean,30,test,relu
8,997,12,271,11,260,0.271815446339017,0.040590405904059,0.9166666666666666,0,gte_mean,30,test,relu
9,998,27,196,16,180,0.1963927855711423,0.0816326530612244,0.5925925925925926,0,gte_mean,30,test,relu
all,9984,779,2740,484,2256,0.2744391025641026,0.1766423357664233,0.6213093709884467,0,gte_mean,30,test,relu
0,1000,135,233,81,152,0.233,0.3476394849785407,0.6,1,gte_mean,30,test,relu
1,997,21,71,14,57,0.0712136409227683,0.1971830985915492,0.6666666666666666,1,gte_mean,30,test,relu
2,999,104,303,71,232,0.3033033033033033,0.2343234323432343,0.6826923076923077,1,gte_mean,30,test,relu
3,999,73,381,57,324,0.3813813813813814,0.1496062992125984,0.7808219178082192,1,gte_mean,30,test,relu
4,999,102,328,64,264,0.3283283283283283,0.1951219512195122,0.6274509803921569,1,gte_mean,30,test,relu
5,997,16,313,12,301,0.3139418254764293,0.0383386581469648,0.75,1,gte_mean,30,test,relu
6,999,246,511,135,376,0.5115115115115115,0.2641878669275929,0.5487804878048781,1,gte_mean,30,test,relu
7,999,43,133,23,110,0.1331331331331331,0.1729323308270676,0.5348837209302325,1,gte_mean,30,test,relu
8,997,12,271,11,260,0.271815446339017,0.040590405904059,0.9166666666666666,1,gte_mean,30,test,relu
9,998,27,196,16,180,0.1963927855711423,0.0816326530612244,0.5925925925925926,1,gte_mean,30,test,relu
all,9984,779,2740,484,2256,0.2744391025641026,0.1766423357664233,0.6213093709884467,1,gte_mean,30,test,relu
0,1000,135,233,81,152,0.233,0.3476394849785407,0.6,2,gte_mean,30,test,relu
1,997,21,71,14,57,0.0712136409227683,0.1971830985915492,0.6666666666666666,2,gte_mean,30,test,relu
2,999,104,303,71,232,0.3033033033033033,0.2343234323432343,0.6826923076923077,2,gte_mean,30,test,relu
3,999,73,381,57,324,0.3813813813813814,0.1496062992125984,0.7808219178082192,2,gte_mean,30,test,relu
4,999,102,328,64,264,0.3283283283283283,0.1951219512195122,0.6274509803921569,2,gte_mean,30,test,relu
5,997,16,313,12,301,0.3139418254764293,0.0383386581469648,0.75,2,gte_mean,30,test,relu
6,999,246,511,135,376,0.5115115115115115,0.2641878669275929,0.5487804878048781,2,gte_mean,30,test,relu
7,999,43,133,23,110,0.1331331331331331,0.1729323308270676,0.5348837209302325,2,gte_mean,30,test,relu
8,997,12,271,11,260,0.271815446339017,0.040590405904059,0.9166666666666666,2,gte_mean,30,test,relu
9,998,27,196,16,180,0.1963927855711423,0.0816326530612244,0.5925925925925926,2,gte_mean,30,test,relu
all,9984,779,2740,484,2256,0.2744391025641026,0.1766423357664233,0.6213093709884467,2,gte_mean,30,test,relu
0,1000,135,233,81,152,0.233,0.3476394849785407,0.6,3,gte_mean,30,test,relu
1,997,21,71,14,57,0.0712136409227683,0.1971830985915492,0.6666666666666666,3,gte_mean,30,test,relu
2,999,104,303,71,232,0.3033033033033033,0.2343234323432343,0.6826923076923077,3,gte_mean,30,test,relu
3,999,73,381,57,324,0.3813813813813814,0.1496062992125984,0.7808219178082192,3,gte_mean,30,test,relu
4,999,102,328,64,264,0.3283283283283283,0.1951219512195122,0.6274509803921569,3,gte_mean,30,test,relu
5,997,16,313,12,301,0.3139418254764293,0.0383386581469648,0.75,3,gte_mean,30,test,relu
6,999,246,511,135,376,0.5115115115115115,0.2641878669275929,0.5487804878048781,3,gte_mean,30,test,relu
7,999,43,133,23,110,0.1331331331331331,0.1729323308270676,0.5348837209302325,3,gte_mean,30,test,relu
8,997,12,271,11,260,0.271815446339017,0.040590405904059,0.9166666666666666,3,gte_mean,30,test,relu
9,998,27,196,16,180,0.1963927855711423,0.0816326530612244,0.5925925925925926,3,gte_mean,30,test,relu
all,9984,779,2740,484,2256,0.2744391025641026,0.1766423357664233,0.6213093709884467,3,gte_mean,30,test,relu
1,1000,1000,911,0,911,0.911,1.0,0.0,0,gte_mean,30,evaluation,relu
all,1000,1000,911,0,911,0.911,1.0,0.0,0,gte_mean,30,evaluation,relu
1,1000,1000,911,0,911,0.911,1.0,0.0,1,gte_mean,30,evaluation,relu
all,1000,1000,911,0,911,0.911,1.0,0.0,1,gte_mean,30,evaluation,relu
1,1000,1000,911,0,911,0.911,1.0,0.0,2,gte_mean,30,evaluation,relu
all,1000,1000,911,0,911,0.911,1.0,0.0,2,gte_mean,30,evaluation,relu
1,1000,1000,911,0,911,0.911,1.0,0.0,3,gte_mean,30,evaluation,relu
all,1000,1000,911,0,911,0.911,1.0,0.0,3,gte_mean,30,evaluation,relu
