y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_and_classified,NPR,NPV,specificity,eta,subset_name,num_neurons,stage,thld
0,5997,334,39,39,0,0.0065032516258129,1.0,0.11676646706586827,0,top_third,20,train,qth_0.25
1,5997,32,1,1,0,0.0001667500416875,1.0,0.03125,0,top_third,20,train,qth_0.25
2,5997,315,57,57,0,0.009504752376188,1.0,0.18095238095238095,0,top_third,20,train,qth_0.25
3,5997,169,17,17,0,0.0028347507086876,1.0,0.10059171597633136,0,top_third,20,train,qth_0.25
4,5994,309,34,34,0,0.0056723390056723,1.0,0.11003236245954692,0,top_third,20,train,qth_0.25
5,5996,27,3,3,0,0.0005003335557038,1.0,0.1111111111111111,0,top_third,20,train,qth_0.25
6,5995,812,106,106,0,0.0176814011676397,1.0,0.13054187192118227,0,top_third,20,train,qth_0.25
7,5998,179,9,9,0,0.0015005001667222,1.0,0.05027932960893855,0,top_third,20,train,qth_0.25
8,5999,22,2,2,0,0.0003333888981496,1.0,0.09090909090909091,0,top_third,20,train,qth_0.25
9,5998,90,3,3,0,0.0005001667222407,1.0,0.03333333333333333,0,top_third,20,train,qth_0.25
all,59968,2289,271,271,0,0.0045190768409818,1.0,0.1183923110528615,0,top_third,20,train,qth_0.25
0,5997,334,39,39,0,0.0065032516258129,1.0,0.11676646706586827,1,top_third,20,train,qth_0.25
1,5997,32,1,1,0,0.0001667500416875,1.0,0.03125,1,top_third,20,train,qth_0.25
2,5997,315,57,57,0,0.009504752376188,1.0,0.18095238095238095,1,top_third,20,train,qth_0.25
3,5997,169,17,17,0,0.0028347507086876,1.0,0.10059171597633136,1,top_third,20,train,qth_0.25
4,5994,309,34,34,0,0.0056723390056723,1.0,0.11003236245954692,1,top_third,20,train,qth_0.25
5,5996,27,3,3,0,0.0005003335557038,1.0,0.1111111111111111,1,top_third,20,train,qth_0.25
6,5995,812,106,106,0,0.0176814011676397,1.0,0.13054187192118227,1,top_third,20,train,qth_0.25
7,5998,179,9,9,0,0.0015005001667222,1.0,0.05027932960893855,1,top_third,20,train,qth_0.25
8,5999,22,2,2,0,0.0003333888981496,1.0,0.09090909090909091,1,top_third,20,train,qth_0.25
9,5998,90,3,3,0,0.0005001667222407,1.0,0.03333333333333333,1,top_third,20,train,qth_0.25
all,59968,2289,271,271,0,0.0045190768409818,1.0,0.1183923110528615,1,top_third,20,train,qth_0.25
0,5997,334,39,39,0,0.0065032516258129,1.0,0.11676646706586827,2,top_third,20,train,qth_0.25
1,5997,32,1,1,0,0.0001667500416875,1.0,0.03125,2,top_third,20,train,qth_0.25
2,5997,315,57,57,0,0.009504752376188,1.0,0.18095238095238095,2,top_third,20,train,qth_0.25
3,5997,169,17,17,0,0.0028347507086876,1.0,0.10059171597633136,2,top_third,20,train,qth_0.25
4,5994,309,34,34,0,0.0056723390056723,1.0,0.11003236245954692,2,top_third,20,train,qth_0.25
5,5996,27,3,3,0,0.0005003335557038,1.0,0.1111111111111111,2,top_third,20,train,qth_0.25
6,5995,812,106,106,0,0.0176814011676397,1.0,0.13054187192118227,2,top_third,20,train,qth_0.25
7,5998,179,9,9,0,0.0015005001667222,1.0,0.05027932960893855,2,top_third,20,train,qth_0.25
8,5999,22,2,2,0,0.0003333888981496,1.0,0.09090909090909091,2,top_third,20,train,qth_0.25
9,5998,90,3,3,0,0.0005001667222407,1.0,0.03333333333333333,2,top_third,20,train,qth_0.25
all,59968,2289,271,271,0,0.0045190768409818,1.0,0.1183923110528615,2,top_third,20,train,qth_0.25
