y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_%,unrecognized_and_misclassified_%,unrecognized_misclassified_%,eta,subset_name,num_neurons,stage,thld
0,5997.0,334.0,93.0,93.0,0.0155077538769384,1.0,0.278443113772455,0,top_third,20.0,train,qth_0.5
1,5997.0,32.0,7.0,7.0,0.0011672502918125,1.0,0.21875,0,top_third,20.0,train,qth_0.5
2,5997.0,315.0,136.0,136.0,0.0226780056695014,1.0,0.4317460317460317,0,top_third,20.0,train,qth_0.5
3,5997.0,169.0,41.0,41.0,0.0068367517091879,1.0,0.2426035502958579,0,top_third,20.0,train,qth_0.5
4,5994.0,309.0,87.0,87.0,0.0145145145145145,1.0,0.2815533980582524,0,top_third,20.0,train,qth_0.5
5,5996.0,27.0,11.0,11.0,0.0018345563709139,1.0,0.4074074074074074,0,top_third,20.0,train,qth_0.5
6,5995.0,812.0,226.0,226.0,0.0376980817347789,1.0,0.2783251231527093,0,top_third,20.0,train,qth_0.5
7,5998.0,179.0,41.0,41.0,0.0068356118706235,1.0,0.2290502793296089,0,top_third,20.0,train,qth_0.5
8,5999.0,22.0,14.0,14.0,0.0023337222870478,1.0,0.6363636363636364,0,top_third,20.0,train,qth_0.5
9,5998.0,90.0,21.0,21.0,0.0035011670556852,1.0,0.2333333333333333,0,top_third,20.0,train,qth_0.5
all,59968.0,2289.0,677.0,677.0,0.0112893543223052,1.0,0.2957623416339012,0,top_third,20.0,train,qth_0.5
0,5997.0,334.0,93.0,93.0,0.0155077538769384,1.0,0.278443113772455,1,top_third,20.0,train,qth_0.5
1,5997.0,32.0,7.0,7.0,0.0011672502918125,1.0,0.21875,1,top_third,20.0,train,qth_0.5
2,5997.0,315.0,136.0,136.0,0.0226780056695014,1.0,0.4317460317460317,1,top_third,20.0,train,qth_0.5
3,5997.0,169.0,41.0,41.0,0.0068367517091879,1.0,0.2426035502958579,1,top_third,20.0,train,qth_0.5
4,5994.0,309.0,87.0,87.0,0.0145145145145145,1.0,0.2815533980582524,1,top_third,20.0,train,qth_0.5
5,5996.0,27.0,11.0,11.0,0.0018345563709139,1.0,0.4074074074074074,1,top_third,20.0,train,qth_0.5
6,5995.0,812.0,226.0,226.0,0.0376980817347789,1.0,0.2783251231527093,1,top_third,20.0,train,qth_0.5
7,5998.0,179.0,41.0,41.0,0.0068356118706235,1.0,0.2290502793296089,1,top_third,20.0,train,qth_0.5
8,5999.0,22.0,14.0,14.0,0.0023337222870478,1.0,0.6363636363636364,1,top_third,20.0,train,qth_0.5
9,5998.0,90.0,21.0,21.0,0.0035011670556852,1.0,0.2333333333333333,1,top_third,20.0,train,qth_0.5
all,59968.0,2289.0,677.0,677.0,0.0112893543223052,1.0,0.2957623416339012,1,top_third,20.0,train,qth_0.5
0,5997.0,334.0,93.0,93.0,0.0155077538769384,1.0,0.278443113772455,2,top_third,20.0,train,qth_0.5
1,5997.0,32.0,7.0,7.0,0.0011672502918125,1.0,0.21875,2,top_third,20.0,train,qth_0.5
2,5997.0,315.0,136.0,136.0,0.0226780056695014,1.0,0.4317460317460317,2,top_third,20.0,train,qth_0.5
3,5997.0,169.0,41.0,41.0,0.0068367517091879,1.0,0.2426035502958579,2,top_third,20.0,train,qth_0.5
4,5994.0,309.0,87.0,87.0,0.0145145145145145,1.0,0.2815533980582524,2,top_third,20.0,train,qth_0.5
5,5996.0,27.0,11.0,11.0,0.0018345563709139,1.0,0.4074074074074074,2,top_third,20.0,train,qth_0.5
