y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_and_classified,NPR,NPV,specificity,eta,subset_name,num_neurons,stage,thld
0,5997,334,61,61,0,0.0101717525429381,1.0,0.18263473053892215,0,top_third,20,train,relu
1,5997,32,18,18,0,0.0030015007503751,1.0,0.5625,0,top_third,20,train,relu
2,5997,315,88,88,0,0.0146740036685009,1.0,0.27936507936507937,0,top_third,20,train,relu
3,5997,169,60,60,0,0.0100050025012506,1.0,0.35502958579881655,0,top_third,20,train,relu
4,5994,309,72,72,0,0.012012012012012,1.0,0.23300970873786409,0,top_third,20,train,relu
5,5996,27,9,9,0,0.0015010006671114,1.0,0.3333333333333333,0,top_third,20,train,relu
6,5995,812,148,148,0,0.0246872393661384,1.0,0.18226600985221675,0,top_third,20,train,relu
7,5998,179,33,33,0,0.0055018339446482,1.0,0.18435754189944134,0,top_third,20,train,relu
8,5999,22,12,12,0,0.0020003333888981,1.0,0.5454545454545454,0,top_third,20,train,relu
9,5998,90,25,25,0,0.0041680560186728,1.0,0.2777777777777778,0,top_third,20,train,relu
all,59968,2289,526,526,0,0.0087713447171824,1.0,0.22979467016164265,0,top_third,20,train,relu
0,5997,334,61,61,0,0.0101717525429381,1.0,0.18263473053892215,1,top_third,20,train,relu
1,5997,32,18,18,0,0.0030015007503751,1.0,0.5625,1,top_third,20,train,relu
2,5997,315,88,88,0,0.0146740036685009,1.0,0.27936507936507937,1,top_third,20,train,relu
3,5997,169,60,60,0,0.0100050025012506,1.0,0.35502958579881655,1,top_third,20,train,relu
4,5994,309,72,72,0,0.012012012012012,1.0,0.23300970873786409,1,top_third,20,train,relu
5,5996,27,9,9,0,0.0015010006671114,1.0,0.3333333333333333,1,top_third,20,train,relu
6,5995,812,148,148,0,0.0246872393661384,1.0,0.18226600985221675,1,top_third,20,train,relu
7,5998,179,33,33,0,0.0055018339446482,1.0,0.18435754189944134,1,top_third,20,train,relu
8,5999,22,12,12,0,0.0020003333888981,1.0,0.5454545454545454,1,top_third,20,train,relu
9,5998,90,25,25,0,0.0041680560186728,1.0,0.2777777777777778,1,top_third,20,train,relu
all,59968,2289,526,526,0,0.0087713447171824,1.0,0.22979467016164265,1,top_third,20,train,relu
0,5997,334,61,61,0,0.0101717525429381,1.0,0.18263473053892215,2,top_third,20,train,relu
1,5997,32,18,18,0,0.0030015007503751,1.0,0.5625,2,top_third,20,train,relu
2,5997,315,88,88,0,0.0146740036685009,1.0,0.27936507936507937,2,top_third,20,train,relu
3,5997,169,60,60,0,0.0100050025012506,1.0,0.35502958579881655,2,top_third,20,train,relu
4,5994,309,72,72,0,0.012012012012012,1.0,0.23300970873786409,2,top_third,20,train,relu
5,5996,27,9,9,0,0.0015010006671114,1.0,0.3333333333333333,2,top_third,20,train,relu
6,5995,812,148,148,0,0.0246872393661384,1.0,0.18226600985221675,2,top_third,20,train,relu
7,5998,179,33,33,0,0.0055018339446482,1.0,0.18435754189944134,2,top_third,20,train,relu
8,5999,22,12,12,0,0.0020003333888981,1.0,0.5454545454545454,2,top_third,20,train,relu
9,5998,90,25,25,0,0.0041680560186728,1.0,0.2777777777777778,2,top_third,20,train,relu
all,59968,2289,526,526,0,0.0087713447171824,1.0,0.22979467016164265,2,top_third,20,train,relu
0,5997,334,61,61,0,0.0101717525429381,1.0,0.18263473053892215,3,top_third,20,train,relu
1,5997,32,18,18,0,0.0030015007503751,1.0,0.5625,3,top_third,20,train,relu
2,5997,315,88,88,0,0.0146740036685009,1.0,0.27936507936507937,3,top_third,20,train,relu
3,5997,169,60,60,0,0.0100050025012506,1.0,0.35502958579881655,3,top_third,20,train,relu
4,5994,309,72,72,0,0.012012012012012,1.0,0.23300970873786409,3,top_third,20,train,relu
5,5996,27,9,9,0,0.0015010006671114,1.0,0.3333333333333333,3,top_third,20,train,relu
6,5995,812,148,148,0,0.0246872393661384,1.0,0.18226600985221675,3,top_third,20,train,relu
