thld,eta,build_time_min,size_mb,reorder_time_min,num_patterns,num_unique_patterns_%,num_reorder,num_neurons,start_time,end_time,subset_name
qth_0.75,0.0,12.05,4492.2,0.0,66884.0,99.9,0.0,60.0,2023-08-14 20:58:46,2023-08-14 21:10:50,
qth_0.75,1.0,757.433,4495.3,0.0,4008600.0,100.0,0.0,60.0,2023-08-14 21:25:38,2023-08-15 10:03:05,
qth_0.75,2.0,461.583,4495.3,0.0,2475738.0,100.0,0.0,60.0,2023-08-15 10:17:49,2023-08-15 17:59:24,
qth_0.75,3.0,326.633,4495.3,0.0,1727199.0,100.0,0.0,60.0,2023-08-15 18:14:06,2023-08-15 23:40:44,
qth_0.75,0.0,0.0,4303.4,0.0,66884.0,0.3,0.0,8.0,2023-08-14 20:27:24,2023-08-14 20:27:24,components
qth_0.75,1.0,0.0,4303.4,0.0,1488.0,17.1,0.0,8.0,2023-08-14 20:27:40,2023-08-14 20:27:41,components
qth_0.75,2.0,0.0,4303.4,0.0,617.0,25.1,0.0,8.0,2023-08-14 20:27:56,2023-08-14 20:27:57,components
qth_0.75,3.0,0.0,4303.4,0.0,257.0,39.3,0.0,8.0,2023-08-14 20:28:12,2023-08-14 20:28:13,components
qth_0.5,0.0,14.583,4506.1,0.0,66884.0,100.0,0.0,60.0,2023-08-14 20:58:47,2023-08-14 21:13:23,
qth_0.5,1.0,923.183,4516.3,0.0,4012380.0,100.0,0.0,60.0,2023-08-14 21:31:22,2023-08-15 12:54:33,
qth_0.5,2.0,429.217,4670.2,0.0,1980296.0,100.0,0.0,60.0,2023-08-15 13:11:17,2023-08-15 20:20:31,
qth_0.5,3.0,249.167,4670.2,0.0,975243.0,100.0,0.0,60.0,2023-08-15 20:33:58,2023-08-16 00:43:09,
qth_0.5,0.0,0.0,4303.4,0.0,66884.0,0.4,0.0,8.0,2023-08-14 20:27:25,2023-08-14 20:27:26,components
qth_0.5,1.0,0.0,4303.4,0.0,2032.0,0.7,0.0,8.0,2023-08-14 20:27:41,2023-08-14 20:27:42,components
qth_0.5,2.0,0.0,4303.4,0.0,892.0,0.4,0.0,8.0,2023-08-14 20:27:58,2023-08-14 20:27:58,components
qth_0.5,3.0,0.0,4303.4,0.0,383.0,0.3,0.0,8.0,2023-08-14 20:28:14,2023-08-14 20:28:14,components
qth_0.25,0.0,12.133,4492.6,0.0,66884.0,99.9,0.0,60.0,2023-08-14 20:58:52,2023-08-14 21:11:00,
qth_0.25,1.0,765.233,4496.8,0.0,4008060.0,100.0,0.0,60.0,2023-08-14 21:25:54,2023-08-15 10:11:09,
qth_0.25,2.0,467.417,4496.8,0.0,2474933.0,100.0,0.0,60.0,2023-08-15 10:25:57,2023-08-15 18:13:23,
qth_0.25,3.0,331.6,4496.8,0.0,1704342.0,100.0,0.0,60.0,2023-08-15 18:28:11,2023-08-15 23:59:48,
qth_0.25,0.0,0.0,4303.4,0.0,66884.0,0.3,0.0,8.0,2023-08-14 20:27:27,2023-08-14 20:27:27,components
qth_0.25,1.0,0.0,4303.4,0.0,1424.0,17.0,0.0,8.0,2023-08-14 20:27:43,2023-08-14 20:27:43,components
qth_0.25,2.0,0.0,4303.4,0.0,633.0,28.9,0.0,8.0,2023-08-14 20:27:59,2023-08-14 20:27:59,components
qth_0.25,3.0,0.0,4303.4,0.0,255.0,44.3,0.0,8.0,2023-08-14 20:28:14,2023-08-14 20:28:14,components
relu,0.0,14.483,4503.5,0.0,66884.0,100.0,0.0,60.0,2023-08-14 20:58:57,2023-08-14 21:13:26,
relu,1.0,919.467,4516.3,0.0,4012380.0,100.0,0.0,60.0,2023-08-14 21:31:28,2023-08-15 12:50:57,
relu,2.0,427.717,4669.2,0.0,1980293.0,100.0,0.0,60.0,2023-08-15 13:07:48,2023-08-15 20:15:31,
relu,3.0,246.733,4669.2,0.0,977394.0,100.0,0.0,60.0,2023-08-15 20:29:09,2023-08-16 00:35:54,
relu,0.0,0.0,4303.4,0.0,66884.0,0.4,0.0,8.0,2023-08-14 20:27:31,2023-08-14 20:27:31,components
relu,1.0,0.0,4303.4,0.0,2040.0,0.4,0.0,8.0,2023-08-14 20:27:47,2023-08-14 20:27:48,components
relu,2.0,0.0,4303.4,0.0,894.0,0.2,0.0,8.0,2023-08-14 20:28:03,2023-08-14 20:28:04,components
relu,3.0,0.0,4303.4,0.0,383.0,0.3,0.0,8.0,2023-08-14 20:28:19,2023-08-14 20:28:19,components
mean,0.0,14.467,4503.5,0.0,66884.0,100.0,0.0,60.0,2023-08-14 20:59:03,2023-08-14 21:13:32,
mean,1.0,920.633,4516.4,0.0,4012380.0,100.0,0.0,60.0,2023-08-14 21:31:33,2023-08-15 12:52:12,
mean,2.0,427.667,4669.3,0.0,1980241.0,100.0,0.0,60.0,2023-08-15 13:09:04,2023-08-15 20:16:45,
mean,3.0,246.583,4669.6,0.0,977412.0,100.0,0.0,60.0,2023-08-15 20:30:22,2023-08-16 00:36:59,
mean,0.0,0.0,4303.4,0.0,66884.0,0.4,0.0,8.0,2023-08-14 20:27:35,2023-08-14 20:27:35,components
mean,1.0,0.0,4303.4,0.0,2040.0,0.4,0.0,8.0,2023-08-14 20:27:50,2023-08-14 20:27:51,components
mean,2.0,0.0,4303.4,0.0,894.0,0.2,0.0,8.0,2023-08-14 20:28:07,2023-08-14 20:28:07,components
mean,3.0,0.0,4303.4,0.0,383.0,0.3,0.0,8.0,2023-08-14 20:28:22,2023-08-14 20:28:23,components
