thld,eta,build_time_min,size_mb,reorder_time_min,num_patterns,num_unique_patterns_%,num_reorder,num_neurons,start_time,end_time,subset_name
qth_0.75,0.0,10.633,4485.1,0.0,57679.0,99.9,0.0,60.0,2023-08-14 20:57:40,2023-08-14 21:08:19,
qth_0.75,1.0,649.933,4489.3,0.0,3457500.0,100.0,0.0,60.0,2023-08-14 21:23:02,2023-08-15 08:12:59,
qth_0.75,2.0,396.133,4489.3,0.0,2135802.0,100.0,0.0,60.0,2023-08-15 08:27:34,2023-08-15 15:03:43,
qth_0.75,3.0,267.4,4489.4,0.0,1490343.0,100.0,0.0,60.0,2023-08-15 15:18:20,2023-08-15 19:45:44,
qth_0.75,0.0,0.0,4303.4,0.0,57679.0,0.3,0.0,8.0,2023-08-14 20:57:36,2023-08-14 20:57:36,components
qth_0.75,1.0,0.0,4303.4,0.0,1472.0,17.8,0.0,8.0,2023-08-14 20:57:53,2023-08-14 20:57:53,components
qth_0.75,2.0,0.0,4303.4,0.0,609.0,25.8,0.0,8.0,2023-08-14 20:58:11,2023-08-14 20:58:11,components
qth_0.75,3.0,0.0,4303.4,0.0,255.0,39.6,0.0,8.0,2023-08-14 20:58:30,2023-08-14 20:58:30,components
qth_0.5,0.0,12.75,4499.4,0.0,57679.0,100.0,0.0,60.0,2023-08-14 20:57:43,2023-08-14 21:10:29,
qth_0.5,1.0,806.817,4507.8,0.0,3460260.0,100.0,0.0,60.0,2023-08-14 21:28:06,2023-08-15 10:54:56,
qth_0.5,2.0,398.767,4507.8,0.0,1707939.0,100.0,0.0,60.0,2023-08-15 11:12:35,2023-08-15 17:51:22,
qth_0.5,3.0,175.45,4507.8,0.0,841275.0,100.0,0.0,60.0,2023-08-15 18:08:56,2023-08-15 21:04:23,
qth_0.5,0.0,0.0,4303.4,0.0,57679.0,0.4,0.0,8.0,2023-08-14 20:57:40,2023-08-14 20:57:40,components
qth_0.5,1.0,0.017,4303.4,0.0,2024.0,1.1,0.0,8.0,2023-08-14 20:57:57,2023-08-14 20:57:58,components
qth_0.5,2.0,0.0,4303.4,0.0,889.0,0.8,0.0,8.0,2023-08-14 20:58:16,2023-08-14 20:58:16,components
qth_0.5,3.0,0.0,4303.4,0.0,382.0,0.5,0.0,8.0,2023-08-14 20:58:35,2023-08-14 20:58:35,components
qth_0.25,0.0,10.7,4490.3,0.0,57679.0,99.9,0.0,60.0,2023-08-14 20:57:45,2023-08-14 21:08:28,
qth_0.25,1.0,655.583,4492.6,0.0,3456900.0,100.0,0.0,60.0,2023-08-14 21:23:12,2023-08-15 08:18:48,
qth_0.25,2.0,399.85,4492.6,0.0,2134605.0,100.0,0.0,60.0,2023-08-15 08:33:23,2023-08-15 15:13:15,
qth_0.25,3.0,266.933,4492.6,0.0,1470102.0,100.0,0.0,60.0,2023-08-15 15:27:49,2023-08-15 19:54:45,
qth_0.25,0.0,0.0,4303.4,0.0,57679.0,0.3,0.0,8.0,2023-08-14 20:57:43,2023-08-14 20:57:43,components
qth_0.25,1.0,0.0,4303.4,0.0,1408.0,17.6,0.0,8.0,2023-08-14 20:58:00,2023-08-14 20:58:01,components
qth_0.25,2.0,0.0,4303.4,0.0,629.0,29.1,0.0,8.0,2023-08-14 20:58:18,2023-08-14 20:58:19,components
qth_0.25,3.0,0.0,4303.4,0.0,255.0,44.3,0.0,8.0,2023-08-14 20:58:36,2023-08-14 20:58:36,components
relu,0.0,12.667,4498.1,0.0,57679.0,100.0,0.0,60.0,2023-08-14 20:57:50,2023-08-14 21:10:31,
relu,1.0,808.183,4507.3,0.0,3460200.0,100.0,0.0,60.0,2023-08-14 21:28:21,2023-08-15 10:56:33,
relu,2.0,399.1,4507.3,0.0,1707931.0,100.0,0.0,60.0,2023-08-15 11:14:12,2023-08-15 17:53:18,
relu,3.0,175.4,4507.3,0.0,843112.0,100.0,0.0,60.0,2023-08-15 18:11:05,2023-08-15 21:06:30,
relu,0.0,0.0,4303.4,0.0,57679.0,0.4,0.0,8.0,2023-08-14 20:57:50,2023-08-14 20:57:50,components
relu,1.0,0.017,4303.4,0.0,2032.0,0.8,0.0,8.0,2023-08-14 20:58:07,2023-08-14 20:58:08,components
relu,2.0,0.0,4303.4,0.0,891.0,0.6,0.0,8.0,2023-08-14 20:58:26,2023-08-14 20:58:27,components
relu,3.0,0.0,4303.4,0.0,382.0,0.5,0.0,8.0,2023-08-14 20:58:44,2023-08-14 20:58:45,components
mean,0.0,12.617,4498.1,0.0,57679.0,100.0,0.0,60.0,2023-08-14 20:57:55,2023-08-14 21:10:33,
mean,1.0,807.717,4507.3,0.0,3460200.0,100.0,0.0,60.0,2023-08-14 21:28:22,2023-08-15 10:56:06,
mean,2.0,398.983,4507.3,0.0,1707931.0,100.0,0.0,60.0,2023-08-15 11:13:44,2023-08-15 17:52:44,
mean,3.0,175.633,4507.3,0.0,843112.0,100.0,0.0,60.0,2023-08-15 18:10:31,2023-08-15 21:06:09,
mean,0.0,0.0,4303.4,0.0,57679.0,0.4,0.0,8.0,2023-08-14 20:57:54,2023-08-14 20:57:54,components
mean,1.0,0.017,4303.4,0.0,2032.0,0.8,0.0,8.0,2023-08-14 20:58:11,2023-08-14 20:58:12,components
mean,2.0,0.0,4303.4,0.0,891.0,0.6,0.0,8.0,2023-08-14 20:58:31,2023-08-14 20:58:32,components
mean,3.0,0.0,4303.4,0.0,382.0,0.5,0.0,8.0,2023-08-14 20:58:49,2023-08-14 20:58:49,components
