y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_%,unrecognized_and_misclassified_%,unrecognized_misclassified_%,eta,subset_name,num_neurons,stage,thld
0,5997.0,334.0,0.0,0.0,0.0,0.0,1.0,0,components,8.0,train,relu
1,5997.0,32.0,0.0,0.0,0.0,0.0,1.0,0,components,8.0,train,relu
2,5997.0,315.0,0.0,0.0,0.0,0.0,1.0,0,components,8.0,train,relu
3,5997.0,169.0,0.0,0.0,0.0,0.0,1.0,0,components,8.0,train,relu
4,5994.0,309.0,0.0,0.0,0.0,0.0,1.0,0,components,8.0,train,relu
5,5996.0,27.0,0.0,0.0,0.0,0.0,1.0,0,components,8.0,train,relu
6,5995.0,812.0,0.0,0.0,0.0,0.0,1.0,0,components,8.0,train,relu
7,5998.0,179.0,0.0,0.0,0.0,0.0,1.0,0,components,8.0,train,relu
8,5999.0,22.0,1.0,1.0,0.0001666944490748458,1.0,0.045454545454545456,0,components,8.0,train,relu
9,5998.0,90.0,0.0,0.0,0.0,0.0,1.0,0,components,8.0,train,relu
all,59968.0,2289.0,1.0,1.0,1.667556029882604e-05,1.0,0.00043687199650502403,0,components,8.0,train,relu
0,5997.0,334.0,0.0,0.0,0.0,0.0,1.0,1,components,8.0,train,relu
1,5997.0,32.0,0.0,0.0,0.0,0.0,1.0,1,components,8.0,train,relu
2,5997.0,315.0,0.0,0.0,0.0,0.0,1.0,1,components,8.0,train,relu
3,5997.0,169.0,0.0,0.0,0.0,0.0,1.0,1,components,8.0,train,relu
4,5994.0,309.0,0.0,0.0,0.0,0.0,1.0,1,components,8.0,train,relu
5,5996.0,27.0,0.0,0.0,0.0,0.0,1.0,1,components,8.0,train,relu
6,5995.0,812.0,0.0,0.0,0.0,0.0,1.0,1,components,8.0,train,relu
7,5998.0,179.0,0.0,0.0,0.0,0.0,1.0,1,components,8.0,train,relu
8,5999.0,22.0,1.0,1.0,0.0001666944490748458,1.0,0.045454545454545456,1,components,8.0,train,relu
9,5998.0,90.0,0.0,0.0,0.0,0.0,1.0,1,components,8.0,train,relu
all,59968.0,2289.0,1.0,1.0,1.667556029882604e-05,1.0,0.00043687199650502403,1,components,8.0,train,relu
0,5997.0,334.0,0.0,0.0,0.0,0.0,1.0,2,components,8.0,train,relu
1,5997.0,32.0,0.0,0.0,0.0,0.0,1.0,2,components,8.0,train,relu
2,5997.0,315.0,0.0,0.0,0.0,0.0,1.0,2,components,8.0,train,relu
3,5997.0,169.0,0.0,0.0,0.0,0.0,1.0,2,components,8.0,train,relu
