number,value,datetime_start,datetime_complete,duration,params_batchsize,params_conv_filter_1,params_conv_filter_2,params_dropout_l,params_lr,params_n_layers_conv1,params_n_layers_conv2,params_n_layers_fc,params_n_units_l0,params_n_units_l1,params_n_units_l2,params_optimizer,state
61,0.9231692677070829,2023-04-10 00:12:11.539183,2023-04-10 00:13:03.877949,0 days 00:00:52.338766,119,61,4,0.17578166518664656,0.0004919153512392123,2,0,2,254,399.0,,Adam,COMPLETE
94,0.9225181598062954,2023-04-10 00:40:28.453459,2023-04-10 00:41:19.725864,0 days 00:00:51.272405,118,62,4,0.10002370903955368,0.0005535324111160639,2,0,2,292,386.0,,Adam,COMPLETE
47,0.9224774405250205,2023-04-10 00:00:02.325247,2023-04-10 00:00:53.527314,0 days 00:00:51.202067,106,69,4,0.12158960179933391,0.00433290272480498,3,0,2,321,228.0,,Adam,COMPLETE
104,0.9220672682526662,2023-04-10 00:48:46.936118,2023-04-10 00:49:36.095549,0 days 00:00:49.159431,106,67,4,0.10027865949056476,0.004526605001991324,2,0,2,341,380.0,,Adam,COMPLETE
114,0.9220183486238532,2023-04-10 00:57:30.505754,2023-04-10 00:58:28.711100,0 days 00:00:58.205346,109,84,5,0.1874784687123758,0.00295274914690967,2,0,2,337,392.0,,Adam,COMPLETE
103,0.9215607401448109,2023-04-10 00:47:57.295340,2023-04-10 00:48:46.931672,0 days 00:00:49.636332,113,66,4,0.20378247890225343,0.0007562904166788545,2,0,2,341,364.0,,Adam,COMPLETE
109,0.9207562349155269,2023-04-10 00:53:09.410687,2023-04-10 00:54:01.594921,0 days 00:00:52.184234,113,73,5,0.17403512938071658,0.0010674342494960659,2,0,2,343,379.0,,Adam,COMPLETE
41,0.9198347107438016,2023-04-09 23:55:10.455748,2023-04-09 23:56:02.095929,0 days 00:00:51.640181,121,50,4,0.12401450648342294,0.0014509233997528242,2,0,2,290,279.0,,Adam,COMPLETE
52,0.9197994987468672,2023-04-10 00:04:12.001974,2023-04-10 00:05:05.832857,0 days 00:00:53.830883,114,68,3,0.1186287735672113,0.00016843916258707829,2,0,2,273,398.0,,Adam,COMPLETE
113,0.9195162635529608,2023-04-10 00:56:35.150388,2023-04-10 00:57:30.502714,0 days 00:00:55.352326,109,83,5,0.1920224633502049,0.0011098197150964716,2,0,2,322,393.0,,Adam,COMPLETE
95,0.9188861985472155,2023-04-10 00:41:19.728634,2023-04-10 00:42:10.852430,0 days 00:00:51.123796,118,58,3,0.10630070528959029,0.0006076750908805453,2,0,2,360,390.0,,Adam,COMPLETE
71,0.9180124223602485,2023-04-10 00:20:42.461745,2023-04-10 00:21:31.531066,0 days 00:00:49.069321,115,66,3,0.1539119803889348,0.0004974695457996862,2,0,2,294,351.0,,Adam,COMPLETE
