optim,batchsize,lr,regularization,L2,L1,dropout,test_accuracy,test_loss,train_accuracy,train_loss,time
Adam,128.0,0.01,No Regularization,0.0,0.0,0.0,0.89000004529953,0.32614265382289886,0.922416627407074,0.20573869434759973,33.166
Adam,64.0,0.01,Dropout,0.0,0.0,0.3,0.8860000371932983,0.34907277673482895,0.903416633605957,0.26443809825689235,31.643
Adam,64.0,0.01,No Regularization,0.0,0.0,0.0,0.8820000290870667,0.3468712754547596,0.9200000166893005,0.2181687404976246,31.955
Adam,128.0,0.01,Dropout,0.0,0.0,0.3,0.8820000290870667,0.4132871925830841,0.902999997138977,0.25309245003030656,33.151
SGD,32.0,0.01,Elastic,0.001,0.001,0.0,0.8800000548362732,0.38925877399742603,0.9117500185966492,0.2757242828011513,46.623
SGD,32.0,0.01,Elastic-Dropout,0.001,0.001,0.3,0.878000020980835,0.39488503988832235,0.8740833401679993,0.38038628341754277,41.048
SGD,32.0,0.01,No Regularization,0.0,0.0,0.0,0.8720000386238098,0.40617364179342985,0.9264166355133057,0.23609470464785895,49.189
Adam,256.0,0.01,No Regularization,0.0,0.0,0.0,0.8700000643730164,0.3553801029920578,0.9177500009536743,0.22497329147572212,37.833
SGD,32.0,0.01,L1,0.0,0.001,0.0,0.8700000643730164,0.3800250692293048,0.918666660785675,0.2594072175423304,51.503
SGD,64.0,0.01,L1,0.0,0.001,0.0,0.8700000643730164,0.42795977368950844,0.9225833415985107,0.27601872606480377,28.683
SGD,64.0,0.01,Elastic,0.01,0.001,0.0,0.8700000643730164,0.45288604125380516,0.918833315372467,0.34285595553352477,31.778
Adam,256.0,0.01,Dropout,0.0,0.0,0.3,0.8680000305175781,0.36851704120635986,0.9039166569709778,0.2529913947937336,37.773
SGD,32.0,0.01,L1-Dropout,0.0,0.001,0.3,0.8680000305175781,0.3839108878746629,0.8725833296775818,0.3728800965547562,38.196
Adam,32.0,0.01,No Regularization,0.0,0.0,0.0,0.8680000305175781,0.3973491145297885,0.9079999923706055,0.2507601169645786,46.775
SGD,128.0,0.01,No Regularization,0.0,0.0,0.0,0.8680000305175781,0.4585760459303856,0.90666663646698,0.3671403023156714,32.469
SGD,32.0,0.01,L2-Dropout,0.001,0.0,0.3,0.8660000562667847,0.3686519181355834,0.871749997138977,0.3760373565753301,36.044
SGD,32.0,0.01,Dropout,0.0,0.0,0.3,0.8640000224113464,0.39699005242437124,0.8704166412353516,0.38701404996713,61.37
SGD,32.0,0.01,L2-Dropout,0.01,0.0,0.3,0.8600000143051147,0.41851695254445076,0.871999979019165,0.43401901292800904,36.439
SGD,64.0,0.01,L1-Dropout,0.0,0.001,0.3,0.8580000400543213,0.4189581610262394,0.8628333210945129,0.4338396774961593,38.711
