thld,eta,build_time_min,size_mb,reorder_time_min,num_patterns,num_unique_patterns_%,num_reorder,num_neurons,start_time,end_time,subset_name
qth_0.75,0.0,34.567,5228.2,0.0,65757.0,64.5,0.0,150.0,2023-08-27 15:28:11,2023-08-27 16:02:46,
qth_0.75,1.0,3351.5,5264.6,0.0,6363150.0,100.0,0.0,150.0,2023-08-27 17:03:18,2023-08-30 00:54:49,
qth_0.75,2.0,1862.1,5264.6,0.0,3945426.0,100.0,0.0,150.0,2023-08-30 01:28:34,2023-08-31 08:30:41,
qth_0.75,3.0,590.117,5264.6,0.0,2733777.0,100.0,0.0,150.0,2023-08-31 08:54:25,2023-08-31 18:44:33,
qth_0.75,0.0,0.633,4318.5,0.0,65757.0,59.2,0.0,39.0,2023-08-27 15:28:14,2023-08-27 15:28:52,components
qth_0.75,1.0,38.583,4333.5,0.0,1518855.0,98.4,0.0,39.0,2023-08-27 15:30:57,2023-08-27 16:09:32,components
qth_0.75,2.0,22.8,4345.6,0.0,931107.0,99.7,0.0,39.0,2023-08-27 16:11:32,2023-08-27 16:34:21,components
qth_0.75,3.0,15.7,4348.2,0.0,635865.0,99.9,0.0,39.0,2023-08-27 16:36:23,2023-08-27 16:52:06,components
qth_0.5,0.0,38.033,5274.2,0.0,65757.0,64.5,0.0,150.0,2023-08-27 15:28:16,2023-08-27 16:06:19,
qth_0.5,1.0,3651.05,5424.5,0.0,6363150.0,100.0,0.0,150.0,2023-08-27 17:09:50,2023-08-30 06:00:55,
qth_0.5,2.0,1599.367,5424.5,0.0,3167768.0,100.0,0.0,150.0,2023-08-30 06:37:29,2023-08-31 09:16:51,
qth_0.5,3.0,431.767,5424.5,0.0,1571569.0,100.0,0.0,150.0,2023-08-31 09:42:25,2023-08-31 16:54:12,
qth_0.5,0.0,1.117,4332.4,0.0,65757.0,61.8,0.0,39.0,2023-08-27 15:28:16,2023-08-27 15:29:23,components
qth_0.5,1.0,51.883,4351.1,0.0,1586091.0,99.2,0.0,39.0,2023-08-27 15:32:03,2023-08-27 16:23:56,components
qth_0.5,2.0,25.1,4351.1,0.0,778373.0,99.8,0.0,39.0,2023-08-27 16:26:33,2023-08-27 16:51:39,components
qth_0.5,3.0,10.483,4351.1,0.0,377626.0,100.0,0.0,39.0,2023-08-27 16:54:16,2023-08-27 17:04:46,components
qth_0.25,0.0,35.433,5250.4,0.0,65757.0,64.5,0.0,150.0,2023-08-27 15:28:29,2023-08-27 16:03:56,
qth_0.25,1.0,3432.933,5263.7,0.0,6362700.0,100.0,0.0,150.0,2023-08-27 17:04:06,2023-08-30 02:17:02,
qth_0.25,2.0,1841.233,5263.7,0.0,3938366.0,100.0,0.0,150.0,2023-08-30 02:51:11,2023-08-31 09:32:26,
qth_0.25,3.0,544.15,5263.7,0.0,2727456.0,100.0,0.0,150.0,2023-08-31 09:55:59,2023-08-31 19:00:09,
qth_0.25,0.0,0.867,4329.5,0.0,65757.0,59.2,0.0,39.0,2023-08-27 15:28:30,2023-08-27 15:29:23,components
qth_0.25,1.0,39.033,4334.0,0.0,1519050.0,98.3,0.0,39.0,2023-08-27 15:31:34,2023-08-27 16:10:37,components
qth_0.25,2.0,22.95,4336.6,0.0,929479.0,99.7,0.0,39.0,2023-08-27 16:12:38,2023-08-27 16:35:36,components
qth_0.25,3.0,15.517,4346.0,0.0,635652.0,99.9,0.0,39.0,2023-08-27 16:37:41,2023-08-27 16:53:12,components
relu,0.0,38.833,5270.8,0.0,65757.0,64.5,0.0,150.0,2023-08-27 15:28:56,2023-08-27 16:07:48,
relu,1.0,3714.767,5423.9,0.0,6362400.0,100.0,0.0,150.0,2023-08-27 17:11:30,2023-08-30 07:06:17,
relu,2.0,1578.45,5423.9,0.0,3167689.0,100.0,0.0,150.0,2023-08-30 07:43:05,2023-08-31 10:01:33,
relu,3.0,420.383,5423.9,0.0,1572166.0,100.0,0.0,150.0,2023-08-31 10:23:47,2023-08-31 17:24:11,
relu,0.0,1.25,4332.6,0.0,65757.0,61.8,0.0,39.0,2023-08-27 15:28:59,2023-08-27 15:30:14,components
relu,1.0,52.233,4351.1,0.0,1584648.0,99.2,0.0,39.0,2023-08-27 15:32:53,2023-08-27 16:25:07,components
relu,2.0,25.05,4351.1,0.0,778142.0,99.8,0.0,39.0,2023-08-27 16:27:43,2023-08-27 16:52:47,components
relu,3.0,10.583,4351.1,0.0,378244.0,100.0,0.0,39.0,2023-08-27 16:55:18,2023-08-27 17:05:53,components
mean,0.0,38.483,5263.5,0.0,65757.0,64.5,0.0,150.0,2023-08-27 15:29:12,2023-08-27 16:07:42,
mean,1.0,3719.033,5290.3,0.0,6362700.0,100.0,0.0,150.0,2023-08-27 17:11:22,2023-08-30 07:10:25,
mean,2.0,1576.067,5425.0,0.0,3168204.0,100.0,0.0,150.0,2023-08-30 07:47:02,2023-08-31 10:03:07,
mean,3.0,421.25,5425.0,0.0,1572584.0,100.0,0.0,150.0,2023-08-31 10:25:09,2023-08-31 17:26:25,
mean,0.0,1.233,4332.5,0.0,65757.0,61.8,0.0,39.0,2023-08-27 15:29:12,2023-08-27 15:30:27,components
mean,1.0,51.633,4351.0,0.0,1584960.0,99.2,0.0,39.0,2023-08-27 15:33:03,2023-08-27 16:24:42,components
mean,2.0,25.183,4351.0,0.0,778536.0,99.8,0.0,39.0,2023-08-27 16:27:17,2023-08-27 16:52:29,components
mean,3.0,10.517,4351.0,0.0,378578.0,100.0,0.0,39.0,2023-08-27 16:55:03,2023-08-27 17:05:35,components
