thld,eta,build_time_min,size_mb,reorder_time_min,num_patterns,num_unique_patterns_%,num_reorder,num_neurons,start_time,end_time,subset_name
qth_0.75,0.0,84.75,4791.3,0.0,65757.0,64.4,0.0,150.0,2023-08-17 07:42:18,2023-08-17 09:07:05,
qth_0.75,1.0,8593.783,5203.9,0.0,6357000.0,100.0,0.0,150.0,2023-08-17 11:51:18,2023-08-23 11:05:07,
qth_0.75,2.0,4362.05,5204.2,0.0,4022992.0,100.0,0.0,150.0,2023-08-23 12:45:22,2023-08-26 13:27:26,
qth_0.75,3.0,1244.883,5204.2,0.0,2869963.0,100.0,0.0,150.0,2023-08-26 14:15:20,2023-08-27 11:00:14,
qth_0.75,0.0,14.633,4412.7,0.0,65757.0,63.3,0.0,74.0,2023-08-17 07:42:21,2023-08-17 07:57:00,gte_mean
qth_0.75,1.0,1097.217,4512.2,0.0,3078030.0,99.8,0.0,74.0,2023-08-17 08:28:22,2023-08-18 02:45:35,gte_mean
qth_0.75,2.0,677.55,4513.1,0.0,1943191.0,100.0,0.0,74.0,2023-08-18 03:13:43,2023-08-18 14:31:17,gte_mean
qth_0.75,3.0,433.033,4513.1,0.0,1377815.0,100.0,0.0,74.0,2023-08-18 14:57:15,2023-08-18 22:10:18,gte_mean
qth_0.75,0.0,4.85,4334.6,0.0,65757.0,59.7,0.0,50.0,2023-08-17 07:42:25,2023-08-17 07:47:17,top_third
qth_0.75,1.0,248.167,4370.7,0.0,1961800.0,98.9,0.0,50.0,2023-08-17 07:58:52,2023-08-17 12:07:03,top_third
qth_0.75,2.0,145.517,4378.0,0.0,1221513.0,99.8,0.0,50.0,2023-08-17 12:16:52,2023-08-17 14:42:24,top_third
qth_0.75,3.0,100.967,4380.3,0.0,857345.0,100.0,0.0,50.0,2023-08-17 14:52:10,2023-08-17 16:33:09,top_third
qth_0.5,0.0,97.033,5208.2,0.0,65757.0,64.5,0.0,150.0,2023-08-17 07:42:33,2023-08-17 09:19:37,
qth_0.5,1.0,10063.783,5232.7,0.0,6359100.0,100.0,0.0,150.0,2023-08-17 12:15:19,2023-08-24 11:59:07,
qth_0.5,2.0,3339.733,5232.7,0.0,3181533.0,100.0,0.0,150.0,2023-08-24 13:47:19,2023-08-26 21:27:04,
qth_0.5,3.0,689.0,5232.7,0.0,1624568.0,100.0,0.0,150.0,2023-08-26 22:10:33,2023-08-27 09:39:33,
qth_0.5,0.0,18.85,4520.1,0.0,65757.0,64.2,0.0,74.0,2023-08-17 07:42:36,2023-08-17 08:01:28,gte_mean
qth_0.5,1.0,1460.95,4527.9,0.0,3126056.0,99.9,0.0,74.0,2023-08-17 08:36:41,2023-08-18 08:57:38,gte_mean
qth_0.5,2.0,674.35,4530.2,0.0,1573192.0,100.0,0.0,74.0,2023-08-18 09:32:26,2023-08-18 20:46:48,gte_mean
qth_0.5,3.0,321.6,4530.2,0.0,808378.0,100.0,0.0,74.0,2023-08-18 21:17:20,2023-08-19 02:38:57,gte_mean
qth_0.5,0.0,6.883,4377.8,0.0,65757.0,62.9,0.0,50.0,2023-08-17 07:42:38,2023-08-17 07:49:33,top_third
qth_0.5,1.0,364.217,4379.2,0.0,2069350.0,99.6,0.0,50.0,2023-08-17 08:03:08,2023-08-17 14:07:22,top_third
qth_0.5,2.0,175.033,4379.7,0.0,1014102.0,99.9,0.0,50.0,2023-08-17 14:20:56,2023-08-17 17:15:59,top_third
