thld,eta,build_time_min,size_mb,reorder_time_min,num_patterns,num_unique_patterns_%,num_reorder,num_neurons,start_time,end_time,subset_name
qth_0.75,0.0,70.35,4783.5,0.0,61740.0,63.7,0.0,150.0,2023-08-16 18:50:33,2023-08-16 20:00:55,
qth_0.75,1.0,7978.567,5196.3,0.0,5897400.0,100.0,0.0,150.0,2023-08-16 22:23:39,2023-08-22 11:22:15,
qth_0.75,2.0,4688.767,5197.6,0.0,3739378.0,100.0,0.0,150.0,2023-08-22 13:02:10,2023-08-25 19:10:57,
qth_0.75,3.0,1785.867,5197.6,0.0,2673010.0,100.0,0.0,150.0,2023-08-25 20:15:26,2023-08-27 02:01:18,
qth_0.75,0.0,12.183,4410.6,0.0,61740.0,62.6,0.0,74.0,2023-08-16 18:50:34,2023-08-16 19:02:46,gte_mean
qth_0.75,1.0,981.467,4509.7,0.0,2858768.0,99.8,0.0,74.0,2023-08-16 19:30:45,2023-08-17 11:52:13,gte_mean
qth_0.75,2.0,645.917,4510.1,0.0,1808750.0,100.0,0.0,74.0,2023-08-17 12:20:23,2023-08-17 23:06:19,gte_mean
qth_0.75,3.0,457.267,4510.1,0.0,1285504.0,100.0,0.0,74.0,2023-08-17 23:34:20,2023-08-18 07:11:37,gte_mean
qth_0.75,0.0,4.05,4334.0,0.0,61740.0,59.3,0.0,50.0,2023-08-16 18:50:36,2023-08-16 18:54:40,top_third
qth_0.75,1.0,205.5,4370.5,0.0,1829550.0,98.9,0.0,50.0,2023-08-16 19:05:03,2023-08-16 22:30:34,top_third
qth_0.75,2.0,122.05,4373.1,0.0,1140886.0,99.8,0.0,50.0,2023-08-16 22:39:30,2023-08-17 00:41:34,top_third
qth_0.75,3.0,97.95,4376.5,0.0,801942.0,100.0,0.0,50.0,2023-08-17 00:51:42,2023-08-17 02:29:40,top_third
qth_0.5,0.0,81.1,5199.8,0.0,61740.0,63.7,0.0,150.0,2023-08-16 18:50:44,2023-08-16 20:11:51,
qth_0.5,1.0,9417.217,5222.4,0.0,5900400.0,100.0,0.0,150.0,2023-08-16 22:44:28,2023-08-23 11:41:43,
qth_0.5,2.0,3903.267,5222.4,0.0,2952287.0,100.0,0.0,150.0,2023-08-23 13:34:49,2023-08-26 06:38:05,
qth_0.5,3.0,1042.533,5222.4,0.0,1507306.0,100.0,0.0,150.0,2023-08-26 07:50:29,2023-08-27 01:13:01,
qth_0.5,0.0,15.933,4519.1,0.0,61740.0,63.5,0.0,74.0,2023-08-16 18:50:56,2023-08-16 19:06:52,gte_mean
qth_0.5,1.0,1314.667,4525.3,0.0,2899246.0,99.9,0.0,74.0,2023-08-16 19:38:17,2023-08-17 17:32:58,gte_mean
qth_0.5,2.0,679.75,4526.3,0.0,1459373.0,100.0,0.0,74.0,2023-08-17 18:07:57,2023-08-18 05:27:43,gte_mean
qth_0.5,3.0,347.55,4526.3,0.0,750112.0,100.0,0.0,74.0,2023-08-18 06:02:29,2023-08-18 11:50:03,gte_mean
qth_0.5,0.0,5.783,4376.5,0.0,61740.0,62.3,0.0,50.0,2023-08-16 18:50:57,2023-08-16 18:56:45,top_third
qth_0.5,1.0,297.45,4378.2,0.0,1922100.0,99.6,0.0,50.0,2023-08-16 19:08:56,2023-08-17 00:06:24,top_third
qth_0.5,2.0,163.517,4378.2,0.0,941574.0,99.9,0.0,50.0,2023-08-17 00:16:59,2023-08-17 03:00:30,top_third
qth_0.5,3.0,78.717,4385.3,0.0,463181.0,100.0,0.0,50.0,2023-08-17 03:14:06,2023-08-17 04:32:49,top_third
qth_0.25,0.0,74.133,5158.9,0.0,61740.0,63.7,0.0,150.0,2023-08-16 18:51:07,2023-08-16 20:05:17,
qth_0.25,1.0,8652.95,5212.3,0.0,5899650.0,100.0,0.0,150.0,2023-08-16 22:24:38,2023-08-22 22:37:36,
qth_0.25,2.0,4558.317,5212.3,0.0,3713897.0,100.0,0.0,150.0,2023-08-23 00:20:04,2023-08-26 04:18:24,
qth_0.25,3.0,1434.617,5212.3,0.0,2622492.0,100.0,0.0,150.0,2023-08-26 05:23:41,2023-08-27 05:18:18,
