y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_%,unrecognized_and_misclassified_%,unrecognized_misclassified_%,eta,subset_name,num_neurons,stage,thld
0,1538.0,33.0,30.0,30.0,0.01950585175552666,1.0,0.9090909090909091,0,components,39.0,train,qth_0.75
1,1483.0,96.0,94.0,94.0,0.0633850303438975,1.0,0.9791666666666666,0,components,39.0,train,qth_0.75
2,1473.0,94.0,89.0,89.0,0.06042090970807875,1.0,0.9468085106382979,0,components,39.0,train,qth_0.75
3,1478.0,74.0,71.0,71.0,0.04803788903924222,1.0,0.9594594594594594,0,components,39.0,train,qth_0.75
4,1528.0,79.0,76.0,76.0,0.049738219895287955,1.0,0.9620253164556962,0,components,39.0,train,qth_0.75
5,1401.0,119.0,115.0,115.0,0.08208422555317631,1.0,0.9663865546218487,0,components,39.0,train,qth_0.75
6,1521.0,20.0,19.0,19.0,0.012491781722550954,1.0,0.95,0,components,39.0,train,qth_0.75
7,1508.0,53.0,53.0,53.0,0.035145888594164454,1.0,1.0,0,components,39.0,train,qth_0.75
8,1497.0,75.0,73.0,73.0,0.04876419505678023,1.0,0.9733333333333334,0,components,39.0,train,qth_0.75
9,1521.0,29.0,29.0,29.0,0.0190664036817883,1.0,1.0,0,components,39.0,train,qth_0.75
10,1447.0,23.0,23.0,23.0,0.015894955079474776,1.0,1.0,0,components,39.0,train,qth_0.75
11,1485.0,40.0,37.0,37.0,0.024915824915824916,1.0,0.925,0,components,39.0,train,qth_0.75
12,1478.0,9.0,7.0,7.0,0.004736129905277402,1.0,0.7777777777777778,0,components,39.0,train,qth_0.75
13,1477.0,6.0,6.0,6.0,0.004062288422477996,1.0,1.0,0,components,39.0,train,qth_0.75
14,1485.0,3.0,3.0,3.0,0.00202020202020202,1.0,1.0,0,components,39.0,train,qth_0.75
15,1460.0,18.0,15.0,15.0,0.010273972602739725,1.0,0.8333333333333334,0,components,39.0,train,qth_0.75
16,1455.0,17.0,16.0,16.0,0.010996563573883162,1.0,0.9411764705882353,0,components,39.0,train,qth_0.75
17,1478.0,2.0,1.0,1.0,0.0006765899864682003,1.0,0.5,0,components,39.0,train,qth_0.75
18,1563.0,42.0,35.0,35.0,0.022392834293026232,1.0,0.8333333333333334,0,components,39.0,train,qth_0.75
19,1504.0,95.0,87.0,87.0,0.05784574468085106,1.0,0.9157894736842105,0,components,39.0,train,qth_0.75
20,1496.0,73.0,71.0,71.0,0.047459893048128345,1.0,0.9726027397260274,0,components,39.0,train,qth_0.75
21,1455.0,57.0,46.0,46.0,0.03161512027491409,1.0,0.8070175438596491,0,components,39.0,train,qth_0.75
22,1527.0,21.0,19.0,19.0,0.012442698100851343,1.0,0.9047619047619048,0,components,39.0,train,qth_0.75
23,1467.0,49.0,42.0,42.0,0.028629856850715747,1.0,0.8571428571428571,0,components,39.0,train,qth_0.75
24,1486.0,35.0,33.0,33.0,0.02220726783310902,1.0,0.9428571428571428,0,components,39.0,train,qth_0.75
25,1503.0,58.0,53.0,53.0,0.03526280771789754,1.0,0.9137931034482759,0,components,39.0,train,qth_0.75
26,1532.0,11.0,8.0,8.0,0.005221932114882507,1.0,0.7272727272727273,0,components,39.0,train,qth_0.75
27,1519.0,32.0,27.0,27.0,0.017774851876234364,1.0,0.84375,0,components,39.0,train,qth_0.75
28,1496.0,40.0,33.0,33.0,0.022058823529411766,1.0,0.825,0,components,39.0,train,qth_0.75
29,1496.0,22.0,18.0,18.0,0.012032085561497326,1.0,0.8181818181818182,0,components,39.0,train,qth_0.75
30,1508.0,16.0,13.0,13.0,0.008620689655172414,1.0,0.8125,0,components,39.0,train,qth_0.75
31,1472.0,68.0,61.0,61.0,0.041440217391304345,1.0,0.8970588235294118,0,components,39.0,train,qth_0.75
32,1473.0,23.0,22.0,22.0,0.01493550577053632,1.0,0.9565217391304348,0,components,39.0,train,qth_0.75
33,1464.0,129.0,127.0,127.0,0.08674863387978142,1.0,0.9844961240310077,0,components,39.0,train,qth_0.75
34,1519.0,82.0,76.0,76.0,0.050032916392363395,1.0,0.926829268292683,0,components,39.0,train,qth_0.75
35,1492.0,25.0,24.0,24.0,0.0160857908847185,1.0,0.96,0,components,39.0,train,qth_0.75
36,1484.0,98.0,93.0,93.0,0.06266846361185983,1.0,0.9489795918367347,0,components,39.0,train,qth_0.75
37,1475.0,149.0,142.0,142.0,0.09627118644067796,1.0,0.9530201342281879,0,components,39.0,train,qth_0.75
38,1401.0,129.0,124.0,124.0,0.08850820842255532,1.0,0.9612403100775194,0,components,39.0,train,qth_0.75
39,1541.0,91.0,90.0,90.0,0.058403634003893576,1.0,0.989010989010989,0,components,39.0,train,qth_0.75
40,1489.0,16.0,14.0,14.0,0.009402283411685695,1.0,0.875,0,components,39.0,train,qth_0.75
41,1461.0,53.0,53.0,53.0,0.03627652292950034,1.0,1.0,0,components,39.0,train,qth_0.75
