y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_and_classified,NPR,NPV,specificity,eta,subset_name,num_neurons,stage,thld
0,1538,22,7,7,0,0.0045513654096228,1.0,0.3181818181818182,0,,30,train,qth_0.75
1,1483,83,62,62,0,0.0418071476736345,1.0,0.7469879518072289,0,,30,train,qth_0.75
2,1473,85,62,62,0,0.042090970807875,1.0,0.7294117647058823,0,,30,train,qth_0.75
3,1478,68,48,48,0,0.0324763193504736,1.0,0.7058823529411765,0,,30,train,qth_0.75
4,1528,75,40,40,0,0.0261780104712041,1.0,0.5333333333333333,0,,30,train,qth_0.75
5,1401,150,109,109,0,0.0778015703069236,1.0,0.7266666666666667,0,,30,train,qth_0.75
6,1521,13,13,13,0,0.0085470085470085,1.0,1.0,0,,30,train,qth_0.75
7,1508,58,33,33,0,0.0218832891246684,1.0,0.5689655172413793,0,,30,train,qth_0.75
8,1497,30,20,20,0,0.0133600534402137,1.0,0.6666666666666666,0,,30,train,qth_0.75
9,1521,29,25,25,0,0.0164365548980933,1.0,0.8620689655172413,0,,30,train,qth_0.75
10,1447,29,21,21,0,0.0145127850725639,1.0,0.7241379310344828,0,,30,train,qth_0.75
11,1485,27,15,15,0,0.0101010101010101,1.0,0.5555555555555556,0,,30,train,qth_0.75
12,1478,13,9,9,0,0.0060893098782138,1.0,0.6923076923076923,0,,30,train,qth_0.75
13,1477,8,7,7,0,0.0047393364928909,1.0,0.875,0,,30,train,qth_0.75
14,1485,0,0,0,0,0.0,0.0,,0,,30,train,qth_0.75
15,1460,10,4,4,0,0.0027397260273972,1.0,0.4,0,,30,train,qth_0.75
16,1455,9,8,8,0,0.0054982817869415,1.0,0.8888888888888888,0,,30,train,qth_0.75
17,1478,1,0,0,0,0.0,0.0,0.0,0,,30,train,qth_0.75
18,1563,28,11,11,0,0.0070377479206653,1.0,0.39285714285714285,0,,30,train,qth_0.75
19,1504,78,39,39,0,0.0259308510638297,1.0,0.5,0,,30,train,qth_0.75
20,1496,77,36,36,0,0.0240641711229946,1.0,0.4675324675324675,0,,30,train,qth_0.75
21,1455,43,17,17,0,0.0116838487972508,1.0,0.3953488372093023,0,,30,train,qth_0.75
22,1527,19,8,8,0,0.0052390307793058,1.0,0.42105263157894735,0,,30,train,qth_0.75
23,1467,27,8,8,0,0.0054533060668029,1.0,0.2962962962962963,0,,30,train,qth_0.75
24,1486,23,8,8,0,0.0053835800807537,1.0,0.34782608695652173,0,,30,train,qth_0.75
25,1503,56,29,29,0,0.019294743845642,1.0,0.5178571428571429,0,,30,train,qth_0.75
26,1532,16,6,6,0,0.0039164490861618,1.0,0.375,0,,30,train,qth_0.75
27,1519,28,7,7,0,0.0046082949308755,1.0,0.25,0,,30,train,qth_0.75
28,1496,30,14,14,0,0.0093582887700534,1.0,0.4666666666666667,0,,30,train,qth_0.75
29,1496,17,4,4,0,0.0026737967914438,1.0,0.23529411764705882,0,,30,train,qth_0.75
30,1508,12,7,7,0,0.0046419098143236,1.0,0.5833333333333334,0,,30,train,qth_0.75
31,1472,62,30,30,0,0.0203804347826086,1.0,0.4838709677419355,0,,30,train,qth_0.75
32,1473,15,11,11,0,0.0074677528852681,1.0,0.7333333333333333,0,,30,train,qth_0.75
33,1464,145,134,134,0,0.0915300546448087,1.0,0.9241379310344827,0,,30,train,qth_0.75
34,1519,97,92,92,0,0.0605661619486504,1.0,0.9484536082474226,0,,30,train,qth_0.75
35,1492,11,9,9,0,0.0060321715817694,1.0,0.8181818181818182,0,,30,train,qth_0.75
36,1484,119,86,86,0,0.0579514824797843,1.0,0.7226890756302521,0,,30,train,qth_0.75
37,1475,100,82,82,0,0.055593220338983,1.0,0.82,0,,30,train,qth_0.75
38,1401,93,84,84,0,0.0599571734475374,1.0,0.9032258064516129,0,,30,train,qth_0.75
39,1541,111,102,102,0,0.0661907852044127,1.0,0.918918918918919,0,,30,train,qth_0.75
40,1489,21,20,20,0,0.0134318334452652,1.0,0.9523809523809523,0,,30,train,qth_0.75
41,1461,23,19,19,0,0.0130047912388774,1.0,0.8260869565217391,0,,30,train,qth_0.75
42,1432,22,20,20,0,0.0139664804469273,1.0,0.9090909090909091,0,,30,train,qth_0.75
all,63968,1983,1366,1366,0,0.0213544272136068,1.0,0.6888552697932425,0,,30,train,qth_0.75
0,1538,22,7,7,0,0.0045513654096228,1.0,0.3181818181818182,1,,30,train,qth_0.75
1,1483,83,62,62,0,0.0418071476736345,1.0,0.7469879518072289,1,,30,train,qth_0.75
2,1473,85,62,62,0,0.042090970807875,1.0,0.7294117647058823,1,,30,train,qth_0.75
3,1478,68,48,48,0,0.0324763193504736,1.0,0.7058823529411765,1,,30,train,qth_0.75
4,1528,75,40,40,0,0.0261780104712041,1.0,0.5333333333333333,1,,30,train,qth_0.75
5,1401,150,109,109,0,0.0778015703069236,1.0,0.7266666666666667,1,,30,train,qth_0.75
6,1521,13,13,13,0,0.0085470085470085,1.0,1.0,1,,30,train,qth_0.75
7,1508,58,33,33,0,0.0218832891246684,1.0,0.5689655172413793,1,,30,train,qth_0.75
8,1497,30,20,20,0,0.0133600534402137,1.0,0.6666666666666666,1,,30,train,qth_0.75
9,1521,29,25,25,0,0.0164365548980933,1.0,0.8620689655172413,1,,30,train,qth_0.75
10,1447,29,21,21,0,0.0145127850725639,1.0,0.7241379310344828,1,,30,train,qth_0.75
11,1485,27,15,15,0,0.0101010101010101,1.0,0.5555555555555556,1,,30,train,qth_0.75
12,1478,13,9,9,0,0.0060893098782138,1.0,0.6923076923076923,1,,30,train,qth_0.75
13,1477,8,7,7,0,0.0047393364928909,1.0,0.875,1,,30,train,qth_0.75
14,1485,0,0,0,0,0.0,0.0,,1,,30,train,qth_0.75
15,1460,10,4,4,0,0.0027397260273972,1.0,0.4,1,,30,train,qth_0.75
16,1455,9,8,8,0,0.0054982817869415,1.0,0.8888888888888888,1,,30,train,qth_0.75
17,1478,1,0,0,0,0.0,0.0,0.0,1,,30,train,qth_0.75
18,1563,28,11,11,0,0.0070377479206653,1.0,0.39285714285714285,1,,30,train,qth_0.75
19,1504,78,39,39,0,0.0259308510638297,1.0,0.5,1,,30,train,qth_0.75
20,1496,77,36,36,0,0.0240641711229946,1.0,0.4675324675324675,1,,30,train,qth_0.75
21,1455,43,17,17,0,0.0116838487972508,1.0,0.3953488372093023,1,,30,train,qth_0.75
22,1527,19,8,8,0,0.0052390307793058,1.0,0.42105263157894735,1,,30,train,qth_0.75
23,1467,27,8,8,0,0.0054533060668029,1.0,0.2962962962962963,1,,30,train,qth_0.75
24,1486,23,8,8,0,0.0053835800807537,1.0,0.34782608695652173,1,,30,train,qth_0.75
