y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_and_classified,NPR,NPV,specificity,eta,subset_name,num_neurons,stage,thld
0,1538,22,4,4,0,0.0026007802340702,1.0,0.18181818181818182,0,gte_mean,17,train,mean
1,1483,83,42,42,0,0.0283209710047201,1.0,0.5060240963855421,0,gte_mean,17,train,mean
2,1473,85,29,29,0,0.0196877121520706,1.0,0.3411764705882353,0,gte_mean,17,train,mean
3,1478,68,33,33,0,0.0223274695534506,1.0,0.4852941176470588,0,gte_mean,17,train,mean
4,1528,75,47,47,0,0.0307591623036649,1.0,0.6266666666666667,0,gte_mean,17,train,mean
5,1401,150,56,56,0,0.0399714489650249,1.0,0.37333333333333335,0,gte_mean,17,train,mean
6,1521,13,9,9,0,0.0059171597633136,1.0,0.6923076923076923,0,gte_mean,17,train,mean
7,1508,58,28,28,0,0.0185676392572944,1.0,0.4827586206896552,0,gte_mean,17,train,mean
8,1497,30,17,17,0,0.0113560454241816,1.0,0.5666666666666667,0,gte_mean,17,train,mean
9,1521,29,17,17,0,0.0111768573307034,1.0,0.5862068965517241,0,gte_mean,17,train,mean
10,1447,29,15,15,0,0.0103662750518313,1.0,0.5172413793103449,0,gte_mean,17,train,mean
11,1485,27,9,9,0,0.006060606060606,1.0,0.3333333333333333,0,gte_mean,17,train,mean
12,1478,13,9,9,0,0.0060893098782138,1.0,0.6923076923076923,0,gte_mean,17,train,mean
13,1477,8,5,5,0,0.0033852403520649,1.0,0.625,0,gte_mean,17,train,mean
14,1485,0,0,0,0,0.0,0.0,,0,gte_mean,17,train,mean
15,1460,10,2,2,0,0.0013698630136986,1.0,0.2,0,gte_mean,17,train,mean
16,1455,9,5,5,0,0.0034364261168384,1.0,0.5555555555555556,0,gte_mean,17,train,mean
17,1478,1,0,0,0,0.0,0.0,0.0,0,gte_mean,17,train,mean
18,1563,28,10,10,0,0.0063979526551503,1.0,0.35714285714285715,0,gte_mean,17,train,mean
19,1504,78,12,12,0,0.0079787234042553,1.0,0.15384615384615385,0,gte_mean,17,train,mean
20,1496,77,23,23,0,0.0153743315508021,1.0,0.2987012987012987,0,gte_mean,17,train,mean
21,1455,43,11,11,0,0.0075601374570446,1.0,0.2558139534883721,0,gte_mean,17,train,mean
