y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_and_classified,NPR,NPV,specificity,eta,subset_name,num_neurons,stage,thld
0,1538,22,0,0,0,0.0,0.0,0.0,0,gte_mean,17,train,qth_0.25
1,1483,83,4,4,0,0.0026972353337828,1.0,0.04819277108433735,0,gte_mean,17,train,qth_0.25
2,1473,85,7,7,0,0.0047522063815342,1.0,0.08235294117647059,0,gte_mean,17,train,qth_0.25
3,1478,68,5,5,0,0.003382949932341,1.0,0.07352941176470588,0,gte_mean,17,train,qth_0.25
4,1528,75,0,0,0,0.0,0.0,0.0,0,gte_mean,17,train,qth_0.25
5,1401,150,12,12,0,0.0085653104925053,1.0,0.08,0,gte_mean,17,train,qth_0.25
6,1521,13,0,0,0,0.0,0.0,0.0,0,gte_mean,17,train,qth_0.25
7,1508,58,4,4,0,0.0026525198938992,1.0,0.06896551724137931,0,gte_mean,17,train,qth_0.25
8,1497,30,3,3,0,0.002004008016032,1.0,0.1,0,gte_mean,17,train,qth_0.25
9,1521,29,5,5,0,0.0032873109796186,1.0,0.1724137931034483,0,gte_mean,17,train,qth_0.25
10,1447,29,2,2,0,0.0013821700069108,1.0,0.06896551724137931,0,gte_mean,17,train,qth_0.25
11,1485,27,0,0,0,0.0,0.0,0.0,0,gte_mean,17,train,qth_0.25
12,1478,13,0,0,0,0.0,0.0,0.0,0,gte_mean,17,train,qth_0.25
13,1477,8,1,1,0,0.0006770480704129,1.0,0.125,0,gte_mean,17,train,qth_0.25
14,1485,0,0,0,0,0.0,0.0,,0,gte_mean,17,train,qth_0.25
15,1460,10,1,1,0,0.0006849315068493,1.0,0.1,0,gte_mean,17,train,qth_0.25
16,1455,9,0,0,0,0.0,0.0,0.0,0,gte_mean,17,train,qth_0.25
17,1478,1,0,0,0,0.0,0.0,0.0,0,gte_mean,17,train,qth_0.25
18,1563,28,2,2,0,0.00127959053103,1.0,0.07142857142857142,0,gte_mean,17,train,qth_0.25
19,1504,78,11,11,0,0.007313829787234,1.0,0.14102564102564102,0,gte_mean,17,train,qth_0.25
20,1496,77,5,5,0,0.0033422459893048,1.0,0.06493506493506493,0,gte_mean,17,train,qth_0.25
21,1455,43,2,2,0,0.0013745704467353,1.0,0.046511627906976744,0,gte_mean,17,train,qth_0.25
22,1527,19,1,1,0,0.0006548788474132,1.0,0.05263157894736842,0,gte_mean,17,train,qth_0.25
23,1467,27,0,0,0,0.0,0.0,0.0,0,gte_mean,17,train,qth_0.25
24,1486,23,1,1,0,0.0006729475100942,1.0,0.043478260869565216,0,gte_mean,17,train,qth_0.25
25,1503,56,2,2,0,0.0013306719893546,1.0,0.03571428571428571,0,gte_mean,17,train,qth_0.25
26,1532,16,0,0,0,0.0,0.0,0.0,0,gte_mean,17,train,qth_0.25
27,1519,28,1,1,0,0.0006583278472679,1.0,0.03571428571428571,0,gte_mean,17,train,qth_0.25
28,1496,30,1,1,0,0.0006684491978609,1.0,0.03333333333333333,0,gte_mean,17,train,qth_0.25
29,1496,17,2,2,0,0.0013368983957219,1.0,0.11764705882352941,0,gte_mean,17,train,qth_0.25
30,1508,12,1,1,0,0.0006631299734748,1.0,0.08333333333333333,0,gte_mean,17,train,qth_0.25
31,1472,62,2,2,0,0.0013586956521739,1.0,0.03225806451612903,0,gte_mean,17,train,qth_0.25
32,1473,15,3,3,0,0.0020366598778004,1.0,0.2,0,gte_mean,17,train,qth_0.25
33,1464,145,26,26,0,0.01775956284153,1.0,0.1793103448275862,0,gte_mean,17,train,qth_0.25
34,1519,97,16,16,0,0.010533245556287,1.0,0.16494845360824742,0,gte_mean,17,train,qth_0.25
35,1492,11,0,0,0,0.0,0.0,0.0,0,gte_mean,17,train,qth_0.25
36,1484,119,13,13,0,0.0087601078167115,1.0,0.1092436974789916,0,gte_mean,17,train,qth_0.25
37,1475,100,13,13,0,0.0088135593220338,1.0,0.13,0,gte_mean,17,train,qth_0.25
38,1401,93,16,16,0,0.0114204139900071,1.0,0.17204301075268819,0,gte_mean,17,train,qth_0.25
39,1541,111,23,23,0,0.0149253731343283,1.0,0.2072072072072072,0,gte_mean,17,train,qth_0.25
40,1489,21,6,6,0,0.0040295500335795,1.0,0.2857142857142857,0,gte_mean,17,train,qth_0.25
41,1461,23,0,0,0,0.0,0.0,0.0,0,gte_mean,17,train,qth_0.25
42,1432,22,3,3,0,0.0020949720670391,1.0,0.13636363636363635,0,gte_mean,17,train,qth_0.25
all,63968,1983,194,194,0,0.0030327663831915,1.0,0.0978315683308119,0,gte_mean,17,train,qth_0.25
0,1538,22,0,0,0,0.0,0.0,0.0,1,gte_mean,17,train,qth_0.25
1,1483,83,4,4,0,0.0026972353337828,1.0,0.04819277108433735,1,gte_mean,17,train,qth_0.25
2,1473,85,7,7,0,0.0047522063815342,1.0,0.08235294117647059,1,gte_mean,17,train,qth_0.25
3,1478,68,5,5,0,0.003382949932341,1.0,0.07352941176470588,1,gte_mean,17,train,qth_0.25
4,1528,75,0,0,0,0.0,0.0,0.0,1,gte_mean,17,train,qth_0.25
5,1401,150,12,12,0,0.0085653104925053,1.0,0.08,1,gte_mean,17,train,qth_0.25
6,1521,13,0,0,0,0.0,0.0,0.0,1,gte_mean,17,train,qth_0.25
7,1508,58,4,4,0,0.0026525198938992,1.0,0.06896551724137931,1,gte_mean,17,train,qth_0.25
8,1497,30,3,3,0,0.002004008016032,1.0,0.1,1,gte_mean,17,train,qth_0.25
9,1521,29,5,5,0,0.0032873109796186,1.0,0.1724137931034483,1,gte_mean,17,train,qth_0.25
10,1447,29,2,2,0,0.0013821700069108,1.0,0.06896551724137931,1,gte_mean,17,train,qth_0.25
11,1485,27,0,0,0,0.0,0.0,0.0,1,gte_mean,17,train,qth_0.25
12,1478,13,0,0,0,0.0,0.0,0.0,1,gte_mean,17,train,qth_0.25
13,1477,8,1,1,0,0.0006770480704129,1.0,0.125,1,gte_mean,17,train,qth_0.25
14,1485,0,0,0,0,0.0,0.0,,1,gte_mean,17,train,qth_0.25
15,1460,10,1,1,0,0.0006849315068493,1.0,0.1,1,gte_mean,17,train,qth_0.25
16,1455,9,0,0,0,0.0,0.0,0.0,1,gte_mean,17,train,qth_0.25
17,1478,1,0,0,0,0.0,0.0,0.0,1,gte_mean,17,train,qth_0.25
18,1563,28,2,2,0,0.00127959053103,1.0,0.07142857142857142,1,gte_mean,17,train,qth_0.25
19,1504,78,11,11,0,0.007313829787234,1.0,0.14102564102564102,1,gte_mean,17,train,qth_0.25
20,1496,77,5,5,0,0.0033422459893048,1.0,0.06493506493506493,1,gte_mean,17,train,qth_0.25
21,1455,43,2,2,0,0.0013745704467353,1.0,0.046511627906976744,1,gte_mean,17,train,qth_0.25
22,1527,19,1,1,0,0.0006548788474132,1.0,0.05263157894736842,1,gte_mean,17,train,qth_0.25
23,1467,27,0,0,0,0.0,0.0,0.0,1,gte_mean,17,train,qth_0.25
24,1486,23,1,1,0,0.0006729475100942,1.0,0.043478260869565216,1,gte_mean,17,train,qth_0.25
25,1503,56,2,2,0,0.0013306719893546,1.0,0.03571428571428571,1,gte_mean,17,train,qth_0.25
26,1532,16,0,0,0,0.0,0.0,0.0,1,gte_mean,17,train,qth_0.25
27,1519,28,1,1,0,0.0006583278472679,1.0,0.03571428571428571,1,gte_mean,17,train,qth_0.25
28,1496,30,1,1,0,0.0006684491978609,1.0,0.03333333333333333,1,gte_mean,17,train,qth_0.25
29,1496,17,2,2,0,0.0013368983957219,1.0,0.11764705882352941,1,gte_mean,17,train,qth_0.25
30,1508,12,1,1,0,0.0006631299734748,1.0,0.08333333333333333,1,gte_mean,17,train,qth_0.25
