y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_and_classified,NPR,NPV,specificity,eta,subset_name,num_neurons,stage,thld
0,1538,22,7,7,0,0.0045513654096228,1.0,0.3181818181818182,0,,30,train,qth_0.75
1,1483,83,28,28,0,0.0188806473364801,1.0,0.3373493975903614,0,,30,train,qth_0.75
2,1473,85,35,35,0,0.0237610319076714,1.0,0.4117647058823529,0,,30,train,qth_0.75
3,1478,68,23,23,0,0.0155615696887686,1.0,0.3382352941176471,0,,30,train,qth_0.75
4,1528,75,35,35,0,0.0229057591623036,1.0,0.4666666666666667,0,,30,train,qth_0.75
5,1401,150,60,60,0,0.0428265524625267,1.0,0.4,0,,30,train,qth_0.75
6,1521,13,6,6,0,0.0039447731755424,1.0,0.46153846153846156,0,,30,train,qth_0.75
7,1508,58,21,21,0,0.0139257294429708,1.0,0.3620689655172414,0,,30,train,qth_0.75
8,1497,30,10,10,0,0.0066800267201068,1.0,0.3333333333333333,0,,30,train,qth_0.75
9,1521,29,10,10,0,0.0065746219592373,1.0,0.3448275862068966,0,,30,train,qth_0.75
10,1447,29,15,15,0,0.0103662750518313,1.0,0.5172413793103449,0,,30,train,qth_0.75
11,1485,27,7,7,0,0.0047138047138047,1.0,0.25925925925925924,0,,30,train,qth_0.75
12,1478,13,2,2,0,0.0013531799729364,1.0,0.15384615384615385,0,,30,train,qth_0.75
13,1477,8,2,2,0,0.0013540961408259,1.0,0.25,0,,30,train,qth_0.75
14,1485,0,0,0,0,0.0,0.0,,0,,30,train,qth_0.75
15,1460,10,2,2,0,0.0013698630136986,1.0,0.2,0,,30,train,qth_0.75
16,1455,9,4,4,0,0.0027491408934707,1.0,0.4444444444444444,0,,30,train,qth_0.75
17,1478,1,0,0,0,0.0,0.0,0.0,0,,30,train,qth_0.75
18,1563,28,9,9,0,0.0057581573896353,1.0,0.32142857142857145,0,,30,train,qth_0.75
19,1504,78,15,15,0,0.0099734042553191,1.0,0.19230769230769232,0,,30,train,qth_0.75
20,1496,77,17,17,0,0.0113636363636363,1.0,0.22077922077922077,0,,30,train,qth_0.75
21,1455,43,8,8,0,0.0054982817869415,1.0,0.18604651162790697,0,,30,train,qth_0.75
22,1527,19,2,2,0,0.0013097576948264,1.0,0.10526315789473684,0,,30,train,qth_0.75
23,1467,27,4,4,0,0.0027266530334014,1.0,0.14814814814814814,0,,30,train,qth_0.75
24,1486,23,2,2,0,0.0013458950201884,1.0,0.08695652173913043,0,,30,train,qth_0.75
25,1503,56,15,15,0,0.0099800399201596,1.0,0.26785714285714285,0,,30,train,qth_0.75
26,1532,16,2,2,0,0.0013054830287206,1.0,0.125,0,,30,train,qth_0.75
27,1519,28,4,4,0,0.0026333113890717,1.0,0.14285714285714285,0,,30,train,qth_0.75
28,1496,30,4,4,0,0.0026737967914438,1.0,0.13333333333333333,0,,30,train,qth_0.75
29,1496,17,0,0,0,0.0,0.0,0.0,0,,30,train,qth_0.75
30,1508,12,3,3,0,0.0019893899204244,1.0,0.25,0,,30,train,qth_0.75
31,1472,62,16,16,0,0.0108695652173913,1.0,0.25806451612903225,0,,30,train,qth_0.75
