y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_%,unrecognized_and_misclassified_%,unrecognized_misclassified_%,eta,subset_name,num_neurons,stage,thld
0,1538.0,22.0,6.0,6.0,0.0039011703511053,1.0,0.2727272727272727,0,gte_mean,17.0,train,relu
1,1483.0,83.0,20.0,20.0,0.0134861766689143,1.0,0.2409638554216867,0,gte_mean,17.0,train,relu
2,1473.0,85.0,26.0,26.0,0.0176510522742701,1.0,0.3058823529411765,0,gte_mean,17.0,train,relu
3,1478.0,68.0,14.0,14.0,0.0094722598105548,1.0,0.2058823529411764,0,gte_mean,17.0,train,relu
4,1528.0,75.0,12.0,12.0,0.0078534031413612,1.0,0.16,0,gte_mean,17.0,train,relu
5,1401.0,150.0,32.0,32.0,0.0228408279800142,1.0,0.2133333333333333,0,gte_mean,17.0,train,relu
6,1521.0,13.0,5.0,5.0,0.0032873109796186,1.0,0.3846153846153846,0,gte_mean,17.0,train,relu
7,1508.0,58.0,21.0,21.0,0.0139257294429708,1.0,0.3620689655172414,0,gte_mean,17.0,train,relu
8,1497.0,30.0,8.0,8.0,0.0053440213760855,1.0,0.2666666666666666,0,gte_mean,17.0,train,relu
9,1521.0,29.0,12.0,12.0,0.0078895463510848,1.0,0.4137931034482758,0,gte_mean,17.0,train,relu
10,1447.0,29.0,12.0,12.0,0.0082930200414651,1.0,0.4137931034482758,0,gte_mean,17.0,train,relu
11,1485.0,27.0,13.0,13.0,0.0087542087542087,1.0,0.4814814814814814,0,gte_mean,17.0,train,relu
12,1478.0,13.0,5.0,5.0,0.003382949932341,1.0,0.3846153846153846,0,gte_mean,17.0,train,relu
13,1477.0,8.0,3.0,3.0,0.0020311442112389,1.0,0.375,0,gte_mean,17.0,train,relu
14,1485.0,0.0,0.0,0.0,0.0,0.0,0.0,0,gte_mean,17.0,train,relu
15,1460.0,10.0,6.0,6.0,0.0041095890410958,1.0,0.6,0,gte_mean,17.0,train,relu
16,1455.0,9.0,3.0,3.0,0.002061855670103,1.0,0.3333333333333333,0,gte_mean,17.0,train,relu
17,1478.0,1.0,1.0,1.0,0.0006765899864682,1.0,1.0,0,gte_mean,17.0,train,relu
18,1563.0,28.0,11.0,11.0,0.0070377479206653,1.0,0.3928571428571428,0,gte_mean,17.0,train,relu
19,1504.0,78.0,35.0,35.0,0.0232712765957446,1.0,0.4487179487179487,0,gte_mean,17.0,train,relu
20,1496.0,77.0,30.0,30.0,0.0200534759358288,1.0,0.3896103896103896,0,gte_mean,17.0,train,relu
