thld,eta,build_time_min,size_mb,reorder_time_min,num_patterns,num_unique_patterns_%,num_reorder,num_neurons,start_time,end_time,subset_name
qth_0.75,0.0,0.817,4309.2,0.0,66000.0,45.7,0.0,30.0,2023-08-14 14:22:11,2023-08-14 14:23:00,None
qth_0.75,1.0,22.05,4316.6,0.0,905670.0,92.7,0.0,30.0,2023-08-14 14:25:30,2023-08-14 14:47:34,None
qth_0.75,2.0,11.85,4318.2,0.0,548070.0,97.9,0.0,30.0,2023-08-14 14:49:18,2023-08-14 15:01:10,None
qth_0.75,3.0,7.667,4318.2,0.0,368713.0,99.4,0.0,30.0,2023-08-14 15:02:56,2023-08-14 15:10:36,None
qth_0.75,0.0,0.05,4304.1,0.0,66000.0,9.5,0.0,17.0,2023-08-14 14:22:10,2023-08-14 14:22:13,components
qth_0.75,1.0,1.367,4304.9,0.0,106131.0,61.9,0.0,17.0,2023-08-14 14:22:50,2023-08-14 14:24:13,components
qth_0.75,2.0,0.633,4305.2,0.0,56802.0,79.0,0.0,17.0,2023-08-14 14:24:46,2023-08-14 14:25:24,components
qth_0.75,3.0,0.317,4305.4,0.0,32716.0,90.0,0.0,17.0,2023-08-14 14:25:56,2023-08-14 14:26:15,components
qth_0.5,0.0,1.267,4314.1,0.0,66000.0,55.9,0.0,30.0,2023-08-14 14:22:11,2023-08-14 14:23:28,None
qth_0.5,1.0,33.133,4320.6,0.0,1107150.0,96.9,0.0,30.0,2023-08-14 14:26:38,2023-08-14 14:59:46,None
qth_0.5,2.0,14.617,4320.8,0.0,530524.0,99.0,0.0,30.0,2023-08-14 15:02:05,2023-08-14 15:16:43,None
qth_0.5,3.0,6.333,4323.0,0.0,255686.0,99.6,0.0,30.0,2023-08-14 15:18:45,2023-08-14 15:25:06,None
qth_0.5,0.0,0.133,4304.3,0.0,66000.0,22.2,0.0,17.0,2023-08-14 14:22:12,2023-08-14 14:22:21,components
qth_0.5,1.0,3.233,4305.3,0.0,249628.0,70.4,0.0,17.0,2023-08-14 14:23:03,2023-08-14 14:26:18,components
qth_0.5,2.0,1.25,4305.4,0.0,116506.0,79.5,0.0,17.0,2023-08-14 14:27:00,2023-08-14 14:28:15,components
qth_0.5,3.0,0.533,4305.8,0.0,54329.0,84.3,0.0,17.0,2023-08-14 14:28:51,2023-08-14 14:29:23,components
qth_0.25,0.0,0.9,4309.8,0.0,66000.0,48.5,0.0,30.0,2023-08-14 14:22:15,2023-08-14 14:23:10,None
qth_0.25,1.0,23.583,4319.9,0.0,960990.0,93.3,0.0,30.0,2023-08-14 14:25:39,2023-08-14 14:49:15,None
qth_0.25,2.0,12.717,4319.9,0.0,575370.0,98.0,0.0,30.0,2023-08-14 14:51:00,2023-08-14 15:03:44,None
qth_0.25,3.0,8.133,4319.9,0.0,391142.0,99.3,0.0,30.0,2023-08-14 15:05:31,2023-08-14 15:13:40,None
qth_0.25,0.0,0.05,4304.2,0.0,66000.0,9.8,0.0,17.0,2023-08-14 14:22:13,2023-08-14 14:22:17,components
qth_0.25,1.0,1.367,4305.4,0.0,109854.0,60.5,0.0,17.0,2023-08-14 14:22:52,2023-08-14 14:24:14,components
qth_0.25,2.0,0.583,4305.4,0.0,57626.0,79.2,0.0,17.0,2023-08-14 14:24:47,2023-08-14 14:25:22,components
qth_0.25,3.0,0.3,4305.4,0.0,33193.0,90.2,0.0,17.0,2023-08-14 14:25:54,2023-08-14 14:26:13,components
relu,0.0,1.267,4314.1,0.0,66000.0,55.8,0.0,30.0,2023-08-14 14:22:15,2023-08-14 14:23:32,None
relu,1.0,32.833,4320.7,0.0,1104390.0,96.8,0.0,30.0,2023-08-14 14:26:40,2023-08-14 14:59:31,None
relu,2.0,14.567,4321.0,0.0,530908.0,99.0,0.0,30.0,2023-08-14 15:01:50,2023-08-14 15:16:24,None
relu,3.0,6.2,4323.1,0.0,256005.0,99.6,0.0,30.0,2023-08-14 15:18:25,2023-08-14 15:24:37,None
relu,0.0,0.133,4304.2,0.0,66000.0,22.1,0.0,17.0,2023-08-14 14:22:15,2023-08-14 14:22:24,components
relu,1.0,3.217,4305.3,0.0,247435.0,70.5,0.0,17.0,2023-08-14 14:23:07,2023-08-14 14:26:20,components
relu,2.0,1.217,4305.4,0.0,116062.0,79.5,0.0,17.0,2023-08-14 14:27:03,2023-08-14 14:28:16,components
relu,3.0,0.517,4305.8,0.0,54167.0,84.4,0.0,17.0,2023-08-14 14:28:52,2023-08-14 14:29:24,components
mean,0.0,1.25,4314.2,0.0,66000.0,55.8,0.0,30.0,2023-08-14 14:22:20,2023-08-14 14:23:36,None
mean,1.0,32.583,4320.6,0.0,1104960.0,96.8,0.0,30.0,2023-08-14 14:26:45,2023-08-14 14:59:21,None
mean,2.0,14.467,4321.0,0.0,531200.0,99.0,0.0,30.0,2023-08-14 15:01:39,2023-08-14 15:16:08,None
mean,3.0,6.133,4323.1,0.0,256155.0,99.6,0.0,30.0,2023-08-14 15:18:08,2023-08-14 15:24:16,None
mean,0.0,0.133,4304.2,0.0,66000.0,22.0,0.0,17.0,2023-08-14 14:22:19,2023-08-14 14:22:28,components
mean,1.0,3.217,4305.3,0.0,247299.0,70.4,0.0,17.0,2023-08-14 14:23:11,2023-08-14 14:26:25,components
mean,2.0,1.217,4305.4,0.0,116009.0,79.5,0.0,17.0,2023-08-14 14:27:06,2023-08-14 14:28:20,components
mean,3.0,0.517,4305.8,0.0,54111.0,84.4,0.0,17.0,2023-08-14 14:28:57,2023-08-14 14:29:29,components
