y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_and_classified,NPR,NPV,specificity,eta,subset_name,num_neurons,stage,thld
0,1538,22,6,6,0,0.0039011703511053,1.0,0.2727272727272727,0,components,20,train,qth_0.25
1,1483,101,20,20,0,0.0134861766689143,1.0,0.19801980198019803,0,components,20,train,qth_0.25
2,1473,88,17,17,0,0.0115410726408689,1.0,0.19318181818181818,0,components,20,train,qth_0.25
3,1478,87,30,30,0,0.020297699594046,1.0,0.3448275862068966,0,components,20,train,qth_0.25
4,1528,75,17,17,0,0.0111256544502617,1.0,0.22666666666666666,0,components,20,train,qth_0.25
5,1401,144,45,45,0,0.032119914346895,1.0,0.3125,0,components,20,train,qth_0.25
6,1521,23,3,3,0,0.0019723865877712,1.0,0.13043478260869565,0,components,20,train,qth_0.25
7,1508,42,7,7,0,0.0046419098143236,1.0,0.16666666666666666,0,components,20,train,qth_0.25
8,1497,85,23,23,0,0.0153640614562458,1.0,0.27058823529411763,0,components,20,train,qth_0.25
9,1521,36,8,8,0,0.0052596975673898,1.0,0.2222222222222222,0,components,20,train,qth_0.25
10,1447,34,8,8,0,0.0055286800276434,1.0,0.23529411764705882,0,components,20,train,qth_0.25
11,1485,42,2,2,0,0.0013468013468013,1.0,0.047619047619047616,0,components,20,train,qth_0.25
12,1478,13,1,1,0,0.0006765899864682,1.0,0.07692307692307693,0,components,20,train,qth_0.25
13,1477,12,2,2,0,0.0013540961408259,1.0,0.16666666666666666,0,components,20,train,qth_0.25
14,1485,1,0,0,0,0.0,0.0,0.0,0,components,20,train,qth_0.25
15,1460,22,4,4,0,0.0027397260273972,1.0,0.18181818181818182,0,components,20,train,qth_0.25
16,1455,21,0,0,0,0.0,0.0,0.0,0,components,20,train,qth_0.25
17,1478,6,2,2,0,0.0013531799729364,1.0,0.3333333333333333,0,components,20,train,qth_0.25
18,1563,42,4,4,0,0.0025591810620601,1.0,0.09523809523809523,0,components,20,train,qth_0.25
19,1504,79,12,12,0,0.0079787234042553,1.0,0.1518987341772152,0,components,20,train,qth_0.25
20,1496,85,10,10,0,0.0066844919786096,1.0,0.11764705882352941,0,components,20,train,qth_0.25
21,1455,55,3,3,0,0.002061855670103,1.0,0.05454545454545454,0,components,20,train,qth_0.25
22,1527,30,0,0,0,0.0,0.0,0.0,0,components,20,train,qth_0.25
23,1467,46,4,4,0,0.0027266530334014,1.0,0.08695652173913043,0,components,20,train,qth_0.25
24,1486,30,0,0,0,0.0,0.0,0.0,0,components,20,train,qth_0.25
25,1503,62,10,10,0,0.0066533599467731,1.0,0.16129032258064516,0,components,20,train,qth_0.25
26,1532,23,1,1,0,0.0006527415143603,1.0,0.043478260869565216,0,components,20,train,qth_0.25
27,1519,32,1,1,0,0.0006583278472679,1.0,0.03125,0,components,20,train,qth_0.25
28,1496,41,2,2,0,0.0013368983957219,1.0,0.04878048780487805,0,components,20,train,qth_0.25
29,1496,30,1,1,0,0.0006684491978609,1.0,0.03333333333333333,0,components,20,train,qth_0.25
30,1508,11,2,2,0,0.0013262599469496,1.0,0.18181818181818182,0,components,20,train,qth_0.25
31,1472,85,15,15,0,0.0101902173913043,1.0,0.17647058823529413,0,components,20,train,qth_0.25
32,1473,15,2,2,0,0.0013577732518669,1.0,0.13333333333333333,0,components,20,train,qth_0.25
33,1464,148,60,60,0,0.040983606557377,1.0,0.40540540540540543,0,components,20,train,qth_0.25
34,1519,117,32,32,0,0.021066491112574,1.0,0.27350427350427353,0,components,20,train,qth_0.25
35,1492,31,5,5,0,0.0033512064343163,1.0,0.16129032258064516,0,components,20,train,qth_0.25
36,1484,103,34,34,0,0.022911051212938,1.0,0.3300970873786408,0,components,20,train,qth_0.25
37,1475,109,37,37,0,0.0250847457627118,1.0,0.3394495412844037,0,components,20,train,qth_0.25
38,1401,135,49,49,0,0.0349750178443968,1.0,0.362962962962963,0,components,20,train,qth_0.25
39,1541,104,37,37,0,0.0240103828682673,1.0,0.3557692307692308,0,components,20,train,qth_0.25
40,1489,17,5,5,0,0.0033579583613163,1.0,0.29411764705882354,0,components,20,train,qth_0.25
41,1461,36,0,0,0,0.0,0.0,0.0,0,components,20,train,qth_0.25
42,1432,25,4,4,0,0.0027932960893854,1.0,0.16,0,components,20,train,qth_0.25
all,63968,2345,525,525,0,0.0082072286143071,1.0,0.22388059701492538,0,components,20,train,qth_0.25
0,1538,22,6,6,0,0.0039011703511053,1.0,0.2727272727272727,1,components,20,train,qth_0.25
1,1483,101,20,20,0,0.0134861766689143,1.0,0.19801980198019803,1,components,20,train,qth_0.25
2,1473,88,17,17,0,0.0115410726408689,1.0,0.19318181818181818,1,components,20,train,qth_0.25
3,1478,87,30,30,0,0.020297699594046,1.0,0.3448275862068966,1,components,20,train,qth_0.25
4,1528,75,17,17,0,0.0111256544502617,1.0,0.22666666666666666,1,components,20,train,qth_0.25
5,1401,144,45,45,0,0.032119914346895,1.0,0.3125,1,components,20,train,qth_0.25
6,1521,23,3,3,0,0.0019723865877712,1.0,0.13043478260869565,1,components,20,train,qth_0.25
7,1508,42,7,7,0,0.0046419098143236,1.0,0.16666666666666666,1,components,20,train,qth_0.25
