y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_%,unrecognized_and_misclassified_%,unrecognized_misclassified_%,eta,subset_name,num_neurons,stage,thld
0,1538.0,22.0,6.0,6.0,0.0039011703511053,1.0,0.2727272727272727,0,top_third,16.0,train,mean
1,1483.0,101.0,34.0,34.0,0.0229265003371544,1.0,0.3366336633663366,0,top_third,16.0,train,mean
2,1473.0,88.0,29.0,29.0,0.0196877121520706,1.0,0.3295454545454545,0,top_third,16.0,train,mean
3,1478.0,87.0,29.0,29.0,0.0196211096075778,1.0,0.3333333333333333,0,top_third,16.0,train,mean
4,1528.0,75.0,29.0,29.0,0.018979057591623,1.0,0.3866666666666666,0,top_third,16.0,train,mean
5,1401.0,144.0,63.0,63.0,0.0449678800856531,1.0,0.4375,0,top_third,16.0,train,mean
6,1521.0,23.0,5.0,5.0,0.0032873109796186,1.0,0.217391304347826,0,top_third,16.0,train,mean
7,1508.0,42.0,15.0,15.0,0.009946949602122,1.0,0.3571428571428571,0,top_third,16.0,train,mean
8,1497.0,85.0,35.0,35.0,0.023380093520374,1.0,0.4117647058823529,0,top_third,16.0,train,mean
9,1521.0,36.0,11.0,11.0,0.007232084155161,1.0,0.3055555555555556,0,top_third,16.0,train,mean
10,1447.0,34.0,11.0,11.0,0.0076019350380096,1.0,0.3235294117647059,0,top_third,16.0,train,mean
11,1485.0,42.0,14.0,14.0,0.0094276094276094,1.0,0.3333333333333333,0,top_third,16.0,train,mean
12,1478.0,13.0,8.0,8.0,0.0054127198917456,1.0,0.6153846153846154,0,top_third,16.0,train,mean
13,1477.0,12.0,9.0,9.0,0.0060934326337169,1.0,0.75,0,top_third,16.0,train,mean
14,1485.0,1.0,0.0,0.0,0.0,0.0,1.0,0,top_third,16.0,train,mean
15,1460.0,22.0,11.0,11.0,0.0075342465753424,1.0,0.5,0,top_third,16.0,train,mean
16,1455.0,21.0,6.0,6.0,0.0041237113402061,1.0,0.2857142857142857,0,top_third,16.0,train,mean
17,1478.0,6.0,4.0,4.0,0.0027063599458728,1.0,0.6666666666666666,0,top_third,16.0,train,mean
18,1563.0,42.0,12.0,12.0,0.0076775431861804,1.0,0.2857142857142857,0,top_third,16.0,train,mean
19,1504.0,79.0,17.0,17.0,0.0113031914893617,1.0,0.2151898734177215,0,top_third,16.0,train,mean
20,1496.0,85.0,30.0,30.0,0.0200534759358288,1.0,0.3529411764705882,0,top_third,16.0,train,mean
21,1455.0,55.0,22.0,22.0,0.0151202749140893,1.0,0.4,0,top_third,16.0,train,mean
22,1527.0,30.0,7.0,7.0,0.0045841519318926,1.0,0.2333333333333333,0,top_third,16.0,train,mean
23,1467.0,46.0,12.0,12.0,0.0081799591002045,1.0,0.2608695652173913,0,top_third,16.0,train,mean
24,1486.0,30.0,16.0,16.0,0.0107671601615074,1.0,0.5333333333333333,0,top_third,16.0,train,mean
25,1503.0,62.0,24.0,24.0,0.0159680638722554,1.0,0.3870967741935484,0,top_third,16.0,train,mean
26,1532.0,23.0,8.0,8.0,0.0052219321148825,1.0,0.3478260869565217,0,top_third,16.0,train,mean
27,1519.0,32.0,11.0,11.0,0.0072416063199473,1.0,0.34375,0,top_third,16.0,train,mean
28,1496.0,41.0,16.0,16.0,0.0106951871657754,1.0,0.3902439024390244,0,top_third,16.0,train,mean
29,1496.0,30.0,10.0,10.0,0.0066844919786096,1.0,0.3333333333333333,0,top_third,16.0,train,mean
30,1508.0,11.0,4.0,4.0,0.0026525198938992,1.0,0.3636363636363636,0,top_third,16.0,train,mean
31,1472.0,85.0,31.0,31.0,0.0210597826086956,1.0,0.3647058823529411,0,top_third,16.0,train,mean
32,1473.0,15.0,4.0,4.0,0.0027155465037338,1.0,0.2666666666666666,0,top_third,16.0,train,mean
33,1464.0,148.0,29.0,29.0,0.0198087431693989,1.0,0.1959459459459459,0,top_third,16.0,train,mean
34,1519.0,117.0,28.0,28.0,0.0184331797235023,1.0,0.2393162393162393,0,top_third,16.0,train,mean
35,1492.0,31.0,13.0,13.0,0.0087131367292225,1.0,0.4193548387096774,0,top_third,16.0,train,mean
36,1484.0,103.0,30.0,30.0,0.0202156334231805,1.0,0.2912621359223301,0,top_third,16.0,train,mean
37,1475.0,109.0,29.0,29.0,0.0196610169491525,1.0,0.2660550458715596,0,top_third,16.0,train,mean
38,1401.0,135.0,34.0,34.0,0.0242683797287651,1.0,0.2518518518518518,0,top_third,16.0,train,mean
39,1541.0,104.0,27.0,27.0,0.017521090201168,1.0,0.2596153846153846,0,top_third,16.0,train,mean
40,1489.0,17.0,6.0,6.0,0.0040295500335795,1.0,0.3529411764705882,0,top_third,16.0,train,mean
41,1461.0,36.0,4.0,4.0,0.0027378507871321,1.0,0.1111111111111111,0,top_third,16.0,train,mean
42,1432.0,25.0,5.0,5.0,0.0034916201117318,1.0,0.2,0,top_third,16.0,train,mean
all,63968.0,2345.0,748.0,748.0,0.0116933466733366,1.0,0.3189765458422174,0,top_third,16.0,train,mean
0,1538.0,22.0,6.0,6.0,0.0039011703511053,1.0,0.2727272727272727,1,top_third,16.0,train,mean
1,1483.0,101.0,34.0,34.0,0.0229265003371544,1.0,0.3366336633663366,1,top_third,16.0,train,mean
2,1473.0,88.0,29.0,29.0,0.0196877121520706,1.0,0.3295454545454545,1,top_third,16.0,train,mean
3,1478.0,87.0,29.0,29.0,0.0196211096075778,1.0,0.3333333333333333,1,top_third,16.0,train,mean
4,1528.0,75.0,29.0,29.0,0.018979057591623,1.0,0.3866666666666666,1,top_third,16.0,train,mean
5,1401.0,144.0,63.0,63.0,0.0449678800856531,1.0,0.4375,1,top_third,16.0,train,mean
6,1521.0,23.0,5.0,5.0,0.0032873109796186,1.0,0.217391304347826,1,top_third,16.0,train,mean
7,1508.0,42.0,15.0,15.0,0.009946949602122,1.0,0.3571428571428571,1,top_third,16.0,train,mean
8,1497.0,85.0,35.0,35.0,0.023380093520374,1.0,0.4117647058823529,1,top_third,16.0,train,mean
9,1521.0,36.0,11.0,11.0,0.007232084155161,1.0,0.3055555555555556,1,top_third,16.0,train,mean
10,1447.0,34.0,11.0,11.0,0.0076019350380096,1.0,0.3235294117647059,1,top_third,16.0,train,mean
11,1485.0,42.0,14.0,14.0,0.0094276094276094,1.0,0.3333333333333333,1,top_third,16.0,train,mean
12,1478.0,13.0,8.0,8.0,0.0054127198917456,1.0,0.6153846153846154,1,top_third,16.0,train,mean
13,1477.0,12.0,9.0,9.0,0.0060934326337169,1.0,0.75,1,top_third,16.0,train,mean
14,1485.0,1.0,0.0,0.0,0.0,0.0,1.0,1,top_third,16.0,train,mean
15,1460.0,22.0,11.0,11.0,0.0075342465753424,1.0,0.5,1,top_third,16.0,train,mean
16,1455.0,21.0,6.0,6.0,0.0041237113402061,1.0,0.2857142857142857,1,top_third,16.0,train,mean
17,1478.0,6.0,4.0,4.0,0.0027063599458728,1.0,0.6666666666666666,1,top_third,16.0,train,mean
18,1563.0,42.0,12.0,12.0,0.0076775431861804,1.0,0.2857142857142857,1,top_third,16.0,train,mean
19,1504.0,79.0,17.0,17.0,0.0113031914893617,1.0,0.2151898734177215,1,top_third,16.0,train,mean
20,1496.0,85.0,30.0,30.0,0.0200534759358288,1.0,0.3529411764705882,1,top_third,16.0,train,mean
21,1455.0,55.0,22.0,22.0,0.0151202749140893,1.0,0.4,1,top_third,16.0,train,mean
22,1527.0,30.0,7.0,7.0,0.0045841519318926,1.0,0.2333333333333333,1,top_third,16.0,train,mean
23,1467.0,46.0,12.0,12.0,0.0081799591002045,1.0,0.2608695652173913,1,top_third,16.0,train,mean
24,1486.0,30.0,16.0,16.0,0.0107671601615074,1.0,0.5333333333333333,1,top_third,16.0,train,mean
25,1503.0,62.0,24.0,24.0,0.0159680638722554,1.0,0.3870967741935484,1,top_third,16.0,train,mean
26,1532.0,23.0,8.0,8.0,0.0052219321148825,1.0,0.3478260869565217,1,top_third,16.0,train,mean
27,1519.0,32.0,11.0,11.0,0.0072416063199473,1.0,0.34375,1,top_third,16.0,train,mean
