y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_and_classified,NPR,NPV,specificity,eta,subset_name,num_neurons,stage,thld
0,1538,22,21,21,0,0.0136540962288686,1.0,0.9545454545454546,0,gte_mean,25,train,mean
1,1483,101,89,89,0,0.0600134861766689,1.0,0.8811881188118812,0,gte_mean,25,train,mean
2,1473,88,73,73,0,0.0495587236931432,1.0,0.8295454545454546,0,gte_mean,25,train,mean
3,1478,87,79,79,0,0.0534506089309878,1.0,0.9080459770114943,0,gte_mean,25,train,mean
4,1528,75,69,69,0,0.0451570680628272,1.0,0.92,0,gte_mean,25,train,mean
5,1401,144,127,127,0,0.0906495360456816,1.0,0.8819444444444444,0,gte_mean,25,train,mean
6,1521,23,22,22,0,0.0144641683103221,1.0,0.9565217391304348,0,gte_mean,25,train,mean
7,1508,42,38,38,0,0.0251989389920424,1.0,0.9047619047619048,0,gte_mean,25,train,mean
8,1497,85,71,71,0,0.0474281897127588,1.0,0.8352941176470589,0,gte_mean,25,train,mean
9,1521,36,33,33,0,0.0216962524654832,1.0,0.9166666666666666,0,gte_mean,25,train,mean
10,1447,34,32,32,0,0.0221147201105736,1.0,0.9411764705882353,0,gte_mean,25,train,mean
11,1485,42,40,40,0,0.0269360269360269,1.0,0.9523809523809523,0,gte_mean,25,train,mean
12,1478,13,13,13,0,0.0087956698240866,1.0,1.0,0,gte_mean,25,train,mean
13,1477,12,12,12,0,0.0081245768449559,1.0,1.0,0,gte_mean,25,train,mean
14,1485,1,1,1,0,0.0006734006734006,1.0,1.0,0,gte_mean,25,train,mean
15,1460,22,20,20,0,0.0136986301369863,1.0,0.9090909090909091,0,gte_mean,25,train,mean
16,1455,21,19,19,0,0.0130584192439862,1.0,0.9047619047619048,0,gte_mean,25,train,mean
17,1478,6,6,6,0,0.0040595399188092,1.0,1.0,0,gte_mean,25,train,mean
18,1563,42,37,37,0,0.0236724248240563,1.0,0.8809523809523809,0,gte_mean,25,train,mean
19,1504,79,63,63,0,0.0418882978723404,1.0,0.7974683544303798,0,gte_mean,25,train,mean
20,1496,85,66,66,0,0.0441176470588235,1.0,0.7764705882352941,0,gte_mean,25,train,mean
21,1455,55,52,52,0,0.0357388316151202,1.0,0.9454545454545454,0,gte_mean,25,train,mean
22,1527,30,29,29,0,0.0189914865749836,1.0,0.9666666666666667,0,gte_mean,25,train,mean
23,1467,46,42,42,0,0.0286298568507157,1.0,0.9130434782608695,0,gte_mean,25,train,mean
