y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_%,unrecognized_and_misclassified_%,unrecognized_misclassified_%,eta,subset_name,num_neurons,stage,thld
0,1538.0,22.0,9.0,9.0,0.0058517555266579,1.0,0.4090909090909091,0,gte_mean,25.0,train,qth_0.25
1,1483.0,101.0,37.0,37.0,0.0249494268374915,1.0,0.3663366336633663,0,gte_mean,25.0,train,qth_0.25
2,1473.0,88.0,36.0,36.0,0.0244399185336048,1.0,0.4090909090909091,0,gte_mean,25.0,train,qth_0.25
3,1478.0,87.0,34.0,34.0,0.0230040595399188,1.0,0.3908045977011494,0,gte_mean,25.0,train,qth_0.25
4,1528.0,75.0,28.0,28.0,0.0183246073298429,1.0,0.3733333333333333,0,gte_mean,25.0,train,qth_0.25
5,1401.0,144.0,73.0,73.0,0.0521056388294075,1.0,0.5069444444444444,0,gte_mean,25.0,train,qth_0.25
6,1521.0,23.0,16.0,16.0,0.0105193951347797,1.0,0.6956521739130435,0,gte_mean,25.0,train,qth_0.25
7,1508.0,42.0,17.0,17.0,0.0112732095490716,1.0,0.4047619047619047,0,gte_mean,25.0,train,qth_0.25
8,1497.0,85.0,42.0,42.0,0.0280561122244488,1.0,0.4941176470588235,0,gte_mean,25.0,train,qth_0.25
9,1521.0,36.0,19.0,19.0,0.0124917817225509,1.0,0.5277777777777778,0,gte_mean,25.0,train,qth_0.25
10,1447.0,34.0,14.0,14.0,0.0096751900483759,1.0,0.4117647058823529,0,gte_mean,25.0,train,qth_0.25
11,1485.0,42.0,17.0,17.0,0.0114478114478114,1.0,0.4047619047619047,0,gte_mean,25.0,train,qth_0.25
12,1478.0,13.0,6.0,6.0,0.0040595399188092,1.0,0.4615384615384615,0,gte_mean,25.0,train,qth_0.25
13,1477.0,12.0,7.0,7.0,0.0047393364928909,1.0,0.5833333333333334,0,gte_mean,25.0,train,qth_0.25
14,1485.0,1.0,0.0,0.0,0.0,0.0,1.0,0,gte_mean,25.0,train,qth_0.25
15,1460.0,22.0,9.0,9.0,0.0061643835616438,1.0,0.4090909090909091,0,gte_mean,25.0,train,qth_0.25
16,1455.0,21.0,17.0,17.0,0.0116838487972508,1.0,0.8095238095238095,0,gte_mean,25.0,train,qth_0.25
17,1478.0,6.0,4.0,4.0,0.0027063599458728,1.0,0.6666666666666666,0,gte_mean,25.0,train,qth_0.25
18,1563.0,42.0,24.0,24.0,0.0153550863723608,1.0,0.5714285714285714,0,gte_mean,25.0,train,qth_0.25
19,1504.0,79.0,47.0,47.0,0.03125,1.0,0.5949367088607594,0,gte_mean,25.0,train,qth_0.25
