y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_and_classified,NPR,NPV,specificity,eta,subset_name,num_neurons,stage,thld
0,1538,22,8,8,0,0.0052015604681404,1.0,0.36363636363636365,0,top_third,16,train,mean
1,1483,101,32,32,0,0.0215778826702629,1.0,0.31683168316831684,0,top_third,16,train,mean
2,1473,88,29,29,0,0.0196877121520706,1.0,0.32954545454545453,0,top_third,16,train,mean
3,1478,87,28,28,0,0.0189445196211096,1.0,0.3218390804597701,0,top_third,16,train,mean
4,1528,75,30,30,0,0.0196335078534031,1.0,0.4,0,top_third,16,train,mean
5,1401,144,65,65,0,0.046395431834404,1.0,0.4513888888888889,0,top_third,16,train,mean
6,1521,23,5,5,0,0.0032873109796186,1.0,0.21739130434782608,0,top_third,16,train,mean
7,1508,42,14,14,0,0.0092838196286472,1.0,0.3333333333333333,0,top_third,16,train,mean
8,1497,85,35,35,0,0.023380093520374,1.0,0.4117647058823529,0,top_third,16,train,mean
9,1521,36,14,14,0,0.0092044707429322,1.0,0.3888888888888889,0,top_third,16,train,mean
10,1447,34,13,13,0,0.0089841050449205,1.0,0.38235294117647056,0,top_third,16,train,mean
11,1485,42,14,14,0,0.0094276094276094,1.0,0.3333333333333333,0,top_third,16,train,mean
12,1478,13,8,8,0,0.0054127198917456,1.0,0.6153846153846154,0,top_third,16,train,mean
13,1477,12,9,9,0,0.0060934326337169,1.0,0.75,0,top_third,16,train,mean
14,1485,1,0,0,0,0.0,0.0,0.0,0,top_third,16,train,mean
15,1460,22,11,11,0,0.0075342465753424,1.0,0.5,0,top_third,16,train,mean
16,1455,21,6,6,0,0.0041237113402061,1.0,0.2857142857142857,0,top_third,16,train,mean
17,1478,6,4,4,0,0.0027063599458728,1.0,0.6666666666666666,0,top_third,16,train,mean
18,1563,42,13,13,0,0.0083173384516954,1.0,0.30952380952380953,0,top_third,16,train,mean
19,1504,79,15,15,0,0.0099734042553191,1.0,0.189873417721519,0,top_third,16,train,mean
20,1496,85,32,32,0,0.0213903743315508,1.0,0.3764705882352941,0,top_third,16,train,mean
21,1455,55,21,21,0,0.0144329896907216,1.0,0.38181818181818183,0,top_third,16,train,mean
22,1527,30,8,8,0,0.0052390307793058,1.0,0.26666666666666666,0,top_third,16,train,mean
23,1467,46,11,11,0,0.0074982958418541,1.0,0.2391304347826087,0,top_third,16,train,mean
24,1486,30,16,16,0,0.0107671601615074,1.0,0.5333333333333333,0,top_third,16,train,mean
25,1503,62,24,24,0,0.0159680638722554,1.0,0.3870967741935484,0,top_third,16,train,mean
26,1532,23,8,8,0,0.0052219321148825,1.0,0.34782608695652173,0,top_third,16,train,mean
27,1519,32,11,11,0,0.0072416063199473,1.0,0.34375,0,top_third,16,train,mean
